CAN Message; 0x1b8:0100402150defbc7
Timestamp;Amplitude
1739209790.8199923;-38.13080360867914
1739209790.8199959;-45.120503652039325
1739209790.8199997;-45.120503652039325
1739209790.8200033;-45.120503652039325
1739209790.820007;-45.120503652039325
1739209790.8200107;-45.120503652039325
1739209790.8200145;-31.141103565318893
1739209790.8200183;-38.13080360867914
1739209790.8200219;-45.120503652039325
1739209790.8200257;-45.120503652039325
1739209790.8200293;-38.13080360867914
1739209790.820033;-38.13080360867914
1739209790.8200366;-45.120503652039325
1739209790.8200405;-45.120503652039325
1739209790.8200443;-45.120503652039325
1739209790.8200479;-45.120503652039325
1739209790.8200517;-33.981070128970906
1739209790.8200552;-33.981070128970906
1739209790.820059;-38.13080360867914
1739209790.8200629;-45.120503652039325
1739209790.8200665;-38.13080360867914
1739209790.8200703;-33.981070128970906
1739209790.8200738;-45.120503652039325
1739209790.8200777;-31.141103565318893
1739209790.8200812;-38.13080360867914
1739209790.820085;-45.120503652039325
1739209790.8200889;-45.120503652039325
1739209790.8200924;-45.120503652039325
1739209790.8200963;-45.120503652039325
1739209790.8200998;-38.13080360867914
1739209790.8201036;-45.120503652039325
1739209790.8201072;-38.13080360867914
1739209790.820111;-31.141103565318915
1739209790.8201149;-38.13080360867914
1739209790.8201184;-45.120503652039325
1739209790.8201222;-35.57807855764607
1739209790.8201258;-35.57807855764607
1739209790.8201296;-45.120503652039325
1739209790.8201332;-45.120503652039325
1739209790.820137;-45.120503652039325
1739209790.8201408;-38.13080360867914
1739209790.8201444;-38.13080360867914
1739209790.8201482;-45.120503652039325
1739209790.8201518;-45.120503652039325
1739209790.8201556;-38.13080360867914
1739209790.8201594;-38.13080360867914
1739209790.820163;-38.13080360867914
1739209790.8201668;-45.120503652039325
1739209790.8201704;-38.13080360867914
1739209790.8201742;-45.120503652039325
1739209790.8201778;-38.13080360867914
1739209790.8201816;-38.13080360867914
1739209790.8201854;-45.120503652039325
1739209790.820189;-45.120503652039325
1739209790.8201928;-38.13080360867914
1739209790.8201964;-38.13080360867914
1739209790.8202002;-45.120503652039325
1739209790.8202038;-28.992665084841942
1739209790.8202076;-38.13080360867914
1739209790.8202114;-38.13080360867914
1739209790.820215;-45.120503652039325
1739209790.8202188;-33.981070128970906
1739209790.8202224;-45.120503652039325
1739209790.8202262;-45.120503652039325
1739209790.8202298;-45.120503652039325
1739209790.8202336;-45.120503652039325
1739209790.8202374;-38.13080360867914
1739209790.820241;-45.120503652039325
1739209790.8202448;-45.120503652039325
1739209790.8202484;-38.13080360867914
1739209790.8202522;-35.57807855764607
1739209790.8202558;-38.13080360867914
1739209790.8202596;-45.120503652039325
1739209790.8202634;-45.120503652039325
1739209790.820267;-38.13080360867914
1739209790.8202708;-38.13080360867914
1739209790.8202744;-38.13080360867914
1739209790.8202782;-38.13080360867914
1739209790.820282;-38.13080360867914
1739209790.8202856;-38.13080360867914
1739209790.8202894;-38.13080360867914
1739209790.820293;-30.49652367304973
1739209790.8202968;-33.981070128970906
1739209790.8203003;-45.120503652039325
1739209790.8203042;-38.13080360867914
1739209790.820308;-38.13080360867914
1739209790.8203115;-45.120503652039325
1739209790.8203154;-45.120503652039325
1739209790.820319;-35.57807855764607
1739209790.8203228;-31.141103565318943
1739209790.8203263;-45.120503652039325
1739209790.8203301;-32.816014438256545
1739209790.820334;-45.120503652039325
1739209790.8203375;-38.13080360867914
1739209790.8203413;-45.120503652039325
1739209790.820345;-45.120503652039325
1739209790.8203487;-45.120503652039325
1739209790.8203523;-38.13080360867914
1739209790.8203561;-38.13080360867914
1739209790.82036;-38.13080360867914
1739209790.8203635;-45.120503652039325
1739209790.8203673;-45.120503652039325
1739209790.820371;-45.120503652039325
1739209790.8203747;-45.120503652039325
1739209790.8203783;-38.13080360867914
1739209790.820382;-31.141103565318893
1739209790.820386;-33.981070128970906
1739209790.8203895;-38.13080360867914
1739209790.8203933;-35.57807855764607
1739209790.820397;-35.57807855764607
1739209790.8204007;-38.13080360867914
1739209790.8204045;-38.13080360867914
1739209790.820408;-32.816014438256545
1739209790.820412;-33.981070128970956
1739209790.8204155;-45.120503652039325
1739209790.8204193;-33.981070128970906
1739209790.820423;-45.120503652039325
1739209790.8204267;-45.120503652039325
1739209790.8204305;-45.120503652039325
1739209790.820434;-38.13080360867914
1739209790.820438;-45.120503652039325
