CAN Message; 0x98:0000c9d0aa270b20
Timestamp;Amplitude
1739209694.368321;-35.57807855764607
1739209694.3683245;-45.120503652039325
1739209694.3683279;-38.13080360867914
1739209694.3683314;-38.13080360867914
1739209694.368335;-45.120503652039325
1739209694.3683386;-45.120503652039325
1739209694.3683422;-38.13080360867914
1739209694.3683455;-45.120503652039325
1739209694.368349;-45.120503652039325
1739209694.3683527;-38.13080360867914
1739209694.3683562;-45.120503652039325
1739209694.3683598;-45.120503652039325
1739209694.3683631;-45.120503652039325
1739209694.3683667;-31.141103565318915
1739209694.3683703;-33.981070128970906
1739209694.3683739;-45.120503652039325
1739209694.3683774;-38.13080360867914
1739209694.368381;-38.13080360867914
1739209694.3683844;-38.13080360867914
1739209694.368388;-33.981070128970906
1739209694.3683915;-38.13080360867914
1739209694.368395;-32.816014438256545
1739209694.3683987;-33.981070128970956
1739209694.368402;-38.13080360867914
1739209694.3684056;-45.120503652039325
1739209694.3684092;-38.13080360867914
1739209694.3684127;-33.981070128970906
1739209694.3684163;-45.120503652039325
1739209694.3684196;-38.13080360867914
1739209694.3684232;-45.120503652039325
1739209694.3684268;-35.57807855764607
1739209694.3684304;-45.120503652039325
1739209694.368434;-45.120503652039325
1739209694.3684373;-45.120503652039325
1739209694.3684409;-38.13080360867914
1739209694.3684444;-38.13080360867914
1739209694.368448;-38.13080360867914
1739209694.3684516;-32.816014438256545
1739209694.368455;-33.981070128970906
1739209694.3684585;-38.13080360867914
1739209694.368462;-45.120503652039325
1739209694.3684657;-38.13080360867914
1739209694.3684692;-45.120503652039325
1739209694.3684728;-45.120503652039325
1739209694.3684762;-45.120503652039325
1739209694.3684797;-45.120503652039325
1739209694.3684833;-45.120503652039325
1739209694.368487;-38.13080360867914
1739209694.3684905;-45.120503652039325
1739209694.3684938;-45.120503652039325
1739209694.3684974;-31.141103565318893
1739209694.368501;-38.13080360867914
1739209694.3685045;-45.120503652039325
1739209694.368508;-38.13080360867914
1739209694.3685114;-32.816014438256545
1739209694.368515;-38.13080360867914
1739209694.3685186;-45.120503652039325
1739209694.3685222;-38.13080360867914
1739209694.3685257;-38.13080360867914
1739209694.368529;-45.120503652039325
1739209694.3685327;-45.120503652039325
1739209694.3685362;-45.120503652039325
