CAN Message; 0x1a7:000089fb214c8bb8
Timestamp;Amplitude
1739209596.8642972;-38.13080360867914
1739209596.8643188;-45.120503652039325
1739209596.8643403;-38.13080360867914
1739209596.864362;-38.13080360867914
1739209596.8643835;-38.13080360867914
1739209596.8644052;-38.13080360867914
1739209596.8644266;-38.13080360867914
1739209596.8644483;-45.120503652039325
1739209596.8644698;-45.120503652039325
1739209596.8644915;-45.120503652039325
1739209596.864513;-45.120503652039325
1739209596.8645346;-45.120503652039325
1739209596.864556;-38.13080360867914
1739209596.8645778;-38.13080360867914
1739209596.8645992;-38.13080360867914
1739209596.864621;-45.120503652039325
1739209596.8646424;-45.120503652039325
1739209596.864664;-45.120503652039325
1739209596.8646855;-38.13080360867914
1739209596.8647072;-45.120503652039325
1739209596.8647287;-45.120503652039325
1739209596.8647504;-45.120503652039325
1739209596.8647718;-45.120503652039325
1739209596.8647933;-31.141103565318915
1739209596.864815;-38.13080360867914
1739209596.8648365;-45.120503652039325
1739209596.8648582;-33.981070128970906
1739209596.8648796;-38.13080360867914
1739209596.8649013;-45.120503652039325
1739209596.8649228;-38.13080360867914
1739209596.8649445;-35.57807855764607
1739209596.864966;-45.120503652039325
1739209596.8649876;-45.120503652039325
1739209596.865009;-45.120503652039325
1739209596.8650308;-38.13080360867914
1739209596.8650522;-38.13080360867914
1739209596.865074;-38.13080360867914
1739209596.8650954;-45.120503652039325
1739209596.865117;-45.120503652039325
1739209596.8651385;-45.120503652039325
1739209596.8651602;-38.13080360867914
1739209596.8651817;-45.120503652039325
1739209596.8652034;-38.13080360867914
1739209596.8652248;-45.120503652039325
1739209596.8652463;-38.13080360867914
1739209596.865268;-38.13080360867914
1739209596.8652894;-38.13080360867914
1739209596.8653111;-38.13080360867914
1739209596.8653326;-45.120503652039325
1739209596.8653543;-45.120503652039325
1739209596.8653758;-38.13080360867914
1739209596.8653975;-38.13080360867914
1739209596.865419;-45.120503652039325
1739209596.8654406;-45.120503652039325
1739209596.865462;-45.120503652039325
1739209596.8654838;-35.57807855764607
1739209596.8655052;-38.13080360867914
1739209596.865527;-38.13080360867914
1739209596.8655484;-38.13080360867914
1739209596.86557;-38.13080360867914
1739209596.8655915;-38.13080360867914
1739209596.8656132;-38.13080360867914
1739209596.8656347;-38.13080360867914
1739209596.8656564;-38.13080360867914
1739209596.8656778;-38.13080360867914
1739209596.8656995;-38.13080360867914
1739209596.865721;-35.57807855764607
1739209596.8657424;-38.13080360867914
1739209596.8657641;-45.120503652039325
1739209596.8657856;-45.120503652039325
1739209596.8658073;-33.981070128970906
1739209596.8658288;-35.57807855764607
1739209596.8658504;-45.120503652039325
1739209596.865872;-35.57807855764607
1739209596.8658936;-45.120503652039325
1739209596.865915;-45.120503652039325
1739209596.8659368;-38.13080360867914
1739209596.8659582;-45.120503652039325
1739209596.86598;-33.981070128970906
1739209596.8660014;-35.57807855764607
1739209596.866023;-38.13080360867914
1739209596.8660445;-45.120503652039325
1739209596.8660662;-28.992665084841942
1739209596.8660877;-27.8777449560314
1739209596.8661094;-38.13080360867914
1739209596.8661308;-45.120503652039325
1739209596.8661525;-38.13080360867914
1739209596.866174;-45.120503652039325
1739209596.8661957;-45.120503652039325
1739209596.8662171;-45.120503652039325
1739209596.8662386;-45.120503652039325
1739209596.8662603;-38.13080360867914
1739209596.8662817;-35.57807855764607
1739209596.8663034;-38.13080360867914
1739209596.866325;-38.13080360867914
1739209596.8663466;-45.120503652039325
1739209596.866368;-33.981070128970906
1739209596.8663898;-45.120503652039325
1739209596.8664112;-30.49652367304973
1739209596.866433;-26.487275050834715
1739209596.8664544;-45.120503652039325
1739209596.866476;-38.13080360867914
1739209596.8664975;-38.13080360867914
1739209596.8665192;-38.13080360867914
1739209596.8665407;-45.120503652039325
1739209596.8665624;-35.57807855764607
1739209596.8665838;-45.120503652039325
1739209596.8666055;-38.13080360867914
1739209596.866627;-35.57807855764607
1739209596.8666487;-38.13080360867914
1739209596.8666701;-45.120503652039325
1739209596.8666916;-45.120503652039325
1739209596.8667133;-38.13080360867914
1739209596.8667347;-45.120503652039325
1739209596.8667564;-33.981070128970906
1739209596.866778;-31.141103565318893
1739209596.8667996;-38.13080360867914
1739209596.866821;-45.120503652039325
1739209596.8668427;-38.13080360867914
1739209596.8668642;-32.816014438256545
1739209596.866886;-45.120503652039325
1739209596.8669074;-45.120503652039325
1739209596.866929;-38.13080360867914
1739209596.8669505;-45.120503652039325
1739209596.8669722;-38.13080360867914
1739209596.8669937;-38.13080360867914
1739209596.8670154;-45.120503652039325
1739209596.8670368;-45.120503652039325
1739209596.8670585;-45.120503652039325
1739209596.86708;-45.120503652039325
1739209596.8671017;-38.13080360867914
1739209596.8671231;-45.120503652039325
1739209596.8671448;-38.13080360867914
1739209596.8671663;-38.13080360867914
1739209596.8671877;-45.120503652039325
1739209596.8672094;-38.13080360867914
1739209596.867231;-38.13080360867914
1739209596.8672526;-45.120503652039325
1739209596.867274;-38.13080360867914
1739209596.8672957;-38.13080360867914
1739209596.8673172;-45.120503652039325
1739209596.867339;-45.120503652039325
1739209596.8673604;-45.120503652039325
1739209596.867382;-38.13080360867914
1739209596.8674035;-38.13080360867914
1739209596.8674252;-35.57807855764607
1739209596.8674467;-38.13080360867914
1739209596.8674684;-45.120503652039325
1739209596.8674898;-45.120503652039325
1739209596.8675115;-45.120503652039325
1739209596.867533;-38.13080360867914
1739209596.8675547;-45.120503652039325
1739209596.8675761;-45.120503652039325
1739209596.8675978;-45.120503652039325
1739209596.8676193;-38.13080360867914
1739209596.8676407;-26.487275050834715
1739209596.8676624;-33.981070128970906
1739209596.867684;-45.120503652039325
1739209596.8677056;-45.120503652039325
1739209596.867727;-32.816014438256545
1739209596.8677487;-38.13080360867914
1739209596.8677702;-45.120503652039325
1739209596.867792;-38.13080360867914
1739209596.8678133;-38.13080360867914
1739209596.867835;-45.120503652039325
1739209596.8678565;-45.120503652039325
1739209596.8678782;-45.120503652039325
1739209596.8678997;-45.120503652039325
1739209596.8679214;-45.120503652039325
1739209596.8679428;-38.13080360867914
1739209596.8679645;-35.57807855764607
1739209596.867986;-33.981070128970906
1739209596.8680077;-35.57807855764607
