CAN Message; 0x1a7:0000119be0711ff8
Timestamp;Amplitude
1739209769.8405635;-38.13080360867914
1739209769.840568;-35.57807855764607
1739209769.8405724;-38.13080360867914
1739209769.840577;-45.120503652039325
1739209769.8405814;-38.13080360867914
1739209769.840586;-33.981070128970906
1739209769.8405905;-32.816014438256545
1739209769.840595;-45.120503652039325
1739209769.8405993;-45.120503652039325
1739209769.8406038;-45.120503652039325
1739209769.8406084;-38.13080360867914
1739209769.840613;-38.13080360867914
1739209769.8406174;-33.981070128970906
1739209769.840622;-31.141103565318915
1739209769.8406262;-38.13080360867914
1739209769.8406308;-45.120503652039325
1739209769.8406353;-38.13080360867914
1739209769.8406398;-38.13080360867914
1739209769.8406444;-38.13080360867914
1739209769.840649;-45.120503652039325
1739209769.8406532;-38.13080360867914
1739209769.8406577;-33.981070128970906
1739209769.8406622;-38.13080360867914
1739209769.8406668;-45.120503652039325
1739209769.8406713;-38.13080360867914
1739209769.8406758;-38.13080360867914
1739209769.8406801;-38.13080360867914
1739209769.8406847;-38.13080360867914
1739209769.8406892;-38.13080360867914
1739209769.8406937;-31.141103565318915
1739209769.8406982;-33.981070128970906
1739209769.8407028;-45.120503652039325
1739209769.840707;-45.120503652039325
1739209769.8407116;-45.120503652039325
1739209769.8407161;-45.120503652039325
1739209769.8407207;-45.120503652039325
1739209769.8407252;-45.120503652039325
1739209769.8407297;-45.120503652039325
1739209769.840734;-45.120503652039325
1739209769.8407385;-45.120503652039325
1739209769.840743;-45.120503652039325
1739209769.8407476;-45.120503652039325
1739209769.8407521;-45.120503652039325
1739209769.8407567;-33.981070128970906
1739209769.840761;-45.120503652039325
1739209769.8407655;-45.120503652039325
1739209769.84077;-45.120503652039325
1739209769.8407745;-38.13080360867914
1739209769.840779;-38.13080360867914
1739209769.8407836;-31.141103565318915
1739209769.840788;-32.816014438256545
1739209769.8407924;-45.120503652039325
1739209769.840797;-35.57807855764607
1739209769.8408015;-45.120503652039325
1739209769.840806;-45.120503652039325
1739209769.8408105;-35.57807855764607
1739209769.8408148;-38.13080360867914
1739209769.8408194;-45.120503652039325
1739209769.840824;-45.120503652039325
1739209769.8408284;-45.120503652039325
1739209769.840833;-38.13080360867914
1739209769.8408375;-38.13080360867914
1739209769.8408418;-45.120503652039325
1739209769.8408463;-35.57807855764607
1739209769.8408508;-35.57807855764607
1739209769.8408554;-38.13080360867914
1739209769.84086;-45.120503652039325
1739209769.8408644;-35.57807855764607
1739209769.8408687;-38.13080360867914
1739209769.8408732;-45.120503652039325
1739209769.8408778;-38.13080360867914
1739209769.8408823;-33.981070128970906
1739209769.8408868;-38.13080360867914
1739209769.8408911;-45.120503652039325
1739209769.8408957;-38.13080360867914
1739209769.8409002;-33.981070128970906
1739209769.8409047;-33.981070128970906
1739209769.8409092;-45.120503652039325
1739209769.8409138;-45.120503652039325
1739209769.840918;-38.13080360867914
1739209769.8409226;-38.13080360867914
1739209769.8409271;-38.13080360867914
1739209769.8409317;-45.120503652039325
1739209769.8409362;-45.120503652039325
1739209769.8409407;-45.120503652039325
1739209769.840945;-32.816014438256545
1739209769.8409495;-32.816014438256545
1739209769.840954;-45.120503652039325
1739209769.8409586;-38.13080360867914
1739209769.8409631;-38.13080360867914
1739209769.8409677;-35.57807855764607
1739209769.840972;-38.13080360867914
1739209769.8409765;-38.13080360867914
1739209769.840981;-45.120503652039325
1739209769.8409855;-45.120503652039325
1739209769.84099;-38.13080360867914
1739209769.8409946;-38.13080360867914
1739209769.840999;-45.120503652039325
1739209769.8410034;-45.120503652039325
1739209769.841008;-45.120503652039325
1739209769.8410125;-45.120503652039325
1739209769.841017;-45.120503652039325
1739209769.8410215;-45.120503652039325
1739209769.8410258;-45.120503652039325
1739209769.8410304;-45.120503652039325
1739209769.841035;-32.816014438256545
1739209769.8410394;-35.57807855764607
1739209769.841044;-45.120503652039325
1739209769.8410485;-45.120503652039325
1739209769.8410528;-31.141103565318893
1739209769.8410573;-29.438486411369333
1739209769.8410618;-45.120503652039325
1739209769.8410664;-32.816014438256545
1739209769.841071;-45.120503652039325
1739209769.8410754;-38.13080360867914
1739209769.8410797;-45.120503652039325
1739209769.8410842;-45.120503652039325
1739209769.8410888;-45.120503652039325
1739209769.8410933;-38.13080360867914
1739209769.8410978;-45.120503652039325
1739209769.8411024;-45.120503652039325
1739209769.8411067;-38.13080360867914
1739209769.8411112;-45.120503652039325
1739209769.8411157;-45.120503652039325
1739209769.8411202;-45.120503652039325
1739209769.8411248;-35.57807855764607
1739209769.8411293;-30.49652367304973
1739209769.8411336;-45.120503652039325
1739209769.8411381;-45.120503652039325
1739209769.8411427;-35.57807855764607
1739209769.8411472;-32.816014438256545
1739209769.8411517;-45.120503652039325
1739209769.8411562;-33.981070128970906
1739209769.8411605;-45.120503652039325
1739209769.841165;-45.120503652039325
1739209769.8411696;-38.13080360867914
1739209769.8411741;-35.57807855764607
1739209769.8411787;-38.13080360867914
1739209769.8411832;-38.13080360867914
1739209769.8411875;-45.120503652039325
1739209769.841192;-35.57807855764607
1739209769.8411965;-38.13080360867914
1739209769.841201;-45.120503652039325
1739209769.8412056;-38.13080360867914
1739209769.8412101;-35.57807855764607
1739209769.8412144;-38.13080360867914
1739209769.841219;-45.120503652039325
1739209769.8412235;-38.13080360867914
1739209769.841228;-45.120503652039325
1739209769.8412325;-32.816014438256545
1739209769.8412368;-25.62660358559016
1739209769.8412414;-45.120503652039325
1739209769.841246;-45.120503652039325
1739209769.8412504;-38.13080360867914
1739209769.841255;-33.981070128970906
1739209769.8412595;-45.120503652039325
1739209769.8412638;-45.120503652039325
1739209769.8412683;-38.13080360867914
1739209769.8412728;-35.57807855764607
1739209769.8412774;-45.120503652039325
1739209769.841282;-45.120503652039325
1739209769.8412864;-45.120503652039325
1739209769.8412907;-45.120503652039325
1739209769.8412952;-45.120503652039325
1739209769.8412998;-45.120503652039325
1739209769.8413043;-35.57807855764607
1739209769.8413088;-31.141103565318915
1739209769.8413134;-38.13080360867914
1739209769.8413177;-38.13080360867914
1739209769.8413222;-38.13080360867914
1739209769.8413267;-45.120503652039325
1739209769.8413312;-45.120503652039325
1739209769.8413358;-38.13080360867914
1739209769.8413403;-38.13080360867914
1739209769.8413446;-33.981070128970906
1739209769.8413491;-38.13080360867914
1739209769.8413537;-35.57807855764607
1739209769.8413582;-33.981070128970906
1739209769.8413627;-33.981070128970906
1739209769.8413672;-45.120503652039325
1739209769.8413715;-45.120503652039325
1739209769.841376;-45.120503652039325
1739209769.8413806;-38.13080360867914
1739209769.8413851;-45.120503652039325
1739209769.8413897;-38.13080360867914
1739209769.8413942;-45.120503652039325
1739209769.8413985;-38.13080360867914
1739209769.841403;-45.120503652039325
1739209769.8414075;-45.120503652039325
1739209769.841412;-45.120503652039325
1739209769.8414166;-38.13080360867914
1739209769.8414211;-45.120503652039325
1739209769.8414254;-45.120503652039325
1739209769.84143;-38.13080360867914
1739209769.8414345;-38.13080360867914
1739209769.841439;-38.13080360867914
1739209769.8414435;-45.120503652039325
1739209769.841448;-45.120503652039325
1739209769.8414524;-45.120503652039325
1739209769.841457;-45.120503652039325
1739209769.8414614;-38.13080360867914
1739209769.841466;-38.13080360867914
1739209769.8414705;-38.13080360867914
1739209769.841475;-35.57807855764607
1739209769.8414793;-45.120503652039325
1739209769.8414838;-45.120503652039325
1739209769.8414884;-45.120503652039325
1739209769.841493;-45.120503652039325
1739209769.8414974;-45.120503652039325
1739209769.841502;-45.120503652039325
1739209769.8415062;-38.13080360867914
1739209769.8415108;-45.120503652039325
1739209769.8415153;-38.13080360867914
1739209769.8415198;-45.120503652039325
1739209769.8415244;-38.13080360867914
1739209769.841529;-30.49652367304973
1739209769.8415332;-32.816014438256545
1739209769.8415377;-38.13080360867914
1739209769.8415422;-45.120503652039325
1739209769.8415468;-32.816014438256545
1739209769.8415513;-38.13080360867914
1739209769.8415556;-45.120503652039325
1739209769.8415601;-45.120503652039325
1739209769.8415647;-45.120503652039325
1739209769.8415692;-38.13080360867914
1739209769.8415737;-38.13080360867914
1739209769.8415782;-45.120503652039325
1739209769.8415825;-45.120503652039325
1739209769.841587;-38.13080360867914
1739209769.8415916;-38.13080360867914
1739209769.8415961;-38.13080360867914
1739209769.8416007;-38.13080360867914
1739209769.8416052;-38.13080360867914
1739209769.8416095;-38.13080360867914
1739209769.841614;-38.13080360867914
1739209769.8416185;-33.981070128970906
1739209769.841623;-38.13080360867914
1739209769.8416276;-38.13080360867914
1739209769.8416321;-38.13080360867914
1739209769.8416364;-33.981070128970906
1739209769.841641;-38.13080360867914
1739209769.8416455;-45.120503652039325
1739209769.84165;-45.120503652039325
1739209769.8416545;-38.13080360867914
1739209769.841659;-35.57807855764607
1739209769.8416634;-45.120503652039325
1739209769.841668;-38.13080360867914
1739209769.8416724;-45.120503652039325
1739209769.841677;-45.120503652039325
1739209769.8416815;-38.13080360867914
1739209769.841686;-38.13080360867914
1739209769.8416903;-45.120503652039325
1739209769.8416948;-38.13080360867914
1739209769.8416994;-33.981070128970906
1739209769.841704;-45.120503652039325
1739209769.8417084;-29.438486411369333
1739209769.841713;-30.49652367304973
1739209769.8417172;-45.120503652039325
1739209769.8417218;-45.120503652039325
1739209769.8417263;-38.13080360867914
1739209769.8417308;-38.13080360867914
1739209769.8417354;-45.120503652039325
1739209769.84174;-35.57807855764607
1739209769.8417442;-38.13080360867914
1739209769.8417487;-45.120503652039325
1739209769.8417532;-45.120503652039325
1739209769.8417578;-45.120503652039325
1739209769.8417623;-45.120503652039325
1739209769.8417668;-45.120503652039325
1739209769.8417711;-45.120503652039325
1739209769.8417757;-45.120503652039325
1739209769.8417802;-29.438486411369333
1739209769.8417847;-35.57807855764607
1739209769.8417892;-45.120503652039325
1739209769.8417938;-38.13080360867914
1739209769.841798;-38.13080360867914
1739209769.8418026;-38.13080360867914
1739209769.8418071;-45.120503652039325
1739209769.8418117;-32.816014438256545
1739209769.8418162;-45.120503652039325
1739209769.8418207;-45.120503652039325
1739209769.841825;-38.13080360867914
1739209769.8418295;-45.120503652039325
