CAN Message; 0x1b8:010015742ce226c8
Timestamp;Amplitude
1739209653.5839665;-45.120503652039325
1739209653.5839694;-45.120503652039325
1739209653.5839722;-38.13080360867914
1739209653.5839753;-45.120503652039325
1739209653.5839782;-45.120503652039325
1739209653.583981;-38.13080360867914
1739209653.583984;-35.57807855764607
1739209653.5839868;-32.816014438256545
1739209653.5839896;-45.120503652039325
1739209653.5839925;-45.120503652039325
1739209653.5839953;-38.13080360867914
1739209653.5839982;-35.57807855764607
1739209653.5840013;-45.120503652039325
1739209653.5840042;-45.120503652039325
1739209653.584007;-33.981070128970906
1739209653.58401;-31.141103565318915
1739209653.5840127;-31.14110356531892
1739209653.5840156;-33.981070128970906
1739209653.5840185;-33.981070128970906
1739209653.5840216;-45.120503652039325
1739209653.5840244;-38.13080360867914
1739209653.5840273;-38.13080360867914
1739209653.5840302;-38.13080360867914
1739209653.584033;-33.981070128970906
1739209653.5840359;-28.992665084841942
1739209653.5840387;-38.13080360867914
1739209653.5840416;-45.120503652039325
1739209653.5840445;-38.13080360867914
1739209653.5840476;-38.13080360867914
1739209653.5840504;-45.120503652039325
1739209653.5840533;-45.120503652039325
1739209653.5840561;-38.13080360867914
1739209653.584059;-32.81601443825658
1739209653.5840619;-45.120503652039325
1739209653.5840647;-33.981070128970906
1739209653.5840678;-45.120503652039325
1739209653.5840707;-45.120503652039325
1739209653.5840735;-38.13080360867914
1739209653.5840764;-35.57807855764607
1739209653.5840793;-38.13080360867914
1739209653.5840821;-31.141103565318915
1739209653.584085;-38.13080360867914
1739209653.5840878;-45.120503652039325
1739209653.5840907;-45.120503652039325
1739209653.5840938;-45.120503652039325
1739209653.5840967;-45.120503652039325
1739209653.5840995;-38.13080360867914
1739209653.5841024;-38.13080360867914
1739209653.5841053;-45.120503652039325
1739209653.584108;-45.120503652039325
1739209653.584111;-38.13080360867914
1739209653.584114;-38.13080360867914
1739209653.584117;-38.13080360867914
1739209653.5841198;-45.120503652039325
1739209653.5841227;-45.120503652039325
1739209653.5841255;-38.13080360867914
1739209653.5841284;-45.120503652039325
1739209653.5841312;-45.120503652039325
1739209653.584134;-38.13080360867914
