CAN Message; 0x98:0000aeb5b1182d6f
Timestamp;Amplitude
1739209845.6125243;-28.992665084841942
1739209845.6125286;-31.141103565318893
1739209845.612533;-38.13080360867914
1739209845.6125376;-45.120503652039325
1739209845.6125422;-32.81601443825658
1739209845.6125464;-45.120503652039325
1739209845.612551;-38.13080360867914
1739209845.6125555;-30.49652367304976
1739209845.61256;-23.506823629689542
1739209845.6125643;-26.991370085610722
1739209845.6125689;-33.981070128970906
1739209845.6125734;-38.13080360867914
1739209845.612578;-25.826314394896357
1739209845.6125822;-29.438486411369333
1739209845.6125867;-38.13080360867914
1739209845.6125913;-38.13080360867914
1739209845.6125958;-32.816014438256545
1739209845.6126;-45.120503652039325
1739209845.6126046;-38.13080360867914
1739209845.6126091;-28.992665084841942
1739209845.6126137;-24.74623867263306
1739209845.612618;-26.991370085610747
1739209845.6126225;-35.57807855764607
1739209845.612627;-33.981070128970956
1739209845.6126316;-45.120503652039325
1739209845.6126359;-28.992665084841942
1739209845.6126404;-45.120503652039325
1739209845.612645;-33.981070128970906
1739209845.6126494;-38.13080360867914
1739209845.6126537;-32.816014438256545
1739209845.6126583;-31.141103565318893
1739209845.6126628;-27.267205301931607
1739209845.6126673;-22.44878636800916
1739209845.6126716;-25.62660358559016
1739209845.6126761;-38.13080360867914
1739209845.6126807;-45.120503652039325
1739209845.6126852;-35.57807855764607
1739209845.6126895;-30.49652367304973
1739209845.612694;-38.13080360867914
1739209845.6126986;-38.13080360867914
1739209845.612703;-33.981070128970906
1739209845.6127074;-31.141103565318915
1739209845.612712;-45.120503652039325
1739209845.6127164;-45.120503652039325
1739209845.612721;-25.826314394896357
1739209845.6127253;-23.38864096791655
1739209845.6127298;-45.120503652039325
1739209845.6127343;-32.816014438256545
1739209845.6127388;-26.991370085610722
1739209845.6127431;-38.13080360867914
1739209845.6127477;-38.13080360867914
1739209845.6127522;-33.981070128970906
1739209845.6127567;-33.981070128970906
1739209845.612761;-45.120503652039325
1739209845.6127656;-38.13080360867914
1739209845.61277;-33.981070128970906
1739209845.6127746;-32.81601443825658
1739209845.612779;-24.74623867263306
1739209845.6127834;-23.50682362968953
1739209845.612788;-35.57807855764607
1739209845.6127925;-31.141103565318915
1739209845.6127968;-33.981070128970906
1739209845.6128013;-45.120503652039325
1739209845.6128058;-28.58837851428586
1739209845.6128101;-31.141103565318915
1739209845.6128147;-32.81601443825658
1739209845.6128192;-31.141103565318915
1739209845.6128237;-31.14110356531892
1739209845.612828;-28.218542851754165
1739209845.6128325;-21.67658091518819
1739209845.612837;-23.506823629689542
1739209845.6128416;-45.120503652039325
1739209845.612846;-38.13080360867914
1739209845.6128504;-38.13080360867914
1739209845.612855;-38.13080360867914
1739209845.6128595;-38.13080360867914
1739209845.6128638;-38.13080360867914
1739209845.6128683;-45.120503652039325
1739209845.6128728;-45.120503652039325
1739209845.6128774;-38.13080360867914
1739209845.6128817;-33.981070128970906
1739209845.6128862;-24.589719217205094
1739209845.6128907;-23.506823629689542
1739209845.6128953;-31.141103565318915
1739209845.6128995;-38.13080360867914
1739209845.612904;-33.981070128970906
1739209845.6129086;-45.120503652039325
1739209845.6129131;-38.13080360867914
1739209845.6129174;-38.13080360867914
1739209845.612922;-33.981070128970906
1739209845.6129265;-35.57807855764607
1739209845.612931;-38.13080360867914
1739209845.6129353;-45.120503652039325
1739209845.6129398;-33.981070128970906
1739209845.6129444;-32.816014438256545
1739209845.612949;-45.120503652039325
1739209845.6129532;-38.13080360867914
1739209845.6129577;-32.816014438256545
1739209845.6129622;-32.816014438256545
1739209845.6129668;-38.13080360867914
1739209845.612971;-35.57807855764607
1739209845.6129756;-45.120503652039325
1739209845.6129801;-38.13080360867914
1739209845.6129847;-38.13080360867914
1739209845.612989;-45.120503652039325
1739209845.6129935;-45.120503652039325
1739209845.612998;-38.13080360867914
1739209845.6130025;-38.13080360867914
