CAN Message; 0x150:000047d36d4823f8
Timestamp;Amplitude
1739209689.1966379;-45.120503652039325
1739209689.1966517;-38.13080360867914
1739209689.1966653;-45.120503652039325
1739209689.1966789;-38.13080360867914
1739209689.1966925;-32.816014438256545
1739209689.196706;-38.13080360867914
1739209689.1967196;-35.57807855764607
1739209689.1967335;-28.992665084841942
1739209689.196747;-38.13080360867914
1739209689.1967607;-45.120503652039325
1739209689.1967742;-45.120503652039325
1739209689.1967878;-45.120503652039325
1739209689.1968014;-45.120503652039325
1739209689.1968153;-45.120503652039325
1739209689.1968288;-45.120503652039325
1739209689.1968424;-45.120503652039325
1739209689.196856;-38.13080360867914
1739209689.1968696;-38.13080360867914
1739209689.1968832;-45.120503652039325
1739209689.196897;-38.13080360867914
1739209689.1969106;-45.120503652039325
1739209689.1969242;-45.120503652039325
1739209689.1969378;-38.13080360867914
1739209689.1969514;-38.13080360867914
1739209689.196965;-35.57807855764607
1739209689.1969788;-35.57807855764607
1739209689.1969924;-38.13080360867914
1739209689.197006;-38.13080360867914
1739209689.1970196;-32.816014438256545
1739209689.1970332;-45.120503652039325
1739209689.1970468;-45.120503652039325
1739209689.1970606;-33.981070128970906
1739209689.1970742;-45.120503652039325
1739209689.1970878;-38.13080360867914
1739209689.1971014;-38.13080360867914
1739209689.197115;-45.120503652039325
1739209689.1971285;-45.120503652039325
1739209689.1971424;-45.120503652039325
1739209689.197156;-45.120503652039325
1739209689.1971695;-45.120503652039325
1739209689.1971831;-38.13080360867914
1739209689.1971967;-45.120503652039325
1739209689.1972103;-45.120503652039325
1739209689.197224;-35.57807855764607
1739209689.1972377;-38.13080360867914
1739209689.1972513;-45.120503652039325
1739209689.197265;-45.120503652039325
1739209689.1972785;-45.120503652039325
1739209689.197292;-38.13080360867914
1739209689.1973057;-45.120503652039325
1739209689.1973195;-45.120503652039325
1739209689.197333;-45.120503652039325
1739209689.1973467;-45.120503652039325
1739209689.1973603;-45.120503652039325
1739209689.1973739;-45.120503652039325
1739209689.1973875;-45.120503652039325
1739209689.1974013;-38.13080360867914
1739209689.1974149;-45.120503652039325
1739209689.1974285;-45.120503652039325
1739209689.197442;-38.13080360867914
1739209689.1974556;-45.120503652039325
1739209689.1974692;-45.120503652039325
1739209689.197483;-45.120503652039325
1739209689.1974967;-35.57807855764607
1739209689.1975102;-38.13080360867914
1739209689.1975238;-45.120503652039325
1739209689.1975374;-45.120503652039325
1739209689.197551;-32.816014438256545
1739209689.1975648;-35.57807855764607
1739209689.1975784;-45.120503652039325
1739209689.197592;-45.120503652039325
1739209689.1976056;-45.120503652039325
1739209689.1976192;-38.13080360867914
1739209689.1976328;-45.120503652039325
1739209689.1976466;-38.13080360867914
1739209689.1976602;-38.13080360867914
1739209689.1976738;-38.13080360867914
1739209689.1976874;-45.120503652039325
1739209689.197701;-45.120503652039325
1739209689.1977146;-45.120503652039325
1739209689.1977284;-38.13080360867914
1739209689.197742;-45.120503652039325
1739209689.1977556;-45.120503652039325
1739209689.1977692;-45.120503652039325
1739209689.1977828;-38.13080360867914
1739209689.1977963;-38.13080360867914
1739209689.1978102;-45.120503652039325
1739209689.1978238;-35.57807855764607
1739209689.1978374;-28.58837851428586
1739209689.197851;-45.120503652039325
1739209689.1978645;-45.120503652039325
1739209689.1978781;-35.57807855764607
1739209689.197892;-31.141103565318915
1739209689.1979055;-38.13080360867914
1739209689.1979191;-38.13080360867914
1739209689.1979327;-45.120503652039325
1739209689.1979463;-45.120503652039325
1739209689.19796;-45.120503652039325
1739209689.1979737;-45.120503652039325
1739209689.1979873;-45.120503652039325
1739209689.198001;-45.120503652039325
1739209689.1980145;-45.120503652039325
1739209689.198028;-45.120503652039325
1739209689.1980417;-35.57807855764607
1739209689.1980555;-35.57807855764607
1739209689.198069;-45.120503652039325
1739209689.1980827;-38.13080360867914
1739209689.1980963;-38.13080360867914
1739209689.1981099;-45.120503652039325
1739209689.1981235;-45.120503652039325
1739209689.1981373;-45.120503652039325
1739209689.1981509;-33.981070128970906
1739209689.1981645;-27.267205301931607
1739209689.198178;-33.981070128970906
1739209689.1981916;-38.13080360867914
1739209689.1982052;-33.981070128970906
1739209689.198219;-33.981070128970906
1739209689.1982327;-45.120503652039325
1739209689.1982462;-45.120503652039325
1739209689.1982598;-38.13080360867914
1739209689.1982734;-38.13080360867914
1739209689.198287;-45.120503652039325
1739209689.1983008;-45.120503652039325
1739209689.1983144;-38.13080360867914
1739209689.198328;-45.120503652039325
1739209689.1983416;-45.120503652039325
1739209689.1983552;-45.120503652039325
1739209689.1983688;-35.57807855764607
1739209689.1983826;-35.57807855764607
1739209689.1983962;-45.120503652039325
1739209689.1984098;-45.120503652039325
1739209689.1984234;-38.13080360867914
1739209689.198437;-45.120503652039325
1739209689.1984506;-45.120503652039325
1739209689.1984644;-38.13080360867914
1739209689.198478;-33.981070128970906
1739209689.1984916;-33.981070128970906
1739209689.1985052;-35.57807855764607
1739209689.1985188;-38.13080360867914
1739209689.1985323;-45.120503652039325
1739209689.1985462;-38.13080360867914
1739209689.1985598;-32.816014438256545
1739209689.1985734;-38.13080360867914
1739209689.198587;-45.120503652039325
1739209689.1986005;-33.981070128970906
1739209689.1986141;-45.120503652039325
1739209689.1986277;-38.13080360867914
1739209689.1986415;-32.816014438256545
1739209689.1986551;-45.120503652039325
1739209689.1986687;-45.120503652039325
1739209689.1986823;-45.120503652039325
1739209689.198696;-35.57807855764607
1739209689.1987095;-35.57807855764607
1739209689.1987233;-45.120503652039325
1739209689.198737;-45.120503652039325
1739209689.1987505;-45.120503652039325
1739209689.198764;-45.120503652039325
1739209689.1987777;-45.120503652039325
1739209689.1987913;-38.13080360867914
1739209689.198805;-45.120503652039325
1739209689.1988187;-38.13080360867914
1739209689.1988323;-33.981070128970906
1739209689.1988459;-38.13080360867914
1739209689.1988595;-38.13080360867914
1739209689.198873;-33.981070128970906
1739209689.1988869;-35.57807855764607
1739209689.1989005;-45.120503652039325
1739209689.198914;-38.13080360867914
1739209689.1989276;-45.120503652039325
1739209689.1989412;-38.13080360867914
1739209689.1989548;-45.120503652039325
1739209689.1989686;-38.13080360867914
1739209689.1989822;-45.120503652039325
1739209689.1989958;-45.120503652039325
1739209689.1990094;-45.120503652039325
1739209689.199023;-38.13080360867914
1739209689.1990366;-38.13080360867914
1739209689.1990504;-38.13080360867914
1739209689.199064;-38.13080360867914
1739209689.1990776;-45.120503652039325
1739209689.1990912;-38.13080360867914
1739209689.1991048;-38.13080360867914
1739209689.1991184;-45.120503652039325
1739209689.1991322;-45.120503652039325
1739209689.1991458;-45.120503652039325
1739209689.1991594;-33.981070128970906
1739209689.199173;-38.13080360867914
1739209689.1991866;-45.120503652039325
1739209689.1992002;-45.120503652039325
1739209689.199214;-35.57807855764607
1739209689.1992276;-38.13080360867914
1739209689.1992412;-38.13080360867914
1739209689.1992548;-38.13080360867914
1739209689.1992683;-31.141103565318943
1739209689.199282;-45.120503652039325
1739209689.1992958;-45.120503652039325
1739209689.1993093;-45.120503652039325
1739209689.199323;-45.120503652039325
1739209689.1993365;-38.13080360867914
1739209689.19935;-45.120503652039325
1739209689.1993637;-45.120503652039325
1739209689.1993775;-30.49652367304973
1739209689.1993911;-35.57807855764607
1739209689.1994047;-45.120503652039325
1739209689.1994183;-45.120503652039325
1739209689.199432;-31.141103565318915
1739209689.1994455;-35.57807855764607
1739209689.1994593;-45.120503652039325
1739209689.199473;-45.120503652039325
1739209689.1994865;-35.57807855764607
1739209689.1995;-35.57807855764607
1739209689.1995137;-45.120503652039325
1739209689.1995273;-45.120503652039325
1739209689.199541;-38.13080360867914
1739209689.1995547;-45.120503652039325
1739209689.1995683;-45.120503652039325
1739209689.1995819;-35.57807855764607
1739209689.1995955;-38.13080360867914
1739209689.199609;-38.13080360867914
1739209689.1996229;-45.120503652039325
1739209689.1996365;-45.120503652039325
1739209689.19965;-45.120503652039325
1739209689.1996636;-38.13080360867914
1739209689.1996772;-45.120503652039325
1739209689.1996908;-45.120503652039325
1739209689.1997046;-26.487275050834715
1739209689.1997182;-29.438486411369333
1739209689.1997318;-45.120503652039325
1739209689.1997454;-45.120503652039325
1739209689.199759;-33.981070128970906
1739209689.1997726;-38.13080360867914
1739209689.1997864;-45.120503652039325
1739209689.1998;-45.120503652039325
1739209689.1998136;-45.120503652039325
1739209689.1998272;-45.120503652039325
1739209689.1998408;-45.120503652039325
1739209689.1998544;-45.120503652039325
1739209689.1998682;-45.120503652039325
1739209689.1998818;-33.981070128970906
1739209689.1998954;-45.120503652039325
1739209689.199909;-45.120503652039325
1739209689.1999226;-35.57807855764607
1739209689.1999362;-32.816014438256545
1739209689.19995;-45.120503652039325
1739209689.1999636;-38.13080360867914
1739209689.1999772;-45.120503652039325
1739209689.1999907;-45.120503652039325
1739209689.2000043;-38.13080360867914
1739209689.200018;-45.120503652039325
1739209689.2000315;-35.57807855764607
1739209689.2000453;-35.57807855764607
1739209689.200059;-45.120503652039325
1739209689.2000725;-38.13080360867914
1739209689.200086;-33.981070128970906
1739209689.2000997;-45.120503652039325
1739209689.2001133;-45.120503652039325
1739209689.2001271;-45.120503652039325
1739209689.2001407;-45.120503652039325
1739209689.2001543;-38.13080360867914
1739209689.200168;-38.13080360867914
1739209689.2001815;-45.120503652039325
1739209689.200195;-45.120503652039325
1739209689.200209;-38.13080360867914
1739209689.2002225;-38.13080360867914
1739209689.200236;-45.120503652039325
1739209689.2002497;-32.816014438256545
1739209689.2002633;-35.57807855764607
1739209689.2002769;-38.13080360867914
1739209689.2002907;-38.13080360867914
1739209689.2003043;-38.13080360867914
1739209689.2003179;-45.120503652039325
1739209689.2003314;-45.120503652039325
1739209689.200345;-45.120503652039325
1739209689.2003586;-45.120503652039325
1739209689.2003725;-45.120503652039325
1739209689.200386;-45.120503652039325
1739209689.2003996;-45.120503652039325
1739209689.2004132;-33.981070128970906
1739209689.2004268;-38.13080360867914
1739209689.2004404;-45.120503652039325
1739209689.2004542;-45.120503652039325
1739209689.2004678;-38.13080360867914
1739209689.2004814;-38.13080360867914
1739209689.200495;-38.13080360867914
1739209689.2005086;-38.13080360867914
1739209689.2005222;-38.13080360867914
1739209689.200536;-45.120503652039325
1739209689.2005496;-38.13080360867914
1739209689.2005632;-38.13080360867914
1739209689.2005768;-38.13080360867914
1739209689.2005904;-38.13080360867914
1739209689.200604;-38.13080360867914
1739209689.2006178;-45.120503652039325
1739209689.2006314;-45.120503652039325
1739209689.200645;-45.120503652039325
1739209689.2006586;-45.120503652039325
1739209689.2006721;-35.57807855764607
1739209689.2006857;-38.13080360867914
1739209689.2006996;-38.13080360867914
1739209689.2007132;-38.13080360867914
1739209689.2007267;-45.120503652039325
1739209689.2007403;-45.120503652039325
1739209689.200754;-35.57807855764607
1739209689.2007675;-38.13080360867914
1739209689.2007813;-45.120503652039325
1739209689.200795;-38.13080360867914
1739209689.2008085;-31.141103565318915
1739209689.200822;-33.981070128970906
1739209689.2008357;-38.13080360867914
1739209689.2008493;-45.120503652039325
1739209689.2008631;-45.120503652039325
1739209689.2008767;-38.13080360867914
1739209689.2008903;-38.13080360867914
1739209689.200904;-38.13080360867914
1739209689.2009175;-33.981070128970906
1739209689.200931;-38.13080360867914
1739209689.200945;-45.120503652039325
1739209689.2009585;-45.120503652039325
1739209689.200972;-38.13080360867914
1739209689.2009857;-38.13080360867914
1739209689.2009993;-38.13080360867914
