CAN Message; 0x98:00000dd49d9afc67
Timestamp;Amplitude
1739209629.04565;-45.120503652039325
1739209629.0456548;-38.13080360867914
1739209629.0456593;-38.13080360867914
1739209629.0456638;-38.13080360867914
1739209629.0456686;-45.120503652039325
1739209629.0456731;-38.13080360867914
1739209629.045678;-38.13080360867914
1739209629.0456824;-33.981070128970906
1739209629.045687;-38.13080360867914
1739209629.0456917;-45.120503652039325
1739209629.0456963;-35.57807855764607
1739209629.045701;-38.13080360867914
1739209629.0457056;-45.120503652039325
1739209629.04571;-38.13080360867914
1739209629.0457149;-35.57807855764607
1739209629.0457194;-45.120503652039325
1739209629.045724;-45.120503652039325
1739209629.0457287;-38.13080360867914
1739209629.0457332;-38.13080360867914
1739209629.0457377;-38.13080360867914
1739209629.0457425;-45.120503652039325
1739209629.045747;-45.120503652039325
1739209629.0457518;-35.57807855764607
1739209629.0457563;-38.13080360867914
1739209629.0457609;-45.120503652039325
1739209629.0457656;-38.13080360867914
1739209629.0457702;-38.13080360867914
1739209629.045775;-38.13080360867914
1739209629.0457795;-35.57807855764607
1739209629.045784;-45.120503652039325
1739209629.0457888;-35.57807855764607
1739209629.0457933;-38.13080360867914
1739209629.0457978;-38.13080360867914
1739209629.0458026;-38.13080360867914
1739209629.0458071;-35.57807855764607
1739209629.0458117;-45.120503652039325
1739209629.0458164;-45.120503652039325
1739209629.045821;-38.13080360867914
1739209629.0458257;-38.13080360867914
1739209629.0458302;-45.120503652039325
1739209629.0458348;-45.120503652039325
1739209629.0458395;-38.13080360867914
1739209629.045844;-38.13080360867914
1739209629.0458488;-38.13080360867914
1739209629.0458534;-45.120503652039325
1739209629.045858;-38.13080360867914
1739209629.0458627;-45.120503652039325
1739209629.0458672;-38.13080360867914
1739209629.0458717;-35.57807855764607
1739209629.0458765;-45.120503652039325
1739209629.045881;-38.13080360867914
1739209629.0458856;-38.13080360867914
1739209629.0458903;-32.816014438256545
1739209629.0458949;-38.13080360867914
1739209629.0458996;-32.816014438256545
1739209629.0459042;-38.13080360867914
1739209629.0459087;-45.120503652039325
1739209629.0459135;-45.120503652039325
1739209629.045918;-38.13080360867914
1739209629.0459228;-45.120503652039325
1739209629.0459273;-33.981070128970956
1739209629.0459318;-38.13080360867914
1739209629.0459366;-32.816014438256545
1739209629.045941;-38.13080360867914
1739209629.0459456;-45.120503652039325
1739209629.0459504;-45.120503652039325
1739209629.045955;-38.13080360867914
1739209629.0459595;-38.13080360867914
1739209629.0459642;-27.8777449560314
1739209629.0459688;-38.13080360867914
1739209629.0459735;-45.120503652039325
1739209629.045978;-38.13080360867914
1739209629.0459826;-38.13080360867914
1739209629.0459874;-45.120503652039325
1739209629.045992;-32.816014438256545
1739209629.0459967;-45.120503652039325
1739209629.0460012;-33.981070128970956
1739209629.0460057;-38.13080360867914
1739209629.0460105;-38.13080360867914
1739209629.046015;-38.13080360867914
1739209629.0460196;-45.120503652039325
1739209629.0460243;-45.120503652039325
1739209629.0460289;-35.57807855764607
1739209629.0460334;-45.120503652039325
1739209629.0460382;-38.13080360867914
1739209629.0460427;-35.57807855764607
1739209629.0460474;-35.57807855764607
1739209629.046052;-38.13080360867914
1739209629.0460565;-35.57807855764607
1739209629.0460613;-33.981070128970906
1739209629.0460658;-38.13080360867914
1739209629.0460706;-38.13080360867914
1739209629.046075;-33.981070128970956
1739209629.0460796;-38.13080360867914
1739209629.0460844;-35.57807855764607
1739209629.046089;-38.13080360867914
1739209629.0460935;-45.120503652039325
1739209629.0460982;-33.981070128970906
1739209629.0461028;-38.13080360867914
1739209629.0461073;-38.13080360867914
1739209629.046112;-35.57807855764607
1739209629.0461166;-45.120503652039325
1739209629.0461214;-45.120503652039325
1739209629.046126;-45.120503652039325
1739209629.0461304;-45.120503652039325
1739209629.0461352;-38.13080360867914
1739209629.0461397;-45.120503652039325
1739209629.0461445;-38.13080360867914
1739209629.046149;-38.13080360867914
1739209629.0461535;-35.57807855764607
1739209629.0461583;-35.57807855764607
1739209629.0461628;-45.120503652039325
1739209629.0461674;-45.120503652039325
1739209629.0461721;-38.13080360867914
1739209629.0461767;-45.120503652039325
1739209629.0461812;-38.13080360867914
1739209629.046186;-32.81601443825658
1739209629.0461905;-38.13080360867914
