CAN Message; 0x1b8:030014d15ef9dd37
Timestamp;Amplitude
1739209718.1957524;-38.13080360867914
1739209718.1957598;-45.120503652039325
1739209718.1957674;-38.13080360867914
1739209718.1957748;-45.120503652039325
1739209718.1957824;-35.57807855764607
1739209718.1957898;-38.13080360867914
1739209718.1957974;-45.120503652039325
1739209718.1958048;-38.13080360867914
1739209718.1958125;-35.57807855764607
1739209718.1958199;-38.13080360867914
1739209718.1958275;-38.13080360867914
1739209718.1958349;-38.13080360867914
1739209718.1958425;-38.13080360867914
1739209718.19585;-38.13080360867914
1739209718.1958575;-38.13080360867914
1739209718.195865;-38.13080360867914
1739209718.1958725;-45.120503652039325
1739209718.19588;-33.981070128970906
1739209718.1958876;-45.120503652039325
1739209718.195895;-45.120503652039325
1739209718.1959026;-38.13080360867914
1739209718.1959102;-45.120503652039325
1739209718.1959176;-45.120503652039325
1739209718.1959252;-45.120503652039325
1739209718.1959326;-38.13080360867914
1739209718.1959403;-45.120503652039325
1739209718.1959476;-45.120503652039325
1739209718.1959553;-38.13080360867914
1739209718.1959627;-45.120503652039325
1739209718.1959703;-38.13080360867914
1739209718.1959777;-33.981070128970906
1739209718.1959853;-45.120503652039325
1739209718.1959927;-38.13080360867914
1739209718.1960003;-38.13080360867914
1739209718.1960077;-45.120503652039325
1739209718.1960154;-38.13080360867914
1739209718.1960227;-45.120503652039325
1739209718.1960304;-45.120503652039325
1739209718.1960378;-38.13080360867914
1739209718.1960454;-32.816014438256545
1739209718.196053;-45.120503652039325
1739209718.1960604;-45.120503652039325
1739209718.196068;-45.120503652039325
1739209718.1960754;-38.13080360867914
1739209718.196083;-35.57807855764607
1739209718.1960905;-38.13080360867914
1739209718.196098;-35.57807855764607
1739209718.1961055;-33.981070128970906
1739209718.196113;-38.13080360867914
1739209718.1961205;-38.13080360867914
1739209718.1961281;-38.13080360867914
1739209718.1961355;-33.981070128970906
1739209718.1961432;-45.120503652039325
1739209718.1961505;-45.120503652039325
1739209718.1961582;-33.981070128970906
1739209718.1961656;-45.120503652039325
1739209718.1961732;-45.120503652039325
1739209718.1961806;-45.120503652039325
1739209718.1961882;-35.57807855764607
1739209718.1961956;-33.981070128970906
1739209718.1962032;-45.120503652039325
1739209718.1962109;-38.13080360867914
1739209718.1962183;-45.120503652039325
1739209718.196226;-38.13080360867914
1739209718.1962333;-32.816014438256545
1739209718.196241;-45.120503652039325
1739209718.1962483;-38.13080360867914
1739209718.196256;-38.13080360867914
1739209718.1962633;-45.120503652039325
1739209718.196271;-45.120503652039325
1739209718.1962783;-35.57807855764607
1739209718.196286;-33.981070128970906
1739209718.1962934;-45.120503652039325
1739209718.196301;-45.120503652039325
1739209718.1963084;-38.13080360867914
1739209718.196316;-38.13080360867914
1739209718.1963234;-45.120503652039325
1739209718.196331;-45.120503652039325
1739209718.1963384;-35.57807855764607
1739209718.196346;-33.981070128970906
1739209718.1963534;-35.57807855764607
1739209718.196361;-45.120503652039325
1739209718.1963687;-45.120503652039325
1739209718.196376;-45.120503652039325
1739209718.1963837;-29.438486411369333
1739209718.196391;-31.141103565318893
1739209718.1963987;-45.120503652039325
1739209718.1964061;-38.13080360867914
1739209718.1964138;-45.120503652039325
1739209718.1964211;-45.120503652039325
1739209718.1964288;-45.120503652039325
1739209718.1964362;-38.13080360867914
1739209718.1964438;-38.13080360867914
1739209718.1964512;-45.120503652039325
1739209718.1964588;-38.13080360867914
1739209718.1964662;-45.120503652039325
1739209718.1964738;-45.120503652039325
1739209718.1964812;-45.120503652039325
1739209718.1964889;-45.120503652039325
1739209718.1964962;-45.120503652039325
1739209718.1965039;-30.49652367304973
1739209718.1965113;-27.8777449560314
1739209718.196519;-45.120503652039325
1739209718.1965265;-45.120503652039325
1739209718.196534;-45.120503652039325
1739209718.1965415;-38.13080360867914
1739209718.196549;-38.13080360867914
1739209718.1965566;-45.120503652039325
1739209718.196564;-45.120503652039325
1739209718.1965716;-33.981070128970956
1739209718.196579;-45.120503652039325
1739209718.1965866;-45.120503652039325
1739209718.196594;-45.120503652039325
1739209718.1966016;-45.120503652039325
1739209718.196609;-35.57807855764607
1739209718.1966166;-45.120503652039325
1739209718.196624;-32.816014438256545
1739209718.1966317;-25.62660358559016
1739209718.196639;-45.120503652039325
1739209718.1966467;-38.13080360867914
1739209718.196654;-38.13080360867914
1739209718.1966617;-33.981070128970906
1739209718.1966693;-45.120503652039325
1739209718.1966767;-38.13080360867914
1739209718.1966844;-45.120503652039325
1739209718.1966918;-38.13080360867914
1739209718.1966994;-45.120503652039325
1739209718.1967068;-38.13080360867914
1739209718.1967144;-45.120503652039325
1739209718.1967218;-45.120503652039325
1739209718.1967294;-45.120503652039325
1739209718.1967368;-45.120503652039325
1739209718.1967444;-35.57807855764607
1739209718.1967518;-27.267205301931607
1739209718.1967595;-45.120503652039325
1739209718.1967669;-45.120503652039325
1739209718.1967745;-45.120503652039325
1739209718.1967819;-38.13080360867914
1739209718.1967895;-45.120503652039325
1739209718.196797;-45.120503652039325
1739209718.1968045;-33.981070128970906
1739209718.196812;-45.120503652039325
1739209718.1968195;-45.120503652039325
1739209718.1968272;-38.13080360867914
1739209718.1968346;-32.816014438256545
1739209718.1968422;-38.13080360867914
1739209718.1968496;-45.120503652039325
1739209718.1968572;-45.120503652039325
1739209718.1968646;-35.57807855764607
1739209718.1968722;-38.13080360867914
1739209718.1968796;-45.120503652039325
