CAN Message; 0x1d3:0000fe4050eff735
Timestamp;Amplitude
1739209684.725177;-35.57807855764607
1739209684.7251863;-45.120503652039325
1739209684.725196;-38.13080360867914
1739209684.7252052;-38.13080360867914
1739209684.7252147;-45.120503652039325
1739209684.725224;-45.120503652039325
1739209684.7252336;-45.120503652039325
1739209684.7252429;-35.57807855764607
1739209684.7252524;-45.120503652039325
1739209684.7252617;-35.57807855764607
1739209684.7252712;-27.8777449560314
1739209684.7252805;-45.120503652039325
1739209684.72529;-45.120503652039325
1739209684.7252994;-38.13080360867914
1739209684.725309;-35.57807855764607
1739209684.7253182;-45.120503652039325
1739209684.7253277;-45.120503652039325
1739209684.725337;-45.120503652039325
1739209684.7253466;-45.120503652039325
1739209684.7253559;-38.13080360867914
1739209684.7253654;-45.120503652039325
1739209684.7253747;-38.13080360867914
1739209684.7253842;-38.13080360867914
1739209684.7253935;-38.13080360867914
1739209684.725403;-45.120503652039325
1739209684.7254124;-45.120503652039325
1739209684.725422;-33.981070128970956
1739209684.7254312;-45.120503652039325
1739209684.7254407;-45.120503652039325
1739209684.72545;-45.120503652039325
1739209684.7254596;-45.120503652039325
1739209684.7254689;-38.13080360867914
1739209684.7254784;-45.120503652039325
1739209684.7254877;-45.120503652039325
1739209684.7254972;-26.991370085610722
1739209684.7255065;-38.13080360867914
1739209684.725516;-38.13080360867914
1739209684.7255254;-38.13080360867914
1739209684.725535;-38.13080360867914
1739209684.7255442;-38.13080360867914
1739209684.7255538;-45.120503652039325
1739209684.725563;-45.120503652039325
1739209684.7255726;-45.120503652039325
1739209684.7255821;-45.120503652039325
1739209684.7255914;-45.120503652039325
1739209684.725601;-38.13080360867914
1739209684.7256103;-38.13080360867914
1739209684.7256198;-45.120503652039325
1739209684.725629;-38.13080360867914
1739209684.7256386;-45.120503652039325
1739209684.725648;-45.120503652039325
1739209684.7256575;-45.120503652039325
1739209684.7256668;-45.120503652039325
1739209684.7256763;-45.120503652039325
1739209684.7256856;-45.120503652039325
1739209684.7256951;-38.13080360867914
1739209684.7257044;-38.13080360867914
1739209684.725714;-45.120503652039325
1739209684.7257233;-38.13080360867914
1739209684.7257328;-33.981070128970906
1739209684.725742;-45.120503652039325
1739209684.7257516;-38.13080360867914
1739209684.725761;-38.13080360867914
1739209684.7257705;-38.13080360867914
1739209684.7257798;-45.120503652039325
1739209684.7257893;-45.120503652039325
1739209684.7257986;-45.120503652039325
1739209684.7258081;-45.120503652039325
1739209684.7258174;-45.120503652039325
1739209684.725827;-33.981070128970906
1739209684.7258363;-45.120503652039325
1739209684.7258458;-38.13080360867914
1739209684.725855;-45.120503652039325
1739209684.7258646;-38.13080360867914
1739209684.725874;-33.981070128970906
1739209684.7258835;-38.13080360867914
1739209684.7258928;-45.120503652039325
1739209684.7259023;-35.57807855764607
1739209684.7259116;-35.57807855764607
1739209684.7259212;-45.120503652039325
1739209684.7259305;-45.120503652039325
1739209684.72594;-38.13080360867914
1739209684.7259493;-35.57807855764607
1739209684.7259588;-38.13080360867914
1739209684.7259681;-45.120503652039325
1739209684.7259777;-38.13080360867914
1739209684.7259872;-33.981070128970906
1739209684.7259965;-35.57807855764607
1739209684.726006;-45.120503652039325
1739209684.7260153;-38.13080360867914
1739209684.7260249;-38.13080360867914
1739209684.7260342;-32.816014438256545
1739209684.7260437;-45.120503652039325
1739209684.726053;-45.120503652039325
1739209684.7260625;-45.120503652039325
1739209684.7260718;-38.13080360867914
1739209684.7260814;-38.13080360867914
1739209684.7260907;-45.120503652039325
1739209684.7261002;-38.13080360867914
1739209684.7261095;-45.120503652039325
1739209684.726119;-45.120503652039325
1739209684.7261283;-45.120503652039325
1739209684.7261379;-38.13080360867914
1739209684.7261472;-38.13080360867914
1739209684.7261567;-45.120503652039325
1739209684.726166;-45.120503652039325
1739209684.7261755;-45.120503652039325
1739209684.7261848;-33.981070128970906
1739209684.7261944;-45.120503652039325
1739209684.7262037;-38.13080360867914
1739209684.7262132;-38.13080360867914
1739209684.7262225;-38.13080360867914
1739209684.726232;-45.120503652039325
1739209684.7262414;-33.981070128970906
1739209684.726251;-38.13080360867914
1739209684.7262602;-32.81601443825658
1739209684.7262697;-45.120503652039325
1739209684.726279;-45.120503652039325
1739209684.7262886;-45.120503652039325
1739209684.7262979;-45.120503652039325
1739209684.7263074;-38.13080360867914
1739209684.7263167;-38.13080360867914
1739209684.7263262;-38.13080360867914
1739209684.7263355;-27.267205301931607
1739209684.726345;-33.981070128970906
1739209684.7263544;-38.13080360867914
1739209684.726364;-45.120503652039325
1739209684.7263732;-45.120503652039325
1739209684.7263827;-38.13080360867914
1739209684.7263923;-35.57807855764607
1739209684.7264016;-38.13080360867914
1739209684.726411;-45.120503652039325
1739209684.7264204;-45.120503652039325
1739209684.72643;-45.120503652039325
1739209684.7264392;-33.981070128970906
1739209684.7264488;-38.13080360867914
1739209684.726458;-45.120503652039325
1739209684.7264676;-45.120503652039325
1739209684.726477;-45.120503652039325
1739209684.7264864;-45.120503652039325
1739209684.7264957;-45.120503652039325
1739209684.7265053;-35.57807855764607
1739209684.7265146;-38.13080360867914
1739209684.726524;-45.120503652039325
1739209684.7265334;-45.120503652039325
1739209684.726543;-45.120503652039325
1739209684.7265522;-45.120503652039325
1739209684.7265618;-31.141103565318915
1739209684.726571;-32.816014438256545
1739209684.7265806;-45.120503652039325
1739209684.72659;-45.120503652039325
1739209684.7265995;-33.981070128970906
1739209684.7266088;-45.120503652039325
1739209684.7266183;-45.120503652039325
1739209684.7266276;-38.13080360867914
1739209684.7266371;-38.13080360867914
1739209684.7266464;-38.13080360867914
1739209684.726656;-38.13080360867914
1739209684.7266653;-45.120503652039325
1739209684.7266748;-45.120503652039325
1739209684.726684;-33.981070128970906
1739209684.7266936;-45.120503652039325
1739209684.726703;-45.120503652039325
1739209684.7267125;-30.49652367304973
1739209684.7267218;-32.816014438256545
1739209684.7267313;-45.120503652039325
1739209684.7267406;-45.120503652039325
1739209684.7267501;-45.120503652039325
1739209684.7267594;-45.120503652039325
1739209684.726769;-45.120503652039325
1739209684.7267785;-45.120503652039325
1739209684.7267878;-45.120503652039325
1739209684.7267973;-45.120503652039325
1739209684.7268066;-45.120503652039325
1739209684.7268162;-45.120503652039325
1739209684.7268255;-35.57807855764607
1739209684.726835;-35.57807855764607
1739209684.7268443;-38.13080360867914
1739209684.7268538;-38.13080360867914
1739209684.7268631;-38.13080360867914
1739209684.7268727;-32.816014438256545
1739209684.726882;-45.120503652039325
