CAN Message; 0x77:ac8b7705603b98f6
Timestamp;Amplitude
1739209637.4009564;-38.13080360867914
1739209637.4009664;-35.57807855764607
1739209637.4009764;-35.57807855764607
1739209637.4009864;-38.13080360867914
1739209637.4009967;-38.13080360867914
1739209637.4010067;-33.981070128970906
1739209637.4010167;-38.13080360867914
1739209637.4010267;-38.13080360867914
1739209637.4010367;-45.120503652039325
1739209637.4010468;-38.13080360867914
1739209637.4010568;-35.57807855764607
1739209637.4010668;-38.13080360867914
1739209637.401077;-45.120503652039325
1739209637.401087;-45.120503652039325
1739209637.401097;-38.13080360867914
1739209637.401107;-33.981070128970906
1739209637.401117;-45.120503652039325
1739209637.401127;-38.13080360867914
1739209637.401137;-35.57807855764607
1739209637.4011471;-38.13080360867914
1739209637.4011574;-45.120503652039325
1739209637.4011674;-38.13080360867914
1739209637.4011774;-38.13080360867914
1739209637.4011874;-45.120503652039325
1739209637.4011974;-45.120503652039325
1739209637.4012074;-38.13080360867914
1739209637.4012175;-38.13080360867914
1739209637.4012275;-45.120503652039325
1739209637.4012375;-45.120503652039325
1739209637.4012477;-45.120503652039325
1739209637.4012578;-35.57807855764607
1739209637.4012678;-33.981070128970906
1739209637.4012778;-45.120503652039325
1739209637.4012878;-45.120503652039325
1739209637.4012978;-35.57807855764607
1739209637.4013078;-38.13080360867914
1739209637.4013178;-45.120503652039325
1739209637.401328;-38.13080360867914
1739209637.401338;-45.120503652039325
1739209637.401348;-38.13080360867914
1739209637.4013581;-45.120503652039325
1739209637.4013681;-38.13080360867914
1739209637.4013782;-38.13080360867914
1739209637.4013882;-38.13080360867914
1739209637.4013982;-45.120503652039325
1739209637.4014084;-38.13080360867914
1739209637.4014184;-35.57807855764607
1739209637.4014285;-38.13080360867914
1739209637.4014385;-45.120503652039325
1739209637.4014485;-45.120503652039325
1739209637.4014585;-45.120503652039325
1739209637.4014685;-45.120503652039325
1739209637.4014785;-45.120503652039325
1739209637.4014885;-38.13080360867914
1739209637.4014988;-45.120503652039325
1739209637.4015088;-38.13080360867914
1739209637.4015188;-45.120503652039325
1739209637.4015288;-38.13080360867914
1739209637.4015388;-35.57807855764607
1739209637.4015489;-45.120503652039325
1739209637.4015589;-45.120503652039325
1739209637.401569;-45.120503652039325
1739209637.4015791;-38.13080360867914
1739209637.4015892;-38.13080360867914
1739209637.4015992;-45.120503652039325
1739209637.4016092;-45.120503652039325
1739209637.4016192;-45.120503652039325
1739209637.4016292;-45.120503652039325
1739209637.4016392;-45.120503652039325
1739209637.4016492;-35.57807855764607
1739209637.4016595;-45.120503652039325
1739209637.4016695;-45.120503652039325
1739209637.4016795;-38.13080360867914
1739209637.4016895;-35.57807855764607
1739209637.4016995;-33.981070128970906
1739209637.4017096;-45.120503652039325
1739209637.4017196;-35.57807855764607
1739209637.4017296;-35.57807855764607
1739209637.4017396;-38.13080360867914
1739209637.4017498;-38.13080360867914
1739209637.4017599;-45.120503652039325
1739209637.4017699;-38.13080360867914
1739209637.40178;-45.120503652039325
1739209637.40179;-45.120503652039325
1739209637.4018;-32.816014438256545
1739209637.40181;-38.13080360867914
1739209637.40182;-45.120503652039325
1739209637.4018302;-35.57807855764607
1739209637.4018402;-35.57807855764607
1739209637.4018502;-45.120503652039325
1739209637.4018602;-35.57807855764607
1739209637.4018703;-38.13080360867914
1739209637.4018803;-38.13080360867914
1739209637.4018903;-45.120503652039325
1739209637.4019003;-38.13080360867914
1739209637.4019105;-38.13080360867914
1739209637.4019206;-45.120503652039325
1739209637.4019306;-38.13080360867914
1739209637.4019406;-45.120503652039325
1739209637.4019506;-45.120503652039325
1739209637.4019606;-35.57807855764607
1739209637.4019706;-38.13080360867914
1739209637.4019806;-45.120503652039325
1739209637.4019907;-38.13080360867914
1739209637.402001;-35.57807855764607
1739209637.402011;-38.13080360867914
1739209637.402021;-38.13080360867914
1739209637.402031;-35.57807855764607
1739209637.402041;-38.13080360867914
1739209637.402051;-45.120503652039325
1739209637.402061;-35.57807855764607
1739209637.402071;-38.13080360867914
1739209637.4020813;-45.120503652039325
1739209637.4020913;-33.981070128970906
1739209637.4021013;-45.120503652039325
1739209637.4021113;-45.120503652039325
1739209637.4021213;-38.13080360867914
1739209637.4021313;-45.120503652039325
1739209637.4021413;-45.120503652039325
1739209637.4021513;-45.120503652039325
1739209637.4021616;-45.120503652039325
1739209637.4021716;-45.120503652039325
1739209637.4021816;-45.120503652039325
1739209637.4021916;-45.120503652039325
1739209637.4022017;-38.13080360867914
1739209637.4022117;-45.120503652039325
1739209637.4022217;-35.57807855764607
1739209637.4022317;-38.13080360867914
1739209637.4022417;-45.120503652039325
1739209637.402252;-33.981070128970906
1739209637.402262;-45.120503652039325
1739209637.402272;-38.13080360867914
1739209637.402282;-38.13080360867914
1739209637.402292;-38.13080360867914
1739209637.402302;-45.120503652039325
1739209637.402312;-45.120503652039325
1739209637.402322;-45.120503652039325
1739209637.4023323;-38.13080360867914
1739209637.4023423;-45.120503652039325
1739209637.4023523;-38.13080360867914
1739209637.4023623;-45.120503652039325
1739209637.4023724;-38.13080360867914
1739209637.4023824;-45.120503652039325
1739209637.4023924;-45.120503652039325
1739209637.4024024;-38.13080360867914
1739209637.4024127;-45.120503652039325
1739209637.4024227;-38.13080360867914
1739209637.4024327;-28.992665084841942
1739209637.4024427;-45.120503652039325
1739209637.4024527;-38.13080360867914
1739209637.4024627;-45.120503652039325
1739209637.4024727;-45.120503652039325
1739209637.4024827;-35.57807855764607
1739209637.4024928;-38.13080360867914
1739209637.402503;-45.120503652039325
1739209637.402513;-32.81601443825658
1739209637.402523;-45.120503652039325
1739209637.402533;-45.120503652039325
1739209637.402543;-38.13080360867914
1739209637.402553;-35.57807855764607
1739209637.402563;-35.57807855764607
1739209637.402573;-38.13080360867914
1739209637.4025834;-33.981070128970906
1739209637.4025934;-27.267205301931607
1739209637.4026034;-38.13080360867914
1739209637.4026134;-38.13080360867914
1739209637.4026234;-38.13080360867914
1739209637.4026334;-33.981070128970906
