CAN Message; 0x150:0000bfe99e1ac25d
Timestamp;Amplitude
1739209844.7973087;-45.120503652039325
1739209844.7973118;-38.13080360867914
1739209844.7973151;-38.13080360867914
1739209844.7973182;-45.120503652039325
1739209844.7973216;-45.120503652039325
1739209844.7973247;-45.120503652039325
1739209844.797328;-31.141103565318915
1739209844.797331;-31.141103565318915
1739209844.7973344;-45.120503652039325
1739209844.7973375;-45.120503652039325
1739209844.7973409;-38.13080360867914
1739209844.7973442;-32.816014438256545
1739209844.7973473;-38.13080360867914
1739209844.7973506;-38.13080360867914
1739209844.7973537;-38.13080360867914
1739209844.797357;-38.13080360867914
1739209844.7973602;-45.120503652039325
1739209844.7973635;-35.57807855764607
1739209844.7973666;-35.57807855764607
1739209844.79737;-45.120503652039325
1739209844.797373;-45.120503652039325
1739209844.7973764;-45.120503652039325
1739209844.7973795;-38.13080360867914
1739209844.7973828;-38.13080360867914
1739209844.7973862;-45.120503652039325
1739209844.7973893;-45.120503652039325
1739209844.7973926;-45.120503652039325
1739209844.7973957;-38.13080360867914
1739209844.797399;-38.13080360867914
1739209844.7974021;-38.13080360867914
1739209844.7974055;-45.120503652039325
1739209844.7974086;-38.13080360867914
1739209844.797412;-38.13080360867914
1739209844.797415;-45.120503652039325
1739209844.7974184;-45.120503652039325
1739209844.7974217;-35.57807855764607
1739209844.7974248;-35.57807855764607
1739209844.7974281;-45.120503652039325
1739209844.7974312;-45.120503652039325
1739209844.7974346;-38.13080360867914
1739209844.7974377;-35.57807855764607
1739209844.797441;-38.13080360867914
1739209844.797444;-45.120503652039325
1739209844.7974474;-45.120503652039325
1739209844.7974505;-45.120503652039325
1739209844.7974539;-45.120503652039325
1739209844.797457;-45.120503652039325
1739209844.7974603;-38.13080360867914
1739209844.7974637;-38.13080360867914
1739209844.7974668;-33.981070128970906
1739209844.79747;-38.13080360867914
1739209844.7974732;-38.13080360867914
1739209844.7974765;-45.120503652039325
1739209844.7974796;-45.120503652039325
1739209844.797483;-45.120503652039325
1739209844.797486;-35.57807855764607
1739209844.7974894;-38.13080360867914
1739209844.7974925;-38.13080360867914
1739209844.7974958;-38.13080360867914
1739209844.7974992;-35.57807855764607
1739209844.7975023;-32.816014438256545
1739209844.7975056;-45.120503652039325
1739209844.7975087;-38.13080360867914
1739209844.797512;-38.13080360867914
1739209844.7975152;-38.13080360867914
1739209844.7975185;-38.13080360867914
1739209844.7975216;-38.13080360867914
1739209844.797525;-38.13080360867914
1739209844.797528;-38.13080360867914
1739209844.7975314;-38.13080360867914
1739209844.7975345;-45.120503652039325
1739209844.7975378;-38.13080360867914
1739209844.7975411;-38.13080360867914
1739209844.7975442;-45.120503652039325
1739209844.7975476;-45.120503652039325
1739209844.7975507;-38.13080360867914
1739209844.797554;-35.57807855764607
1739209844.797557;-45.120503652039325
1739209844.7975605;-45.120503652039325
1739209844.7975636;-30.49652367304973
1739209844.797567;-30.49652367304973
1739209844.79757;-38.13080360867914
1739209844.7975733;-32.816014438256545
1739209844.7975767;-38.13080360867914
1739209844.7975798;-38.13080360867914
1739209844.797583;-45.120503652039325
1739209844.7975862;-38.13080360867914
1739209844.7975895;-45.120503652039325
1739209844.7975926;-45.120503652039325
1739209844.797596;-38.13080360867914
1739209844.797599;-45.120503652039325
1739209844.7976024;-38.13080360867914
1739209844.7976055;-38.13080360867914
1739209844.7976089;-38.13080360867914
1739209844.797612;-45.120503652039325
1739209844.7976153;-45.120503652039325
1739209844.7976186;-45.120503652039325
1739209844.7976217;-45.120503652039325
1739209844.797625;-38.13080360867914
1739209844.7976282;-45.120503652039325
1739209844.7976315;-45.120503652039325
1739209844.7976346;-33.981070128970906
1739209844.797638;-45.120503652039325
1739209844.797641;-31.141103565318915
1739209844.7976444;-26.035653463252796
1739209844.7976475;-38.13080360867914
1739209844.7976508;-45.120503652039325
1739209844.7976542;-33.981070128970906
1739209844.7976573;-33.981070128970906
1739209844.7976606;-45.120503652039325
1739209844.7976637;-38.13080360867914
1739209844.797667;-45.120503652039325
1739209844.7976701;-45.120503652039325
1739209844.7976735;-35.57807855764607
1739209844.7976766;-45.120503652039325
1739209844.79768;-33.981070128970906
1739209844.797683;-32.816014438256545
1739209844.7976863;-38.13080360867914
1739209844.7976894;-45.120503652039325
1739209844.7976928;-38.13080360867914
1739209844.797696;-45.120503652039325
1739209844.7976992;-35.57807855764607
1739209844.7977026;-33.981070128970906
1739209844.7977057;-45.120503652039325
1739209844.797709;-38.13080360867914
1739209844.797712;-35.57807855764607
1739209844.7977154;-45.120503652039325
1739209844.7977185;-38.13080360867914
1739209844.7977219;-35.57807855764607
1739209844.797725;-38.13080360867914
1739209844.7977283;-35.57807855764607
1739209844.7977316;-35.57807855764607
1739209844.7977347;-38.13080360867914
1739209844.797738;-38.13080360867914
1739209844.7977412;-35.57807855764607
1739209844.7977445;-45.120503652039325
1739209844.7977476;-45.120503652039325
1739209844.797751;-45.120503652039325
1739209844.797754;-45.120503652039325
1739209844.7977574;-38.13080360867914
1739209844.7977605;-35.57807855764607
1739209844.7977638;-38.13080360867914
1739209844.7977672;-38.13080360867914
