CAN Message; 0x98:0000b201d158f396
Timestamp;Amplitude
1739209774.6408093;-38.13080360867914
1739209774.640819;-38.13080360867914
1739209774.6408286;-30.49652367304973
1739209774.6408381;-38.13080360867914
1739209774.640848;-38.13080360867914
1739209774.6408575;-35.57807855764607
1739209774.640867;-35.57807855764607
1739209774.6408768;-45.120503652039325
1739209774.6408863;-38.13080360867914
1739209774.6408958;-45.120503652039325
1739209774.6409056;-28.992665084841967
1739209774.6409152;-32.816014438256545
1739209774.6409247;-38.13080360867914
1739209774.6409345;-45.120503652039325
1739209774.640944;-45.120503652039325
1739209774.6409535;-38.13080360867914
1739209774.6409633;-45.120503652039325
1739209774.6409729;-35.57807855764607
1739209774.6409826;-30.49652367304973
1739209774.6409922;-35.57807855764607
1739209774.6410017;-35.57807855764607
1739209774.6410115;-38.13080360867914
1739209774.641021;-35.57807855764607
1739209774.6410306;-45.120503652039325
1739209774.6410403;-45.120503652039325
1739209774.6410499;-45.120503652039325
1739209774.6410594;-38.13080360867914
1739209774.6410692;-38.13080360867914
1739209774.6410787;-45.120503652039325
1739209774.6410882;-38.13080360867914
1739209774.641098;-38.13080360867914
1739209774.6411076;-38.13080360867914
1739209774.641117;-38.13080360867914
1739209774.6411269;-38.13080360867914
1739209774.6411364;-33.981070128970906
1739209774.641146;-38.13080360867914
1739209774.6411557;-45.120503652039325
1739209774.6411653;-45.120503652039325
1739209774.6411748;-45.120503652039325
1739209774.6411846;-45.120503652039325
1739209774.641194;-45.120503652039325
1739209774.6412036;-38.13080360867914
1739209774.6412134;-33.981070128970906
1739209774.641223;-45.120503652039325
1739209774.6412325;-45.120503652039325
1739209774.6412423;-45.120503652039325
1739209774.6412518;-33.981070128970906
1739209774.6412616;-45.120503652039325
1739209774.641271;-45.120503652039325
1739209774.6412807;-35.57807855764607
1739209774.6412904;-38.13080360867914
1739209774.6413;-45.120503652039325
1739209774.6413095;-45.120503652039325
1739209774.6413193;-33.981070128970906
1739209774.6413288;-45.120503652039325
1739209774.6413383;-38.13080360867914
1739209774.6413481;-38.13080360867914
1739209774.6413577;-38.13080360867914
1739209774.6413672;-28.992665084841942
1739209774.641377;-38.13080360867914
1739209774.6413865;-45.120503652039325
1739209774.641396;-33.981070128970906
