CAN Message; 0x150:07009cbbe4af4d4c
Timestamp;Amplitude
1739209782.1576834;-45.120503652039325
1739209782.1576858;-45.120503652039325
1739209782.1576884;-35.57807855764607
1739209782.1576908;-35.57807855764607
1739209782.1576931;-45.120503652039325
1739209782.1576955;-45.120503652039325
1739209782.1576982;-45.120503652039325
1739209782.1577005;-31.141103565318915
1739209782.157703;-45.120503652039325
1739209782.1577053;-38.13080360867914
1739209782.157708;-38.13080360867914
1739209782.1577103;-38.13080360867914
1739209782.1577127;-45.120503652039325
1739209782.157715;-38.13080360867914
1739209782.1577177;-33.981070128970906
1739209782.15772;-38.13080360867914
1739209782.1577225;-45.120503652039325
1739209782.1577249;-45.120503652039325
1739209782.1577275;-38.13080360867914
1739209782.1577299;-35.57807855764607
1739209782.1577322;-45.120503652039325
1739209782.1577346;-45.120503652039325
1739209782.1577373;-38.13080360867914
1739209782.1577396;-38.13080360867914
1739209782.157742;-45.120503652039325
1739209782.1577444;-45.120503652039325
1739209782.157747;-45.120503652039325
1739209782.1577494;-38.13080360867914
1739209782.1577518;-38.13080360867914
1739209782.1577542;-38.13080360867914
1739209782.1577568;-45.120503652039325
1739209782.1577592;-45.120503652039325
1739209782.1577616;-38.13080360867914
1739209782.157764;-38.13080360867914
1739209782.1577666;-45.120503652039325
1739209782.157769;-45.120503652039325
1739209782.1577713;-45.120503652039325
1739209782.1577737;-38.13080360867914
1739209782.1577764;-45.120503652039325
1739209782.1577787;-33.981070128970906
1739209782.1577811;-38.13080360867914
1739209782.1577835;-38.13080360867914
1739209782.1577861;-35.57807855764607
1739209782.1577885;-38.13080360867914
1739209782.157791;-38.13080360867914
1739209782.1577933;-38.13080360867914
1739209782.157796;-33.981070128970906
1739209782.1577983;-31.141103565318915
1739209782.1578007;-38.13080360867914
1739209782.157803;-38.13080360867914
1739209782.1578057;-45.120503652039325
1739209782.157808;-45.120503652039325
1739209782.1578104;-45.120503652039325
1739209782.1578128;-45.120503652039325
1739209782.1578155;-45.120503652039325
1739209782.1578178;-31.141103565318915
1739209782.1578202;-28.992665084841942
1739209782.1578226;-45.120503652039325
1739209782.1578252;-45.120503652039325
1739209782.1578276;-45.120503652039325
1739209782.15783;-45.120503652039325
1739209782.1578324;-38.13080360867914
1739209782.157835;-35.57807855764607
1739209782.1578374;-31.141103565318915
1739209782.1578398;-35.57807855764607
1739209782.1578422;-45.120503652039325
1739209782.1578445;-38.13080360867914
1739209782.1578472;-38.13080360867914
1739209782.1578496;-38.13080360867914
1739209782.157852;-38.13080360867914
1739209782.1578543;-35.57807855764607
1739209782.157857;-38.13080360867914
1739209782.1578593;-45.120503652039325
1739209782.1578617;-38.13080360867914
1739209782.157864;-33.981070128970906
1739209782.1578667;-38.13080360867914
1739209782.157869;-45.120503652039325
1739209782.1578715;-45.120503652039325
1739209782.1578739;-45.120503652039325
1739209782.1578765;-38.13080360867914
1739209782.1578789;-45.120503652039325
1739209782.1578813;-45.120503652039325
1739209782.1578836;-38.13080360867914
1739209782.1578863;-38.13080360867914
1739209782.1578887;-45.120503652039325
1739209782.157891;-45.120503652039325
1739209782.1578934;-38.13080360867914
1739209782.157896;-45.120503652039325
1739209782.1578984;-45.120503652039325
1739209782.1579008;-45.120503652039325
1739209782.1579032;-45.120503652039325
1739209782.1579058;-45.120503652039325
1739209782.1579082;-38.13080360867914
1739209782.1579106;-35.57807855764607
1739209782.157913;-35.57807855764607
1739209782.1579156;-35.57807855764607
1739209782.157918;-31.141103565318915
1739209782.1579204;-45.120503652039325
1739209782.1579227;-35.57807855764607
1739209782.1579254;-35.57807855764607
1739209782.1579278;-38.13080360867914
1739209782.1579301;-38.13080360867914
1739209782.1579325;-38.13080360867914
1739209782.1579351;-45.120503652039325
1739209782.1579375;-33.981070128970956
1739209782.15794;-38.13080360867914
1739209782.1579423;-45.120503652039325
1739209782.157945;-45.120503652039325
1739209782.1579473;-35.57807855764607
1739209782.1579497;-38.13080360867914
1739209782.157952;-45.120503652039325
1739209782.1579547;-38.13080360867914
1739209782.157957;-30.49652367304973
1739209782.1579595;-38.13080360867914
1739209782.1579618;-45.120503652039325
1739209782.1579645;-38.13080360867914
1739209782.1579669;-38.13080360867914
1739209782.1579692;-45.120503652039325
1739209782.1579716;-45.120503652039325
1739209782.1579742;-45.120503652039325
1739209782.1579766;-45.120503652039325
1739209782.157979;-45.120503652039325
1739209782.1579814;-45.120503652039325
1739209782.157984;-45.120503652039325
1739209782.1579864;-35.57807855764607
1739209782.1579888;-38.13080360867914
1739209782.1579912;-45.120503652039325
1739209782.1579938;-45.120503652039325
1739209782.1579962;-45.120503652039325
1739209782.1579986;-38.13080360867914
