CAN Message; 0x77:48774127e766634b
Timestamp;Amplitude
1739209616.942281;-45.120503652039325
1739209616.9422889;-45.120503652039325
1739209616.9422967;-38.13080360867914
1739209616.9423044;-38.13080360867914
1739209616.9423122;-38.13080360867914
1739209616.94232;-45.120503652039325
1739209616.942328;-38.13080360867914
1739209616.9423358;-29.438486411369333
1739209616.9423437;-38.13080360867914
1739209616.9423513;-45.120503652039325
1739209616.9423592;-38.13080360867914
1739209616.942367;-32.816014438256545
1739209616.942375;-45.120503652039325
1739209616.9423828;-45.120503652039325
1739209616.9423907;-45.120503652039325
1739209616.9423985;-45.120503652039325
1739209616.9424062;-45.120503652039325
1739209616.942414;-45.120503652039325
1739209616.942422;-33.981070128970906
1739209616.9424298;-38.13080360867914
1739209616.9424376;-38.13080360867914
1739209616.9424455;-45.120503652039325
1739209616.9424534;-33.981070128970906
1739209616.942461;-32.816014438256545
1739209616.942469;-38.13080360867914
1739209616.9424767;-45.120503652039325
1739209616.9424846;-38.13080360867914
1739209616.9424925;-38.13080360867914
1739209616.9425004;-45.120503652039325
1739209616.942508;-45.120503652039325
1739209616.9425159;-45.120503652039325
1739209616.9425237;-45.120503652039325
1739209616.9425316;-38.13080360867914
1739209616.9425395;-45.120503652039325
1739209616.9425473;-45.120503652039325
1739209616.9425552;-45.120503652039325
1739209616.9425628;-38.13080360867914
1739209616.9425707;-38.13080360867914
1739209616.9425786;-38.13080360867914
1739209616.9425864;-38.13080360867914
1739209616.9425943;-38.13080360867914
1739209616.9426022;-45.120503652039325
1739209616.94261;-38.13080360867914
1739209616.9426177;-38.13080360867914
1739209616.9426255;-38.13080360867914
1739209616.9426334;-45.120503652039325
1739209616.9426413;-38.13080360867914
1739209616.9426491;-26.991370085610722
1739209616.942657;-38.13080360867914
1739209616.9426646;-45.120503652039325
1739209616.9426725;-45.120503652039325
1739209616.9426804;-38.13080360867914
1739209616.9426882;-38.13080360867914
1739209616.942696;-45.120503652039325
1739209616.942704;-33.981070128970906
1739209616.9427118;-33.981070128970956
1739209616.9427195;-33.981070128970906
1739209616.9427273;-33.981070128970906
1739209616.9427352;-38.13080360867914
1739209616.942743;-45.120503652039325
1739209616.942751;-45.120503652039325
1739209616.9427588;-45.120503652039325
1739209616.9427667;-45.120503652039325
1739209616.9427743;-31.141103565318915
1739209616.9427822;-33.981070128970906
1739209616.94279;-45.120503652039325
1739209616.942798;-38.13080360867914
1739209616.9428058;-32.816014438256545
1739209616.9428136;-31.141103565318915
1739209616.9428213;-45.120503652039325
1739209616.9428291;-45.120503652039325
1739209616.942837;-45.120503652039325
1739209616.9428449;-38.13080360867914
1739209616.9428527;-35.57807855764607
1739209616.9428606;-45.120503652039325
1739209616.9428685;-45.120503652039325
1739209616.942876;-33.981070128970906
1739209616.942884;-35.57807855764607
1739209616.9428918;-38.13080360867914
1739209616.9428997;-33.981070128970906
1739209616.9429076;-45.120503652039325
1739209616.9429154;-45.120503652039325
1739209616.9429233;-45.120503652039325
1739209616.942931;-45.120503652039325
1739209616.9429388;-45.120503652039325
