CAN Message; 0x1d3:00001ceef4acf96a
Timestamp;Amplitude
1739209646.8501847;-38.13080360867914
1739209646.8501947;-32.816014438256545
1739209646.8502045;-38.13080360867914
1739209646.8502145;-45.120503652039325
1739209646.8502243;-33.981070128970906
1739209646.8502343;-38.13080360867914
1739209646.850244;-38.13080360867914
1739209646.850254;-45.120503652039325
1739209646.8502638;-38.13080360867914
1739209646.8502738;-45.120503652039325
1739209646.8502836;-45.120503652039325
1739209646.8502936;-45.120503652039325
1739209646.8503034;-38.13080360867914
1739209646.8503134;-45.120503652039325
1739209646.8503232;-45.120503652039325
1739209646.8503332;-45.120503652039325
1739209646.850343;-38.13080360867914
1739209646.850353;-38.13080360867914
1739209646.8503628;-38.13080360867914
1739209646.8503726;-45.120503652039325
1739209646.8503826;-45.120503652039325
1739209646.8503923;-45.120503652039325
1739209646.8504024;-38.13080360867914
1739209646.8504121;-35.57807855764607
1739209646.8504221;-45.120503652039325
1739209646.850432;-45.120503652039325
1739209646.850442;-45.120503652039325
1739209646.8504517;-45.120503652039325
1739209646.8504617;-45.120503652039325
1739209646.8504715;-45.120503652039325
1739209646.8504815;-33.981070128970906
1739209646.8504913;-35.57807855764607
1739209646.8505013;-45.120503652039325
1739209646.850511;-38.13080360867914
1739209646.850521;-35.57807855764607
1739209646.8505309;-38.13080360867914
1739209646.8505406;-38.13080360867914
1739209646.8505507;-45.120503652039325
1739209646.8505604;-38.13080360867914
1739209646.8505704;-45.120503652039325
1739209646.8505802;-38.13080360867914
1739209646.8505902;-45.120503652039325
1739209646.8506;-45.120503652039325
1739209646.85061;-38.13080360867914
1739209646.8506198;-38.13080360867914
1739209646.8506298;-45.120503652039325
1739209646.8506396;-31.141103565318915
1739209646.8506496;-38.13080360867914
1739209646.8506594;-35.57807855764607
1739209646.8506694;-32.816014438256545
1739209646.8506792;-32.816014438256545
1739209646.8506892;-35.57807855764607
1739209646.850699;-38.13080360867914
1739209646.850709;-45.120503652039325
1739209646.8507187;-45.120503652039325
1739209646.8507285;-38.13080360867914
1739209646.8507385;-45.120503652039325
1739209646.8507483;-45.120503652039325
1739209646.8507583;-45.120503652039325
1739209646.850768;-38.13080360867914
1739209646.850778;-35.57807855764607
1739209646.8507879;-45.120503652039325
1739209646.850798;-38.13080360867914
1739209646.8508077;-35.57807855764607
1739209646.8508177;-38.13080360867914
1739209646.8508275;-45.120503652039325
1739209646.8508375;-38.13080360867914
1739209646.8508472;-38.13080360867914
1739209646.8508573;-38.13080360867914
1739209646.850867;-45.120503652039325
1739209646.850877;-45.120503652039325
1739209646.8508868;-45.120503652039325
1739209646.8508968;-45.120503652039325
1739209646.8509066;-45.120503652039325
1739209646.8509164;-45.120503652039325
1739209646.8509264;-45.120503652039325
1739209646.8509362;-45.120503652039325
1739209646.8509462;-45.120503652039325
1739209646.850956;-45.120503652039325
1739209646.850966;-45.120503652039325
1739209646.8509758;-38.13080360867914
1739209646.8509858;-45.120503652039325
1739209646.8509955;-31.141103565318915
1739209646.8510056;-35.57807855764607
1739209646.8510153;-38.13080360867914
1739209646.8510253;-45.120503652039325
1739209646.851035;-31.141103565318915
1739209646.8510451;-32.816014438256545
1739209646.851055;-45.120503652039325
1739209646.851065;-45.120503652039325
1739209646.8510747;-38.13080360867914
1739209646.8510845;-35.57807855764607
1739209646.8510945;-45.120503652039325
1739209646.8511043;-45.120503652039325
1739209646.8511143;-45.120503652039325
1739209646.851124;-38.13080360867914
1739209646.851134;-38.13080360867914
1739209646.8511438;-45.120503652039325
1739209646.8511539;-38.13080360867914
1739209646.8511636;-38.13080360867914
1739209646.8511736;-38.13080360867914
1739209646.8511834;-45.120503652039325
1739209646.8511934;-27.267205301931607
1739209646.8512032;-28.58837851428586
1739209646.8512132;-45.120503652039325
1739209646.851223;-38.13080360867914
1739209646.851233;-31.141103565318915
1739209646.8512428;-31.141103565318893
1739209646.8512528;-45.120503652039325
1739209646.8512626;-45.120503652039325
1739209646.8512723;-45.120503652039325
1739209646.8512824;-45.120503652039325
1739209646.8512921;-45.120503652039325
1739209646.8513021;-45.120503652039325
1739209646.851312;-45.120503652039325
1739209646.851322;-38.13080360867914
1739209646.8513317;-38.13080360867914
1739209646.8513417;-45.120503652039325
1739209646.8513515;-45.120503652039325
1739209646.8513615;-45.120503652039325
1739209646.8513713;-38.13080360867914
1739209646.8513813;-45.120503652039325
1739209646.851391;-45.120503652039325
1739209646.851401;-45.120503652039325
1739209646.8514109;-45.120503652039325
1739209646.8514209;-45.120503652039325
1739209646.8514307;-32.816014438256545
1739209646.8514404;-28.21854285175415
1739209646.8514504;-38.13080360867914
1739209646.8514602;-45.120503652039325
1739209646.8514702;-38.13080360867914
1739209646.85148;-38.13080360867914
1739209646.85149;-45.120503652039325
1739209646.8514998;-35.57807855764607
1739209646.8515098;-45.120503652039325
1739209646.8515196;-45.120503652039325
1739209646.8515296;-38.13080360867914
1739209646.8515394;-45.120503652039325
1739209646.8515494;-45.120503652039325
1739209646.8515592;-45.120503652039325
1739209646.8515692;-38.13080360867914
1739209646.851579;-45.120503652039325
1739209646.851589;-31.141103565318915
1739209646.8515987;-25.077289914212862
1739209646.8516088;-45.120503652039325
1739209646.8516185;-45.120503652039325
1739209646.8516283;-35.57807855764607
1739209646.8516383;-31.141103565318893
1739209646.851648;-45.120503652039325
1739209646.851658;-45.120503652039325
1739209646.851668;-45.120503652039325
1739209646.851678;-33.981070128970956
1739209646.8516877;-45.120503652039325
1739209646.8516977;-45.120503652039325
1739209646.8517075;-45.120503652039325
1739209646.8517175;-33.981070128970906
1739209646.8517272;-38.13080360867914
1739209646.8517373;-45.120503652039325
1739209646.851747;-31.141103565318915
1739209646.851757;-29.438486411369333
1739209646.8517668;-38.13080360867914
1739209646.8517768;-45.120503652039325
1739209646.8517866;-38.13080360867914
1739209646.8517966;-35.57807855764607
1739209646.8518064;-45.120503652039325
1739209646.8518162;-38.13080360867914
1739209646.8518262;-38.13080360867914
1739209646.851836;-45.120503652039325
1739209646.851846;-45.120503652039325
1739209646.8518558;-45.120503652039325
1739209646.8518658;-33.981070128970906
1739209646.8518755;-32.816014438256545
1739209646.8518856;-38.13080360867914
1739209646.8518953;-45.120503652039325
1739209646.8519053;-38.13080360867914
1739209646.8519151;-35.57807855764607
1739209646.8519251;-38.13080360867914
1739209646.851935;-38.13080360867914
1739209646.851945;-45.120503652039325
1739209646.8519547;-45.120503652039325
1739209646.8519647;-45.120503652039325
1739209646.8519745;-45.120503652039325
1739209646.8519843;-45.120503652039325
1739209646.8519943;-35.57807855764607
1739209646.852004;-38.13080360867914
1739209646.852014;-38.13080360867914
1739209646.8520238;-45.120503652039325
1739209646.8520339;-38.13080360867914
1739209646.8520436;-38.13080360867914
1739209646.8520536;-45.120503652039325
1739209646.8520634;-38.13080360867914
1739209646.8520734;-38.13080360867914
1739209646.8520832;-45.120503652039325
1739209646.8520932;-45.120503652039325
1739209646.852103;-38.13080360867914
1739209646.852113;-38.13080360867914
1739209646.8521228;-38.13080360867914
1739209646.8521328;-45.120503652039325
1739209646.8521426;-45.120503652039325
1739209646.8521526;-30.49652367304973
1739209646.8521624;-33.981070128970906
1739209646.8521721;-45.120503652039325
1739209646.8521821;-38.13080360867914
1739209646.852192;-32.816014438256545
1739209646.852202;-38.13080360867914
1739209646.8522117;-45.120503652039325
1739209646.8522217;-38.13080360867914
