CAN Message; 0x1b8:0300e5d34854a568
Timestamp;Amplitude
1739209835.7723153;-45.120503652039325
1739209835.7723231;-38.13080360867914
1739209835.7723308;-45.120503652039325
1739209835.7723384;-45.120503652039325
1739209835.772346;-35.57807855764607
1739209835.772354;-45.120503652039325
1739209835.7723615;-45.120503652039325
1739209835.7723691;-38.13080360867914
1739209835.7723768;-38.13080360867914
1739209835.7723846;-45.120503652039325
1739209835.7723923;-38.13080360867914
1739209835.7724;-45.120503652039325
1739209835.7724075;-45.120503652039325
1739209835.7724154;-31.141103565318893
1739209835.772423;-35.57807855764607
1739209835.7724307;-45.120503652039325
1739209835.7724383;-45.120503652039325
1739209835.7724462;-38.13080360867914
1739209835.7724538;-38.13080360867914
1739209835.7724614;-45.120503652039325
1739209835.7724693;-35.57807855764607
1739209835.772477;-45.120503652039325
1739209835.7724845;-45.120503652039325
1739209835.7724922;-38.13080360867914
1739209835.7725;-35.57807855764607
1739209835.7725077;-45.120503652039325
1739209835.7725153;-45.120503652039325
1739209835.772523;-33.981070128970906
1739209835.7725308;-38.13080360867914
1739209835.7725384;-31.141103565318893
1739209835.772546;-38.13080360867914
1739209835.7725537;-35.57807855764607
1739209835.7725616;-35.57807855764607
1739209835.7725692;-38.13080360867914
1739209835.7725768;-45.120503652039325
1739209835.7725844;-35.57807855764607
1739209835.7725923;-32.816014438256545
1739209835.7726;-38.13080360867914
1739209835.7726076;-38.13080360867914
1739209835.7726154;-38.13080360867914
1739209835.772623;-38.13080360867914
1739209835.7726307;-45.120503652039325
1739209835.7726383;-45.120503652039325
1739209835.7726462;-45.120503652039325
1739209835.7726538;-35.57807855764607
1739209835.7726614;-38.13080360867914
1739209835.772669;-38.13080360867914
1739209835.772677;-35.57807855764607
1739209835.7726846;-45.120503652039325
1739209835.7726922;-45.120503652039325
1739209835.7726998;-45.120503652039325
1739209835.7727077;-35.57807855764607
1739209835.7727153;-45.120503652039325
1739209835.772723;-31.141103565318893
1739209835.7727306;-31.141103565318893
1739209835.7727385;-45.120503652039325
1739209835.772746;-38.13080360867914
1739209835.7727537;-35.57807855764607
1739209835.7727613;-38.13080360867914
1739209835.7727692;-45.120503652039325
1739209835.7727768;-35.57807855764607
1739209835.7727845;-45.120503652039325
1739209835.7727923;-45.120503652039325
1739209835.7728;-45.120503652039325
1739209835.7728076;-45.120503652039325
1739209835.7728152;-38.13080360867914
1739209835.772823;-38.13080360867914
1739209835.7728307;-45.120503652039325
1739209835.7728384;-45.120503652039325
1739209835.772846;-45.120503652039325
1739209835.7728539;-45.120503652039325
1739209835.7728615;-35.57807855764607
1739209835.772869;-45.120503652039325
1739209835.7728767;-45.120503652039325
1739209835.7728846;-45.120503652039325
1739209835.7728922;-45.120503652039325
1739209835.7728999;-45.120503652039325
1739209835.7729075;-32.816014438256545
1739209835.7729154;-29.438486411369333
1739209835.772923;-45.120503652039325
1739209835.7729306;-45.120503652039325
1739209835.7729385;-32.816014438256545
1739209835.7729461;-38.13080360867914
1739209835.7729537;-45.120503652039325
1739209835.7729614;-38.13080360867914
1739209835.7729692;-45.120503652039325
1739209835.7729769;-45.120503652039325
1739209835.7729845;-35.57807855764607
1739209835.7729921;-35.57807855764607
1739209835.773;-38.13080360867914
1739209835.7730076;-45.120503652039325
1739209835.7730153;-38.13080360867914
1739209835.773023;-38.13080360867914
1739209835.7730308;-35.57807855764607
1739209835.7730384;-38.13080360867914
1739209835.773046;-45.120503652039325
1739209835.7730536;-38.13080360867914
1739209835.7730615;-38.13080360867914
1739209835.7730691;-38.13080360867914
1739209835.7730768;-33.981070128970906
1739209835.7730846;-45.120503652039325
1739209835.7730923;-38.13080360867914
1739209835.7731;-35.57807855764607
1739209835.7731075;-38.13080360867914
1739209835.7731154;-45.120503652039325
1739209835.773123;-38.13080360867914
1739209835.7731307;-38.13080360867914
1739209835.7731383;-33.981070128970906
1739209835.7731462;-38.13080360867914
1739209835.7731538;-45.120503652039325
1739209835.7731614;-45.120503652039325
1739209835.773169;-32.816014438256545
1739209835.773177;-38.13080360867914
1739209835.7731845;-45.120503652039325
1739209835.7731922;-45.120503652039325
1739209835.7731998;-38.13080360867914
1739209835.7732077;-35.57807855764607
1739209835.7732153;-45.120503652039325
1739209835.773223;-45.120503652039325
1739209835.7732308;-33.981070128970906
1739209835.7732384;-38.13080360867914
1739209835.773246;-38.13080360867914
