CAN Message; 0x77:33087c9b3890f440
Timestamp;Amplitude
1739209728.861404;-38.13080360867914
1739209728.8614056;-38.13080360867914
1739209728.8614075;-45.120503652039325
1739209728.8614092;-38.13080360867914
1739209728.861411;-32.816014438256545
1739209728.8614128;-38.13080360867914
1739209728.8614147;-45.120503652039325
1739209728.8614163;-45.120503652039325
1739209728.8614182;-45.120503652039325
1739209728.8614202;-45.120503652039325
1739209728.8614218;-32.816014438256545
1739209728.8614237;-38.13080360867914
1739209728.8614254;-45.120503652039325
1739209728.8614273;-45.120503652039325
1739209728.861429;-38.13080360867914
1739209728.861431;-38.13080360867914
1739209728.8614326;-45.120503652039325
1739209728.8614345;-38.13080360867914
1739209728.8614364;-35.57807855764607
1739209728.861438;-38.13080360867914
1739209728.86144;-45.120503652039325
1739209728.8614416;-38.13080360867914
1739209728.8614435;-35.57807855764607
1739209728.8614452;-45.120503652039325
1739209728.861447;-45.120503652039325
1739209728.8614488;-38.13080360867914
1739209728.8614507;-45.120503652039325
1739209728.8614526;-38.13080360867914
1739209728.8614542;-35.57807855764607
1739209728.8614562;-33.981070128970906
1739209728.8614578;-45.120503652039325
1739209728.8614597;-33.981070128970906
1739209728.8614614;-45.120503652039325
1739209728.8614633;-35.57807855764607
1739209728.861465;-31.141103565318893
1739209728.861467;-38.13080360867914
1739209728.8614688;-38.13080360867914
1739209728.8614705;-38.13080360867914
1739209728.8614724;-32.816014438256545
1739209728.861474;-38.13080360867914
1739209728.861476;-38.13080360867914
1739209728.8614776;-45.120503652039325
1739209728.8614795;-45.120503652039325
1739209728.8614812;-38.13080360867914
1739209728.861483;-45.120503652039325
1739209728.861485;-38.13080360867914
1739209728.8614867;-45.120503652039325
1739209728.8614886;-45.120503652039325
1739209728.8614902;-38.13080360867914
1739209728.8614922;-45.120503652039325
1739209728.8614938;-38.13080360867914
1739209728.8614957;-45.120503652039325
1739209728.8614974;-45.120503652039325
1739209728.8614993;-38.13080360867914
1739209728.8615012;-38.13080360867914
1739209728.861503;-45.120503652039325
1739209728.8615048;-38.13080360867914
1739209728.8615065;-38.13080360867914
1739209728.8615084;-38.13080360867914
1739209728.86151;-45.120503652039325
1739209728.861512;-35.57807855764607
1739209728.8615136;-45.120503652039325
1739209728.8615155;-45.120503652039325
1739209728.8615174;-35.57807855764607
1739209728.861519;-38.13080360867914
1739209728.861521;-38.13080360867914
1739209728.8615227;-45.120503652039325
1739209728.8615246;-45.120503652039325
1739209728.8615263;-35.57807855764607
1739209728.8615282;-38.13080360867914
1739209728.8615298;-45.120503652039325
1739209728.8615317;-38.13080360867914
1739209728.8615334;-35.57807855764607
1739209728.8615353;-38.13080360867914
1739209728.8615372;-28.21854285175415
1739209728.861539;-35.57807855764607
1739209728.8615408;-35.57807855764607
1739209728.8615425;-38.13080360867914
1739209728.8615444;-38.13080360867914
1739209728.861546;-33.981070128970906
1739209728.861548;-45.120503652039325
1739209728.8615496;-45.120503652039325
1739209728.8615515;-38.13080360867914
1739209728.8615534;-45.120503652039325
1739209728.861555;-38.13080360867914
1739209728.861557;-38.13080360867914
1739209728.8615587;-45.120503652039325
1739209728.8615606;-38.13080360867914
1739209728.8615623;-38.13080360867914
1739209728.8615642;-45.120503652039325
1739209728.8615658;-32.816014438256545
1739209728.8615677;-45.120503652039325
1739209728.8615696;-45.120503652039325
1739209728.8615713;-38.13080360867914
1739209728.8615732;-35.57807855764607
1739209728.861575;-45.120503652039325
1739209728.8615768;-45.120503652039325
1739209728.8615785;-38.13080360867914
1739209728.8615804;-28.21854285175415
1739209728.861582;-33.981070128970906
1739209728.861584;-45.120503652039325
1739209728.8615859;-45.120503652039325
1739209728.8615875;-32.816014438256545
1739209728.8615894;-45.120503652039325
1739209728.861591;-45.120503652039325
1739209728.861593;-33.981070128970906
1739209728.8615947;-38.13080360867914
1739209728.8615966;-45.120503652039325
1739209728.8615983;-35.57807855764607
1739209728.8616002;-38.13080360867914
1739209728.861602;-45.120503652039325
1739209728.8616037;-35.57807855764607
1739209728.8616056;-45.120503652039325
1739209728.8616073;-45.120503652039325
1739209728.8616092;-33.981070128970906
1739209728.861611;-32.816014438256545
1739209728.8616128;-38.13080360867914
1739209728.8616145;-38.13080360867914
1739209728.8616164;-45.120503652039325
1739209728.8616183;-38.13080360867914
1739209728.86162;-35.57807855764607
1739209728.8616219;-38.13080360867914
1739209728.8616235;-45.120503652039325
1739209728.8616254;-45.120503652039325
1739209728.861627;-35.57807855764607
1739209728.861629;-38.13080360867914
1739209728.8616307;-38.13080360867914
1739209728.8616326;-33.981070128970906
1739209728.8616345;-38.13080360867914
1739209728.8616362;-33.981070128970906
1739209728.861638;-45.120503652039325
1739209728.8616397;-38.13080360867914
1739209728.8616416;-38.13080360867914
1739209728.8616433;-38.13080360867914
1739209728.8616452;-45.120503652039325
1739209728.861647;-45.120503652039325
1739209728.8616488;-38.13080360867914
1739209728.8616507;-45.120503652039325
1739209728.8616524;-38.13080360867914
1739209728.8616543;-38.13080360867914
1739209728.861656;-38.13080360867914
1739209728.8616579;-38.13080360867914
1739209728.8616595;-45.120503652039325
1739209728.8616614;-31.141103565318915
1739209728.861663;-35.57807855764607
1739209728.861665;-33.981070128970906
1739209728.861667;-45.120503652039325
1739209728.8616686;-45.120503652039325
1739209728.8616705;-38.13080360867914
1739209728.8616722;-38.13080360867914
1739209728.861674;-45.120503652039325
1739209728.8616757;-45.120503652039325
1739209728.8616776;-45.120503652039325
1739209728.8616793;-45.120503652039325
1739209728.8616812;-33.981070128970906
1739209728.8616831;-32.816014438256545
1739209728.8616848;-33.981070128970906
1739209728.8616867;-45.120503652039325
1739209728.8616884;-38.13080360867914
1739209728.8616903;-33.981070128970906
1739209728.861692;-38.13080360867914
1739209728.8616939;-45.120503652039325
1739209728.8616955;-45.120503652039325
1739209728.8616974;-38.13080360867914
1739209728.8616993;-35.57807855764607
1739209728.861701;-38.13080360867914
1739209728.861703;-45.120503652039325
1739209728.8617046;-45.120503652039325
1739209728.8617065;-38.13080360867914
1739209728.8617082;-38.13080360867914
1739209728.86171;-45.120503652039325
1739209728.8617117;-45.120503652039325
1739209728.8617136;-38.13080360867914
1739209728.8617156;-38.13080360867914
1739209728.8617172;-38.13080360867914
1739209728.8617191;-38.13080360867914
1739209728.8617208;-38.13080360867914
1739209728.8617227;-35.57807855764607
1739209728.8617244;-45.120503652039325
1739209728.8617263;-33.981070128970906
1739209728.861728;-33.981070128970906
1739209728.8617299;-45.120503652039325
1739209728.8617318;-45.120503652039325
1739209728.8617334;-38.13080360867914
1739209728.8617353;-38.13080360867914
1739209728.861737;-45.120503652039325
1739209728.861739;-45.120503652039325
1739209728.8617406;-45.120503652039325
1739209728.8617425;-45.120503652039325
1739209728.8617442;-38.13080360867914
1739209728.861746;-38.13080360867914
1739209728.8617477;-45.120503652039325
1739209728.8617496;-45.120503652039325
1739209728.8617516;-45.120503652039325
1739209728.8617532;-38.13080360867914
1739209728.8617551;-35.57807855764607
1739209728.8617568;-32.816014438256545
1739209728.8617587;-38.13080360867914
1739209728.8617604;-38.13080360867914
1739209728.8617623;-38.13080360867914
1739209728.861764;-35.57807855764607
1739209728.8617659;-38.13080360867914
1739209728.8617678;-38.13080360867914
1739209728.8617694;-45.120503652039325
1739209728.8617713;-45.120503652039325
1739209728.861773;-38.13080360867914
1739209728.861775;-35.57807855764607
1739209728.8617766;-38.13080360867914
1739209728.8617785;-45.120503652039325
1739209728.8617802;-38.13080360867914
1739209728.861782;-38.13080360867914
1739209728.861784;-45.120503652039325
1739209728.8617857;-45.120503652039325
1739209728.8617876;-45.120503652039325
1739209728.8617892;-33.981070128970906
1739209728.8617911;-32.816014438256545
1739209728.8617928;-32.816014438256545
1739209728.8617947;-38.13080360867914
1739209728.8617964;-45.120503652039325
1739209728.8617983;-45.120503652039325
1739209728.8618002;-35.57807855764607
1739209728.8618019;-45.120503652039325
1739209728.8618038;-38.13080360867914
1739209728.8618054;-45.120503652039325
1739209728.8618073;-38.13080360867914
1739209728.861809;-38.13080360867914
1739209728.861811;-35.57807855764607
1739209728.8618126;-38.13080360867914
1739209728.8618145;-45.120503652039325
1739209728.8618164;-45.120503652039325
1739209728.861818;-38.13080360867914
1739209728.86182;-38.13080360867914
