CAN Message; 0x1bb:0000f97ac0c2cd9e
Timestamp;Amplitude
1739209617.2623446;-38.13080360867914
1739209617.26235;-45.120503652039325
1739209617.2623558;-45.120503652039325
1739209617.2623615;-45.120503652039325
1739209617.262367;-45.120503652039325
1739209617.2623727;-38.13080360867914
1739209617.2623785;-45.120503652039325
1739209617.262384;-35.57807855764607
1739209617.2623897;-38.13080360867914
1739209617.2623954;-32.816014438256545
1739209617.2624009;-30.49652367304973
1739209617.2624066;-45.120503652039325
1739209617.2624123;-38.13080360867914
1739209617.2624178;-45.120503652039325
1739209617.2624235;-45.120503652039325
1739209617.2624292;-45.120503652039325
1739209617.2624347;-35.57807855764607
1739209617.2624404;-45.120503652039325
1739209617.2624462;-45.120503652039325
1739209617.2624516;-38.13080360867914
1739209617.2624574;-45.120503652039325
1739209617.262463;-45.120503652039325
1739209617.2624686;-45.120503652039325
1739209617.2624743;-38.13080360867914
1739209617.26248;-45.120503652039325
1739209617.2624855;-35.57807855764607
1739209617.2624912;-29.438486411369333
1739209617.262497;-45.120503652039325
1739209617.2625024;-45.120503652039325
1739209617.2625082;-35.57807855764607
1739209617.2625139;-35.57807855764607
1739209617.2625194;-45.120503652039325
1739209617.262525;-38.13080360867914
1739209617.2625308;-45.120503652039325
1739209617.2625363;-45.120503652039325
1739209617.262542;-45.120503652039325
1739209617.2625477;-45.120503652039325
1739209617.2625532;-38.13080360867914
1739209617.262559;-35.57807855764607
1739209617.2625647;-45.120503652039325
1739209617.2625701;-45.120503652039325
1739209617.2625759;-38.13080360867914
1739209617.2625816;-45.120503652039325
1739209617.262587;-45.120503652039325
1739209617.2625928;-45.120503652039325
1739209617.2625985;-35.57807855764607
1739209617.262604;-35.57807855764607
1739209617.2626097;-45.120503652039325
1739209617.2626154;-45.120503652039325
1739209617.262621;-38.13080360867914
1739209617.2626266;-29.438486411369333
1739209617.2626324;-45.120503652039325
1739209617.2626379;-45.120503652039325
1739209617.2626436;-38.13080360867914
1739209617.2626493;-32.816014438256545
1739209617.2626548;-45.120503652039325
1739209617.2626605;-45.120503652039325
1739209617.2626662;-38.13080360867914
1739209617.2626717;-33.981070128970956
1739209617.2626774;-45.120503652039325
1739209617.2626832;-45.120503652039325
1739209617.2626886;-38.13080360867914
1739209617.2626944;-38.13080360867914
1739209617.2627;-38.13080360867914
1739209617.2627056;-45.120503652039325
1739209617.2627113;-33.981070128970906
1739209617.262717;-29.438486411369333
1739209617.2627225;-45.120503652039325
1739209617.2627282;-45.120503652039325
1739209617.262734;-38.13080360867914
1739209617.2627394;-35.57807855764607
1739209617.2627451;-45.120503652039325
1739209617.2627509;-45.120503652039325
1739209617.2627563;-38.13080360867914
1739209617.262762;-45.120503652039325
1739209617.2627678;-45.120503652039325
1739209617.2627733;-45.120503652039325
1739209617.262779;-38.13080360867914
1739209617.2627847;-35.57807855764607
1739209617.2627902;-38.13080360867914
1739209617.262796;-45.120503652039325
1739209617.2628016;-38.13080360867914
1739209617.2628071;-38.13080360867914
1739209617.2628129;-45.120503652039325
1739209617.2628186;-45.120503652039325
1739209617.262824;-45.120503652039325
1739209617.2628298;-45.120503652039325
1739209617.2628355;-38.13080360867914
1739209617.262841;-45.120503652039325
1739209617.2628467;-38.13080360867914
1739209617.2628524;-32.816014438256545
1739209617.262858;-38.13080360867914
1739209617.2628636;-45.120503652039325
1739209617.2628694;-38.13080360867914
1739209617.2628748;-33.981070128970906
1739209617.2628806;-38.13080360867914
1739209617.2628863;-45.120503652039325
1739209617.2628918;-45.120503652039325
1739209617.2628975;-45.120503652039325
1739209617.2629032;-45.120503652039325
1739209617.2629087;-45.120503652039325
1739209617.2629144;-38.13080360867914
1739209617.2629201;-45.120503652039325
1739209617.2629256;-45.120503652039325
1739209617.2629313;-45.120503652039325
1739209617.262937;-45.120503652039325
1739209617.2629426;-32.816014438256545
1739209617.2629483;-35.57807855764607
1739209617.262954;-45.120503652039325
1739209617.2629595;-38.13080360867914
