CAN Message; 0x1b8:0300bbd884537034
Timestamp;Amplitude
1739209883.7842443;-38.13080360867914
1739209883.7842517;-45.120503652039325
1739209883.784259;-45.120503652039325
1739209883.7842665;-32.816014438256545
1739209883.7842736;-33.981070128970906
1739209883.784281;-38.13080360867914
1739209883.7842884;-38.13080360867914
1739209883.7842958;-35.57807855764607
1739209883.7843032;-38.13080360867914
1739209883.7843106;-45.120503652039325
1739209883.784318;-38.13080360867914
1739209883.7843254;-38.13080360867914
1739209883.7843325;-35.57807855764607
1739209883.78434;-30.49652367304973
1739209883.7843473;-38.13080360867914
1739209883.7843547;-35.57807855764607
1739209883.784362;-35.57807855764607
1739209883.7843695;-33.981070128970906
1739209883.7843769;-38.13080360867914
1739209883.7843843;-45.120503652039325
1739209883.7843914;-38.13080360867914
1739209883.7843988;-33.981070128970956
1739209883.7844062;-38.13080360867914
1739209883.7844136;-38.13080360867914
1739209883.784421;-38.13080360867914
1739209883.7844284;-38.13080360867914
1739209883.7844357;-38.13080360867914
1739209883.7844431;-38.13080360867914
1739209883.7844503;-45.120503652039325
1739209883.7844577;-38.13080360867914
1739209883.784465;-38.13080360867914
1739209883.7844725;-35.57807855764607
1739209883.7844799;-35.57807855764607
1739209883.7844872;-45.120503652039325
1739209883.7844946;-45.120503652039325
1739209883.784502;-45.120503652039325
1739209883.7845092;-45.120503652039325
1739209883.7845166;-32.816014438256545
1739209883.784524;-38.13080360867914
1739209883.7845314;-38.13080360867914
1739209883.7845387;-45.120503652039325
1739209883.7845461;-32.816014438256545
1739209883.7845535;-45.120503652039325
1739209883.784561;-45.120503652039325
1739209883.784568;-38.13080360867914
1739209883.7845755;-33.981070128970956
1739209883.7845829;-45.120503652039325
1739209883.7845902;-45.120503652039325
1739209883.7845976;-45.120503652039325
1739209883.784605;-45.120503652039325
1739209883.7846124;-32.816014438256545
1739209883.7846198;-45.120503652039325
1739209883.784627;-45.120503652039325
1739209883.7846344;-30.49652367304973
1739209883.7846417;-38.13080360867914
1739209883.7846491;-38.13080360867914
1739209883.7846565;-38.13080360867914
1739209883.784664;-38.13080360867914
1739209883.7846713;-38.13080360867914
1739209883.7846787;-45.120503652039325
1739209883.7846859;-45.120503652039325
1739209883.7846932;-45.120503652039325
1739209883.7847006;-38.13080360867914
1739209883.784708;-38.13080360867914
1739209883.7847154;-45.120503652039325
1739209883.7847228;-33.981070128970906
1739209883.7847302;-38.13080360867914
1739209883.7847376;-38.13080360867914
1739209883.784745;-38.13080360867914
1739209883.7847521;-45.120503652039325
1739209883.7847595;-45.120503652039325
1739209883.784767;-38.13080360867914
1739209883.7847743;-38.13080360867914
1739209883.7847817;-45.120503652039325
1739209883.784789;-38.13080360867914
1739209883.7847965;-45.120503652039325
1739209883.7848039;-45.120503652039325
1739209883.784811;-35.57807855764607
1739209883.7848184;-45.120503652039325
1739209883.7848258;-45.120503652039325
1739209883.7848332;-38.13080360867914
1739209883.7848406;-32.816014438256545
1739209883.784848;-38.13080360867914
1739209883.7848554;-45.120503652039325
1739209883.7848628;-45.120503652039325
1739209883.78487;-45.120503652039325
1739209883.7848773;-45.120503652039325
1739209883.7848847;-38.13080360867914
1739209883.784892;-38.13080360867914
1739209883.7848995;-32.816014438256545
1739209883.7849069;-31.141103565318915
1739209883.7849143;-38.13080360867914
1739209883.7849216;-38.13080360867914
1739209883.7849288;-45.120503652039325
1739209883.7849362;-31.141103565318915
1739209883.7849436;-45.120503652039325
1739209883.784951;-45.120503652039325
1739209883.7849584;-45.120503652039325
1739209883.7849658;-45.120503652039325
1739209883.7849731;-45.120503652039325
1739209883.7849805;-45.120503652039325
1739209883.7849877;-35.57807855764607
1739209883.784995;-38.13080360867914
1739209883.7850025;-45.120503652039325
1739209883.7850099;-38.13080360867914
1739209883.7850173;-35.57807855764607
1739209883.7850246;-38.13080360867914
1739209883.785032;-45.120503652039325
1739209883.7850394;-45.120503652039325
1739209883.7850466;-45.120503652039325
1739209883.785054;-33.981070128970906
1739209883.7850614;-45.120503652039325
1739209883.7850688;-38.13080360867914
1739209883.7850761;-45.120503652039325
1739209883.7850835;-45.120503652039325
1739209883.785091;-45.120503652039325
1739209883.7850983;-45.120503652039325
1739209883.7851055;-45.120503652039325
1739209883.7851129;-38.13080360867914
1739209883.7851202;-38.13080360867914
1739209883.7851276;-45.120503652039325
1739209883.785135;-45.120503652039325
1739209883.7851424;-38.13080360867914
1739209883.7851498;-38.13080360867914
1739209883.7851572;-33.981070128970906
1739209883.7851644;-45.120503652039325
1739209883.7851717;-38.13080360867914
1739209883.7851791;-33.981070128970906
1739209883.7851865;-38.13080360867914
1739209883.785194;-38.13080360867914
1739209883.7852013;-38.13080360867914
1739209883.7852087;-45.120503652039325
