CAN Message; 0x98:00001fea392eb767
Timestamp;Amplitude
1739209734.9550366;-45.120503652039325
1739209734.9550416;-38.13080360867914
1739209734.9550467;-45.120503652039325
1739209734.9550517;-45.120503652039325
1739209734.9550567;-45.120503652039325
1739209734.9550617;-32.816014438256545
1739209734.9550667;-29.438486411369333
1739209734.9550717;-38.13080360867914
1739209734.9550767;-38.13080360867914
1739209734.9550815;-45.120503652039325
1739209734.9550865;-45.120503652039325
1739209734.9550915;-45.120503652039325
1739209734.9550965;-45.120503652039325
1739209734.9551015;-45.120503652039325
1739209734.9551065;-33.981070128970956
1739209734.9551115;-33.981070128970906
1739209734.9551165;-38.13080360867914
1739209734.9551215;-38.13080360867914
1739209734.9551265;-45.120503652039325
1739209734.9551315;-38.13080360867914
1739209734.9551365;-45.120503652039325
1739209734.9551415;-33.981070128970906
1739209734.9551466;-26.991370085610736
1739209734.9551516;-45.120503652039325
1739209734.9551566;-35.57807855764607
1739209734.9551616;-38.13080360867914
1739209734.9551666;-38.13080360867914
1739209734.9551716;-38.13080360867914
1739209734.9551764;-38.13080360867914
1739209734.9551814;-45.120503652039325
1739209734.9551864;-35.57807855764607
1739209734.9551914;-45.120503652039325
1739209734.9551964;-38.13080360867914
1739209734.9552014;-45.120503652039325
1739209734.9552064;-45.120503652039325
1739209734.9552114;-38.13080360867914
1739209734.9552164;-38.13080360867914
1739209734.9552214;-38.13080360867914
1739209734.9552264;-45.120503652039325
1739209734.9552314;-38.13080360867914
1739209734.9552364;-38.13080360867914
1739209734.9552414;-45.120503652039325
1739209734.9552464;-45.120503652039325
1739209734.9552515;-38.13080360867914
1739209734.9552565;-35.57807855764607
1739209734.9552615;-38.13080360867914
1739209734.9552665;-29.438486411369333
1739209734.9552715;-35.57807855764607
1739209734.9552763;-38.13080360867914
1739209734.9552813;-38.13080360867914
1739209734.9552863;-38.13080360867914
1739209734.9552913;-45.120503652039325
1739209734.9552963;-45.120503652039325
1739209734.9553013;-38.13080360867914
1739209734.9553063;-38.13080360867914
1739209734.9553113;-45.120503652039325
1739209734.9553163;-38.13080360867914
1739209734.9553213;-45.120503652039325
1739209734.9553263;-45.120503652039325
1739209734.9553313;-45.120503652039325
1739209734.9553363;-45.120503652039325
1739209734.9553413;-45.120503652039325
1739209734.9553463;-28.58837851428586
1739209734.9553514;-33.981070128970906
1739209734.9553564;-45.120503652039325
1739209734.9553614;-35.57807855764607
1739209734.9553664;-35.57807855764607
1739209734.9553711;-45.120503652039325
1739209734.9553761;-38.13080360867914
1739209734.9553812;-38.13080360867914
1739209734.9553862;-38.13080360867914
1739209734.9553912;-45.120503652039325
