CAN Message; 0x77:9088511df1eae040
Timestamp;Amplitude
1739209633.0398278;-45.120503652039325
1739209633.039838;-45.120503652039325
1739209633.0398483;-45.120503652039325
1739209633.0398586;-45.120503652039325
1739209633.0398688;-45.120503652039325
1739209633.039879;-45.120503652039325
1739209633.0398893;-45.120503652039325
1739209633.0398996;-45.120503652039325
1739209633.0399098;-38.13080360867914
1739209633.03992;-33.981070128970906
1739209633.0399306;-45.120503652039325
1739209633.0399408;-45.120503652039325
1739209633.039951;-38.13080360867914
1739209633.0399613;-31.141103565318915
1739209633.0399716;-45.120503652039325
1739209633.0399818;-45.120503652039325
1739209633.039992;-45.120503652039325
1739209633.0400023;-38.13080360867914
1739209633.0400126;-38.13080360867914
1739209633.0400229;-38.13080360867914
1739209633.040033;-45.120503652039325
1739209633.0400434;-35.57807855764607
1739209633.0400536;-45.120503652039325
1739209633.0400639;-45.120503652039325
1739209633.040074;-45.120503652039325
1739209633.0400844;-45.120503652039325
1739209633.0400946;-45.120503652039325
1739209633.0401049;-45.120503652039325
1739209633.040115;-38.13080360867914
1739209633.0401254;-28.992665084841942
1739209633.0401359;-38.13080360867914
1739209633.040146;-45.120503652039325
1739209633.0401564;-38.13080360867914
1739209633.0401666;-38.13080360867914
1739209633.0401769;-45.120503652039325
1739209633.0401871;-38.13080360867914
1739209633.0401974;-45.120503652039325
1739209633.0402076;-38.13080360867914
1739209633.0402179;-38.13080360867914
1739209633.0402281;-45.120503652039325
1739209633.0402384;-45.120503652039325
1739209633.0402486;-38.13080360867914
1739209633.040259;-38.13080360867914
1739209633.0402691;-38.13080360867914
1739209633.0402794;-38.13080360867914
1739209633.0402896;-33.981070128970906
1739209633.0403;-33.981070128970906
1739209633.0403101;-45.120503652039325
1739209633.0403204;-38.13080360867914
1739209633.0403306;-35.57807855764607
1739209633.0403411;-38.13080360867914
1739209633.0403514;-33.981070128970906
1739209633.0403616;-45.120503652039325
1739209633.040372;-31.141103565318915
1739209633.0403821;-32.816014438256545
1739209633.0403924;-35.57807855764607
1739209633.0404027;-45.120503652039325
1739209633.040413;-38.13080360867914
1739209633.0404232;-35.57807855764607
1739209633.0404334;-38.13080360867914
1739209633.0404437;-45.120503652039325
1739209633.040454;-33.981070128970906
1739209633.0404642;-38.13080360867914
1739209633.0404744;-45.120503652039325
1739209633.0404847;-45.120503652039325
1739209633.040495;-38.13080360867914
1739209633.0405052;-45.120503652039325
1739209633.0405154;-38.13080360867914
1739209633.0405257;-45.120503652039325
1739209633.040536;-33.981070128970906
1739209633.0405464;-38.13080360867914
1739209633.0405567;-45.120503652039325
1739209633.040567;-38.13080360867914
1739209633.0405772;-35.57807855764607
1739209633.0405874;-38.13080360867914
1739209633.0405977;-33.981070128970906
1739209633.040608;-35.57807855764607
1739209633.0406182;-38.13080360867914
1739209633.0406284;-45.120503652039325
1739209633.0406387;-45.120503652039325
1739209633.040649;-45.120503652039325
1739209633.0406592;-38.13080360867914
1739209633.0406694;-45.120503652039325
1739209633.0406797;-45.120503652039325
1739209633.04069;-38.13080360867914
1739209633.0407002;-33.981070128970906
1739209633.0407104;-45.120503652039325
1739209633.0407207;-45.120503652039325
1739209633.040731;-45.120503652039325
1739209633.0407412;-45.120503652039325
1739209633.0407517;-45.120503652039325
1739209633.040762;-45.120503652039325
1739209633.0407722;-38.13080360867914
1739209633.0407825;-38.13080360867914
1739209633.0407927;-38.13080360867914
1739209633.040803;-38.13080360867914
1739209633.0408132;-38.13080360867914
1739209633.0408235;-38.13080360867914
1739209633.0408337;-38.13080360867914
1739209633.040844;-38.13080360867914
1739209633.0408542;-38.13080360867914
1739209633.0408645;-35.57807855764607
1739209633.0408747;-38.13080360867914
1739209633.040885;-45.120503652039325
1739209633.0408952;-38.13080360867914
1739209633.0409055;-33.981070128970906
1739209633.0409157;-45.120503652039325
1739209633.040926;-45.120503652039325
1739209633.0409362;-33.981070128970906
1739209633.0409465;-33.981070128970906
1739209633.040957;-38.13080360867914
1739209633.0409672;-38.13080360867914
1739209633.0409775;-38.13080360867914
1739209633.0409877;-38.13080360867914
1739209633.040998;-38.13080360867914
1739209633.0410082;-38.13080360867914
1739209633.0410185;-38.13080360867914
1739209633.0410287;-35.57807855764607
1739209633.041039;-38.13080360867914
1739209633.0410492;-38.13080360867914
1739209633.0410595;-32.816014438256545
1739209633.0410697;-45.120503652039325
1739209633.04108;-45.120503652039325
1739209633.0410903;-45.120503652039325
1739209633.0411005;-33.981070128970906
1739209633.0411108;-38.13080360867914
1739209633.041121;-38.13080360867914
1739209633.0411313;-38.13080360867914
1739209633.0411415;-38.13080360867914
1739209633.0411518;-38.13080360867914
1739209633.0411623;-38.13080360867914
1739209633.0411725;-35.57807855764607
1739209633.0411828;-45.120503652039325
1739209633.041193;-45.120503652039325
1739209633.0412033;-45.120503652039325
1739209633.0412135;-45.120503652039325
1739209633.0412238;-45.120503652039325
1739209633.041234;-45.120503652039325
1739209633.0412443;-45.120503652039325
