CAN Message; 0x150:040004690ab754b4
Timestamp;Amplitude
1739209693.7910404;-38.13080360867914
1739209693.7910495;-38.13080360867914
1739209693.7910585;-38.13080360867914
1739209693.7910676;-35.57807855764607
1739209693.791077;-38.13080360867914
1739209693.791086;-45.120503652039325
1739209693.791095;-38.13080360867914
1739209693.791104;-45.120503652039325
1739209693.7911131;-38.13080360867914
1739209693.7911222;-38.13080360867914
1739209693.7911313;-45.120503652039325
1739209693.7911403;-45.120503652039325
1739209693.7911496;-38.13080360867914
1739209693.7911587;-35.57807855764607
1739209693.7911677;-45.120503652039325
1739209693.7911768;-45.120503652039325
1739209693.7911859;-38.13080360867914
1739209693.791195;-35.57807855764607
1739209693.791204;-38.13080360867914
1739209693.791213;-38.13080360867914
1739209693.7912223;-45.120503652039325
1739209693.7912314;-45.120503652039325
1739209693.7912405;-45.120503652039325
1739209693.7912495;-45.120503652039325
1739209693.7912586;-45.120503652039325
1739209693.7912676;-38.13080360867914
1739209693.7912767;-38.13080360867914
1739209693.7912858;-45.120503652039325
1739209693.7912948;-33.981070128970906
1739209693.791304;-33.981070128970906
1739209693.7913132;-45.120503652039325
1739209693.7913222;-45.120503652039325
1739209693.7913313;-33.981070128970906
1739209693.7913404;-38.13080360867914
1739209693.7913494;-33.981070128970906
1739209693.7913585;-33.981070128970906
1739209693.7913675;-45.120503652039325
1739209693.7913768;-38.13080360867914
1739209693.791386;-38.13080360867914
1739209693.791395;-35.57807855764607
1739209693.791404;-38.13080360867914
1739209693.791413;-45.120503652039325
1739209693.7914221;-33.981070128970906
1739209693.7914312;-45.120503652039325
1739209693.7914402;-38.13080360867914
1739209693.7914495;-38.13080360867914
1739209693.7914586;-38.13080360867914
1739209693.7914677;-38.13080360867914
1739209693.7914767;-33.981070128970906
1739209693.7914858;-35.57807855764607
1739209693.7914948;-45.120503652039325
1739209693.791504;-45.120503652039325
1739209693.791513;-35.57807855764607
1739209693.791522;-38.13080360867914
1739209693.7915313;-45.120503652039325
1739209693.7915404;-33.981070128970906
1739209693.7915494;-45.120503652039325
1739209693.7915585;-45.120503652039325
1739209693.7915676;-38.13080360867914
1739209693.7915766;-38.13080360867914
1739209693.7915857;-45.120503652039325
1739209693.7915947;-45.120503652039325
1739209693.791604;-33.981070128970906
1739209693.791613;-35.57807855764607
1739209693.7916222;-38.13080360867914
1739209693.7916312;-45.120503652039325
1739209693.7916403;-38.13080360867914
1739209693.7916493;-45.120503652039325
1739209693.7916584;-32.816014438256545
1739209693.7916675;-27.8777449560314
1739209693.7916768;-38.13080360867914
1739209693.7916858;-35.57807855764607
1739209693.7916949;-38.13080360867914
1739209693.791704;-38.13080360867914
1739209693.791713;-38.13080360867914
1739209693.791722;-38.13080360867914
1739209693.791731;-45.120503652039325
1739209693.7917402;-38.13080360867914
1739209693.7917492;-38.13080360867914
1739209693.7917585;-38.13080360867914
1739209693.7917676;-38.13080360867914
1739209693.7917767;-45.120503652039325
1739209693.7917857;-35.57807855764607
1739209693.7917948;-45.120503652039325
1739209693.7918038;-38.13080360867914
1739209693.791813;-31.141103565318893
1739209693.791822;-45.120503652039325
1739209693.7918313;-45.120503652039325
1739209693.7918403;-35.57807855764607
1739209693.7918494;-38.13080360867914
1739209693.7918584;-45.120503652039325
1739209693.7918675;-38.13080360867914
1739209693.7918766;-38.13080360867914
1739209693.7918856;-35.57807855764607
1739209693.7918947;-38.13080360867914
1739209693.791904;-45.120503652039325
1739209693.791913;-45.120503652039325
1739209693.791922;-32.816014438256545
1739209693.7919312;-45.120503652039325
1739209693.7919402;-45.120503652039325
1739209693.7919493;-38.13080360867914
1739209693.7919583;-45.120503652039325
1739209693.7919674;-33.981070128970906
1739209693.7919765;-45.120503652039325
1739209693.7919858;-45.120503652039325
