CAN Message; 0x77:a9beaae6a2e380c7
Timestamp;Amplitude
1739209860.6742525;-45.120503652039325
1739209860.6742556;-33.981070128970956
1739209860.6742587;-45.120503652039325
1739209860.6742618;-33.981070128970906
1739209860.674265;-33.981070128970906
1739209860.6742678;-45.120503652039325
1739209860.6742709;-45.120503652039325
1739209860.674274;-29.438486411369333
1739209860.674277;-35.57807855764607
1739209860.6742802;-29.438486411369333
1739209860.6742833;-31.141103565318915
1739209860.6742864;-45.120503652039325
1739209860.6742895;-45.120503652039325
1739209860.6742926;-32.816014438256545
1739209860.6742957;-38.13080360867914
1739209860.6742985;-45.120503652039325
1739209860.6743016;-38.13080360867914
1739209860.6743047;-45.120503652039325
1739209860.6743078;-38.13080360867914
1739209860.674311;-38.13080360867914
1739209860.674314;-45.120503652039325
1739209860.6743171;-38.13080360867914
1739209860.6743202;-38.13080360867914
1739209860.6743233;-38.13080360867914
1739209860.6743264;-35.57807855764607
1739209860.6743293;-45.120503652039325
1739209860.6743324;-38.13080360867914
1739209860.6743355;-38.13080360867914
1739209860.6743386;-38.13080360867914
1739209860.6743417;-45.120503652039325
1739209860.6743448;-38.13080360867914
1739209860.6743479;-45.120503652039325
1739209860.674351;-45.120503652039325
1739209860.674354;-30.49652367304973
1739209860.6743572;-32.816014438256545
1739209860.67436;-45.120503652039325
1739209860.6743631;-38.13080360867914
1739209860.6743662;-32.816014438256545
1739209860.6743693;-38.13080360867914
1739209860.6743724;-45.120503652039325
1739209860.6743755;-38.13080360867914
1739209860.6743786;-45.120503652039325
1739209860.6743817;-38.13080360867914
1739209860.6743848;-38.13080360867914
1739209860.674388;-38.13080360867914
1739209860.674391;-45.120503652039325
1739209860.674394;-38.13080360867914
1739209860.674397;-45.120503652039325
1739209860.6744;-45.120503652039325
1739209860.6744032;-45.120503652039325
1739209860.6744063;-38.13080360867914
1739209860.6744094;-38.13080360867914
1739209860.6744125;-33.981070128970906
1739209860.6744156;-45.120503652039325
1739209860.6744187;-45.120503652039325
1739209860.6744218;-38.13080360867914
1739209860.6744246;-38.13080360867914
1739209860.6744277;-38.13080360867914
1739209860.6744308;-45.120503652039325
1739209860.674434;-35.57807855764607
1739209860.674437;-38.13080360867914
1739209860.6744401;-38.13080360867914
1739209860.6744432;-35.57807855764607
1739209860.6744463;-38.13080360867914
1739209860.6744494;-45.120503652039325
1739209860.6744525;-38.13080360867914
1739209860.6744554;-38.13080360867914
1739209860.6744585;-38.13080360867914
1739209860.6744616;-38.13080360867914
1739209860.6744647;-38.13080360867914
1739209860.6744678;-38.13080360867914
1739209860.674471;-38.13080360867914
1739209860.674474;-38.13080360867914
1739209860.674477;-38.13080360867914
1739209860.6744802;-45.120503652039325
1739209860.6744833;-45.120503652039325
1739209860.6744862;-38.13080360867914
1739209860.6744893;-45.120503652039325
1739209860.6744924;-38.13080360867914
1739209860.6744955;-33.981070128970906
1739209860.6744986;-45.120503652039325
1739209860.6745017;-45.120503652039325
1739209860.6745048;-38.13080360867914
1739209860.6745079;-38.13080360867914
1739209860.674511;-35.57807855764607
1739209860.674514;-45.120503652039325
1739209860.6745172;-45.120503652039325
1739209860.67452;-38.13080360867914
1739209860.674523;-45.120503652039325
1739209860.6745262;-45.120503652039325
1739209860.6745293;-38.13080360867914
1739209860.6745324;-38.13080360867914
1739209860.6745355;-45.120503652039325
1739209860.6745386;-38.13080360867914
1739209860.6745417;-38.13080360867914
1739209860.6745448;-45.120503652039325
1739209860.674548;-45.120503652039325
1739209860.6745508;-38.13080360867914
1739209860.6745539;-35.57807855764607
1739209860.674557;-45.120503652039325
1739209860.67456;-38.13080360867914
1739209860.6745632;-38.13080360867914
1739209860.6745663;-33.981070128970906
1739209860.6745694;-38.13080360867914
1739209860.6745725;-45.120503652039325
1739209860.6745756;-38.13080360867914
1739209860.6745787;-38.13080360867914
1739209860.6745815;-33.981070128970906
1739209860.6745846;-38.13080360867914
1739209860.6745877;-45.120503652039325
1739209860.6745908;-45.120503652039325
1739209860.674594;-35.57807855764607
1739209860.674597;-32.816014438256545
1739209860.6746001;-45.120503652039325
1739209860.6746032;-33.981070128970906
1739209860.6746063;-31.141103565318915
1739209860.6746094;-45.120503652039325
1739209860.6746123;-45.120503652039325
1739209860.6746154;-38.13080360867914
1739209860.6746185;-33.981070128970906
1739209860.6746216;-38.13080360867914
1739209860.6746247;-45.120503652039325
1739209860.6746278;-38.13080360867914
1739209860.6746309;-38.13080360867914
1739209860.674634;-38.13080360867914
1739209860.674637;-38.13080360867914
1739209860.6746402;-33.981070128970906
1739209860.674643;-45.120503652039325
1739209860.6746461;-45.120503652039325
1739209860.6746492;-38.13080360867914
1739209860.6746523;-33.981070128970906
1739209860.6746554;-33.981070128970906
1739209860.6746585;-45.120503652039325
1739209860.6746616;-38.13080360867914
1739209860.6746647;-38.13080360867914
1739209860.6746678;-38.13080360867914
