CAN Message; 0x24:0d992ea885a4f601
Timestamp;Amplitude
1739209623.4131927;-45.120503652039325
1739209623.4131982;-38.13080360867914
1739209623.4132037;-38.13080360867914
1739209623.4132092;-33.981070128970906
1739209623.4132147;-45.120503652039325
1739209623.4132202;-45.120503652039325
1739209623.4132257;-38.13080360867914
1739209623.4132311;-38.13080360867914
1739209623.4132369;-45.120503652039325
1739209623.4132423;-45.120503652039325
1739209623.4132478;-35.57807855764607
1739209623.4132533;-45.120503652039325
1739209623.4132588;-45.120503652039325
1739209623.4132643;-38.13080360867914
1739209623.4132698;-35.57807855764607
1739209623.4132752;-31.141103565318915
1739209623.4132807;-45.120503652039325
1739209623.4132862;-38.13080360867914
1739209623.4132917;-38.13080360867914
1739209623.4132972;-38.13080360867914
1739209623.4133027;-38.13080360867914
1739209623.4133081;-38.13080360867914
1739209623.4133136;-38.13080360867914
1739209623.413319;-38.13080360867914
1739209623.4133248;-45.120503652039325
1739209623.4133303;-45.120503652039325
1739209623.4133358;-35.57807855764607
1739209623.4133413;-38.13080360867914
1739209623.4133468;-45.120503652039325
1739209623.4133523;-38.13080360867914
1739209623.4133577;-38.13080360867914
1739209623.4133632;-33.981070128970906
1739209623.4133687;-38.13080360867914
1739209623.4133742;-45.120503652039325
1739209623.4133797;-38.13080360867914
1739209623.4133852;-33.981070128970906
1739209623.4133906;-45.120503652039325
1739209623.4133961;-38.13080360867914
1739209623.4134016;-38.13080360867914
1739209623.413407;-38.13080360867914
1739209623.4134128;-45.120503652039325
1739209623.4134183;-33.981070128970906
1739209623.4134238;-38.13080360867914
1739209623.4134293;-45.120503652039325
1739209623.4134347;-45.120503652039325
1739209623.4134402;-38.13080360867914
1739209623.4134457;-32.816014438256545
1739209623.4134512;-38.13080360867914
1739209623.4134567;-45.120503652039325
1739209623.4134622;-38.13080360867914
1739209623.4134676;-35.57807855764607
1739209623.4134731;-38.13080360867914
1739209623.4134786;-45.120503652039325
1739209623.413484;-45.120503652039325
1739209623.4134896;-38.13080360867914
1739209623.413495;-38.13080360867914
1739209623.4135008;-45.120503652039325
1739209623.4135063;-45.120503652039325
1739209623.4135118;-45.120503652039325
1739209623.4135172;-45.120503652039325
1739209623.4135227;-45.120503652039325
1739209623.4135282;-45.120503652039325
1739209623.4135337;-45.120503652039325
1739209623.4135392;-31.141103565318915
1739209623.4135447;-38.13080360867914
1739209623.4135501;-45.120503652039325
1739209623.4135556;-35.57807855764607
1739209623.413561;-32.816014438256545
1739209623.4135666;-38.13080360867914
1739209623.413572;-45.120503652039325
1739209623.4135776;-38.13080360867914
1739209623.413583;-32.816014438256545
1739209623.4135885;-33.981070128970906
1739209623.4135942;-38.13080360867914
1739209623.4135997;-45.120503652039325
1739209623.4136052;-38.13080360867914
1739209623.4136107;-35.57807855764607
1739209623.4136162;-38.13080360867914
1739209623.4136217;-45.120503652039325
1739209623.4136271;-31.141103565318915
1739209623.4136326;-28.992665084841942
1739209623.413638;-38.13080360867914
1739209623.4136436;-45.120503652039325
1739209623.413649;-33.981070128970906
1739209623.4136546;-38.13080360867914
1739209623.41366;-38.13080360867914
1739209623.4136655;-45.120503652039325
1739209623.413671;-45.120503652039325
1739209623.4136765;-45.120503652039325
1739209623.4136822;-45.120503652039325
1739209623.4136877;-45.120503652039325
1739209623.4136932;-45.120503652039325
1739209623.4136987;-33.981070128970906
1739209623.4137042;-45.120503652039325
1739209623.4137096;-45.120503652039325
1739209623.4137151;-38.13080360867914
1739209623.4137206;-38.13080360867914
1739209623.413726;-38.13080360867914
1739209623.4137316;-45.120503652039325
1739209623.413737;-45.120503652039325
1739209623.4137425;-45.120503652039325
1739209623.413748;-32.816014438256545
