CAN Message; 0x24:0b0accc0b8490a5a
Timestamp;Amplitude
1739209648.455834;-45.120503652039325
1739209648.4558432;-45.120503652039325
1739209648.4558525;-45.120503652039325
1739209648.4558618;-35.57807855764607
1739209648.4558713;-35.57807855764607
1739209648.4558806;-38.13080360867914
1739209648.45589;-45.120503652039325
1739209648.4558992;-38.13080360867914
1739209648.4559085;-32.816014438256545
1739209648.4559178;-45.120503652039325
1739209648.4559271;-45.120503652039325
1739209648.4559364;-38.13080360867914
1739209648.455946;-45.120503652039325
1739209648.4559553;-45.120503652039325
1739209648.4559646;-45.120503652039325
1739209648.4559739;-45.120503652039325
1739209648.4559832;-45.120503652039325
1739209648.4559925;-32.816014438256545
1739209648.4560018;-38.13080360867914
1739209648.456011;-45.120503652039325
1739209648.4560206;-35.57807855764607
1739209648.45603;-38.13080360867914
1739209648.4560392;-45.120503652039325
1739209648.4560485;-35.57807855764607
1739209648.4560578;-35.57807855764607
1739209648.456067;-45.120503652039325
1739209648.4560764;-45.120503652039325
1739209648.4560857;-45.120503652039325
1739209648.456095;-45.120503652039325
1739209648.4561045;-45.120503652039325
1739209648.4561138;-45.120503652039325
1739209648.456123;-38.13080360867914
1739209648.4561324;-45.120503652039325
1739209648.4561417;-45.120503652039325
1739209648.456151;-45.120503652039325
1739209648.4561603;-38.13080360867914
1739209648.4561696;-35.57807855764607
1739209648.4561791;-45.120503652039325
1739209648.4561884;-38.13080360867914
1739209648.4561977;-38.13080360867914
1739209648.456207;-38.13080360867914
1739209648.4562163;-38.13080360867914
1739209648.4562256;-38.13080360867914
1739209648.456235;-38.13080360867914
1739209648.4562442;-38.13080360867914
1739209648.4562538;-45.120503652039325
1739209648.456263;-45.120503652039325
1739209648.4562724;-45.120503652039325
1739209648.4562817;-45.120503652039325
1739209648.456291;-35.57807855764607
1739209648.4563003;-35.57807855764607
1739209648.4563096;-45.120503652039325
1739209648.4563189;-45.120503652039325
1739209648.4563282;-38.13080360867914
1739209648.4563377;-35.57807855764607
1739209648.456347;-45.120503652039325
1739209648.4563563;-38.13080360867914
1739209648.4563656;-38.13080360867914
1739209648.456375;-45.120503652039325
1739209648.4563842;-38.13080360867914
1739209648.4563935;-45.120503652039325
1739209648.4564028;-45.120503652039325
1739209648.4564123;-33.981070128970906
1739209648.4564216;-45.120503652039325
1739209648.456431;-45.120503652039325
1739209648.4564402;-38.13080360867914
1739209648.4564495;-38.13080360867914
1739209648.4564588;-45.120503652039325
1739209648.456468;-45.120503652039325
1739209648.4564774;-38.13080360867914
1739209648.456487;-38.13080360867914
1739209648.4564962;-38.13080360867914
1739209648.4565055;-33.981070128970906
1739209648.4565148;-45.120503652039325
1739209648.4565241;-45.120503652039325
1739209648.4565334;-45.120503652039325
1739209648.4565427;-45.120503652039325
1739209648.456552;-33.981070128970906
1739209648.4565613;-45.120503652039325
1739209648.4565709;-45.120503652039325
1739209648.4565802;-38.13080360867914
1739209648.4565895;-38.13080360867914
1739209648.4565988;-45.120503652039325
1739209648.456608;-38.13080360867914
1739209648.4566174;-45.120503652039325
1739209648.4566267;-38.13080360867914
1739209648.456636;-38.13080360867914
1739209648.4566455;-45.120503652039325
1739209648.4566548;-38.13080360867914
1739209648.456664;-45.120503652039325
1739209648.4566734;-38.13080360867914
1739209648.4566827;-35.57807855764607
1739209648.456692;-32.816014438256545
1739209648.4567013;-32.816014438256545
1739209648.4567106;-38.13080360867914
