CAN Message; 0x150:050011bf70dd1481
Timestamp;Amplitude
1739209585.792584;-45.120503652039325
1739209585.7925918;-45.120503652039325
1739209585.7926;-38.13080360867914
1739209585.7926078;-38.13080360867914
1739209585.792616;-45.120503652039325
1739209585.7926238;-35.57807855764607
1739209585.7926319;-38.13080360867914
1739209585.79264;-45.120503652039325
1739209585.7926478;-45.120503652039325
1739209585.792656;-38.13080360867914
1739209585.7926638;-45.120503652039325
1739209585.792672;-45.120503652039325
1739209585.79268;-45.120503652039325
1739209585.792688;-38.13080360867914
1739209585.792696;-45.120503652039325
1739209585.7927039;-45.120503652039325
1739209585.792712;-45.120503652039325
1739209585.7927198;-38.13080360867914
1739209585.792728;-33.981070128970906
1739209585.792736;-45.120503652039325
1739209585.792744;-38.13080360867914
1739209585.792752;-38.13080360867914
1739209585.79276;-28.992665084841942
1739209585.792768;-38.13080360867914
1739209585.792776;-38.13080360867914
1739209585.792784;-38.13080360867914
1739209585.792792;-38.13080360867914
1739209585.7928;-38.13080360867914
1739209585.792808;-45.120503652039325
1739209585.792816;-45.120503652039325
1739209585.792824;-32.81601443825658
1739209585.7928321;-38.13080360867914
1739209585.79284;-45.120503652039325
1739209585.792848;-45.120503652039325
1739209585.792856;-38.13080360867914
1739209585.792864;-33.981070128970906
1739209585.792872;-38.13080360867914
1739209585.79288;-45.120503652039325
1739209585.7928882;-28.992665084841942
1739209585.792896;-38.13080360867914
1739209585.7929041;-38.13080360867914
1739209585.792912;-45.120503652039325
1739209585.79292;-33.981070128970906
1739209585.7929282;-38.13080360867914
1739209585.792936;-38.13080360867914
1739209585.7929442;-38.13080360867914
1739209585.792952;-38.13080360867914
1739209585.7929602;-38.13080360867914
1739209585.792968;-38.13080360867914
1739209585.7929761;-45.120503652039325
1739209585.7929842;-45.120503652039325
1739209585.792992;-38.13080360867914
1739209585.7930002;-38.13080360867914
1739209585.793008;-38.13080360867914
1739209585.7930162;-33.981070128970906
1739209585.7930243;-38.13080360867914
1739209585.7930322;-45.120503652039325
1739209585.7930403;-38.13080360867914
1739209585.7930481;-32.816014438256545
1739209585.7930562;-45.120503652039325
1739209585.793064;-45.120503652039325
1739209585.7930722;-38.13080360867914
1739209585.7930803;-33.981070128970906
1739209585.7930882;-32.816014438256545
1739209585.7930963;-38.13080360867914
1739209585.7931042;-38.13080360867914
1739209585.7931123;-45.120503652039325
1739209585.7931204;-38.13080360867914
1739209585.7931283;-45.120503652039325
1739209585.7931364;-38.13080360867914
1739209585.7931442;-33.981070128970906
1739209585.7931523;-27.267205301931607
1739209585.7931602;-38.13080360867914
1739209585.7931683;-38.13080360867914
1739209585.7931764;-35.57807855764607
1739209585.7931843;-45.120503652039325
1739209585.7931924;-45.120503652039325
1739209585.7932003;-38.13080360867914
1739209585.7932084;-33.981070128970906
1739209585.7932162;-29.438486411369354
1739209585.7932243;-38.13080360867914
1739209585.7932324;-33.981070128970906
1739209585.7932403;-38.13080360867914
1739209585.7932484;-38.13080360867914
1739209585.7932563;-33.981070128970906
1739209585.7932644;-45.120503652039325
1739209585.7932725;-38.13080360867914
1739209585.7932804;-31.141103565318915
1739209585.7932885;-38.13080360867914
1739209585.7932963;-45.120503652039325
1739209585.7933044;-38.13080360867914
1739209585.7933123;-45.120503652039325
1739209585.7933204;-45.120503652039325
1739209585.7933285;-38.13080360867914
1739209585.7933364;-33.981070128970906
1739209585.7933445;-30.49652367304976
1739209585.7933524;-38.13080360867914
1739209585.7933605;-33.981070128970906
1739209585.7933686;-38.13080360867914
1739209585.7933764;-38.13080360867914
1739209585.7933846;-38.13080360867914
1739209585.7933924;-38.13080360867914
1739209585.7934005;-38.13080360867914
1739209585.7934084;-28.992665084841942
1739209585.7934165;-35.57807855764607
1739209585.7934246;-45.120503652039325
1739209585.7934325;-38.13080360867914
1739209585.7934406;-38.13080360867914
1739209585.7934484;-45.120503652039325
1739209585.7934566;-45.120503652039325
1739209585.7934644;-38.13080360867914
1739209585.7934725;-38.13080360867914
1739209585.7934806;-45.120503652039325
1739209585.7934885;-38.13080360867914
