CAN Message; 0x98:0000eb4dea818041
Timestamp;Amplitude
1739209721.1073127;-38.13080360867914
1739209721.1073205;-45.120503652039325
1739209721.1073282;-35.57807855764607
1739209721.1073358;-27.8777449560314
1739209721.1073437;-38.13080360867914
1739209721.1073513;-38.13080360867914
1739209721.107359;-38.13080360867914
1739209721.1073666;-45.120503652039325
1739209721.1073744;-45.120503652039325
1739209721.107382;-45.120503652039325
1739209721.1073897;-45.120503652039325
1739209721.1073976;-33.981070128970956
1739209721.1074052;-38.13080360867914
1739209721.1074128;-38.13080360867914
1739209721.1074207;-45.120503652039325
1739209721.1074283;-45.120503652039325
1739209721.107436;-45.120503652039325
1739209721.1074438;-45.120503652039325
1739209721.1074514;-45.120503652039325
1739209721.107459;-28.21854285175415
1739209721.107467;-35.57807855764607
1739209721.1074746;-38.13080360867914
1739209721.1074822;-38.13080360867914
1739209721.1074898;-35.57807855764607
1739209721.1074977;-38.13080360867914
1739209721.1075053;-35.57807855764607
1739209721.107513;-45.120503652039325
1739209721.1075208;-45.120503652039325
1739209721.1075284;-45.120503652039325
1739209721.107536;-38.13080360867914
1739209721.107544;-45.120503652039325
1739209721.1075516;-45.120503652039325
1739209721.1075592;-38.13080360867914
1739209721.107567;-45.120503652039325
1739209721.1075747;-45.120503652039325
1739209721.1075823;-38.13080360867914
1739209721.10759;-38.13080360867914
1739209721.1075978;-45.120503652039325
1739209721.1076055;-38.13080360867914
1739209721.107613;-45.120503652039325
1739209721.107621;-45.120503652039325
1739209721.1076286;-35.57807855764607
1739209721.1076362;-45.120503652039325
1739209721.107644;-32.816014438256545
1739209721.1076517;-38.13080360867914
1739209721.1076593;-35.57807855764607
1739209721.1076672;-38.13080360867914
1739209721.1076748;-35.57807855764607
1739209721.1076825;-45.120503652039325
1739209721.1076903;-45.120503652039325
1739209721.107698;-38.13080360867914
1739209721.1077056;-33.981070128970956
1739209721.1077132;-45.120503652039325
1739209721.107721;-33.981070128970906
1739209721.1077287;-38.13080360867914
1739209721.1077363;-45.120503652039325
