CAN Message; 0x1b8:0300db52c752e74e
Timestamp;Amplitude
1739209651.0806367;-45.120503652039325
1739209651.0806432;-45.120503652039325
1739209651.0806499;-33.981070128970906
1739209651.0806565;-38.13080360867914
1739209651.0806632;-45.120503652039325
1739209651.0806696;-45.120503652039325
1739209651.0806763;-38.13080360867914
1739209651.080683;-38.13080360867914
1739209651.0806897;-45.120503652039325
1739209651.080696;-38.13080360867914
1739209651.0807028;-38.13080360867914
1739209651.0807095;-45.120503652039325
1739209651.0807161;-45.120503652039325
1739209651.0807226;-45.120503652039325
1739209651.0807292;-45.120503652039325
1739209651.080736;-45.120503652039325
1739209651.0807424;-45.120503652039325
1739209651.080749;-38.13080360867914
1739209651.0807557;-38.13080360867914
1739209651.0807624;-45.120503652039325
1739209651.0807688;-45.120503652039325
1739209651.0807755;-45.120503652039325
1739209651.0807822;-38.13080360867914
1739209651.0807889;-38.13080360867914
1739209651.0807953;-38.13080360867914
1739209651.080802;-38.13080360867914
1739209651.0808086;-33.981070128970906
1739209651.0808153;-38.13080360867914
1739209651.0808218;-45.120503652039325
1739209651.0808284;-38.13080360867914
1739209651.080835;-45.120503652039325
1739209651.0808415;-38.13080360867914
1739209651.0808482;-38.13080360867914
1739209651.080855;-45.120503652039325
1739209651.0808616;-35.57807855764607
1739209651.080868;-38.13080360867914
1739209651.0808747;-45.120503652039325
1739209651.0808814;-45.120503652039325
1739209651.080888;-38.13080360867914
1739209651.0808945;-45.120503652039325
1739209651.0809011;-45.120503652039325
1739209651.0809078;-33.981070128970906
1739209651.0809145;-27.267205301931607
1739209651.080921;-31.141103565318915
1739209651.0809276;-38.13080360867914
1739209651.0809343;-38.13080360867914
1739209651.0809407;-33.981070128970906
1739209651.0809474;-38.13080360867914
1739209651.080954;-38.13080360867914
1739209651.0809608;-35.57807855764607
1739209651.0809672;-38.13080360867914
1739209651.0809739;-38.13080360867914
1739209651.0809805;-45.120503652039325
1739209651.0809872;-38.13080360867914
1739209651.0809937;-35.57807855764607
1739209651.0810003;-45.120503652039325
1739209651.081007;-45.120503652039325
