CAN Message; 0x1b8:0300808d258708a7
Timestamp;Amplitude
1739209750.2404711;-45.120503652039325
1739209750.2404804;-45.120503652039325
1739209750.24049;-45.120503652039325
1739209750.2404993;-35.57807855764607
1739209750.2405088;-32.816014438256545
1739209750.2405183;-45.120503652039325
1739209750.2405276;-38.13080360867914
1739209750.2405372;-38.13080360867914
1739209750.2405465;-38.13080360867914
1739209750.240556;-45.120503652039325
1739209750.2405655;-45.120503652039325
1739209750.2405748;-45.120503652039325
1739209750.2405844;-45.120503652039325
1739209750.2405937;-45.120503652039325
1739209750.2406032;-38.13080360867914
1739209750.2406127;-38.13080360867914
1739209750.240622;-38.13080360867914
1739209750.2406316;-38.13080360867914
1739209750.2406409;-38.13080360867914
1739209750.2406504;-38.13080360867914
1739209750.24066;-45.120503652039325
1739209750.2406693;-33.981070128970906
1739209750.2406788;-32.816014438256545
1739209750.240688;-33.981070128970906
1739209750.2406976;-45.120503652039325
1739209750.2407072;-45.120503652039325
1739209750.2407165;-45.120503652039325
1739209750.240726;-38.13080360867914
1739209750.2407353;-45.120503652039325
1739209750.2407448;-38.13080360867914
1739209750.2407544;-45.120503652039325
1739209750.2407637;-33.981070128970906
1739209750.2407732;-38.13080360867914
1739209750.2407825;-45.120503652039325
1739209750.240792;-45.120503652039325
1739209750.2408016;-38.13080360867914
1739209750.2408109;-45.120503652039325
1739209750.2408204;-45.120503652039325
1739209750.2408297;-45.120503652039325
1739209750.2408392;-38.13080360867914
1739209750.2408488;-45.120503652039325
1739209750.240858;-38.13080360867914
1739209750.2408676;-38.13080360867914
1739209750.2408772;-38.13080360867914
1739209750.2408864;-45.120503652039325
1739209750.240896;-38.13080360867914
1739209750.2409053;-38.13080360867914
1739209750.2409148;-45.120503652039325
1739209750.2409244;-38.13080360867914
1739209750.2409337;-45.120503652039325
1739209750.2409432;-38.13080360867914
1739209750.2409525;-38.13080360867914
1739209750.240962;-38.13080360867914
1739209750.2409716;-33.981070128970906
1739209750.2409809;-38.13080360867914
1739209750.2409904;-35.57807855764607
1739209750.2409997;-38.13080360867914
1739209750.2410092;-38.13080360867914
1739209750.2410188;-38.13080360867914
1739209750.241028;-35.57807855764607
1739209750.2410376;-38.13080360867914
1739209750.241047;-45.120503652039325
1739209750.2410564;-38.13080360867914
1739209750.241066;-33.981070128970956
1739209750.2410753;-33.981070128970956
1739209750.2410848;-33.981070128970906
1739209750.241094;-45.120503652039325
1739209750.2411036;-38.13080360867914
1739209750.2411132;-38.13080360867914
1739209750.2411225;-38.13080360867914
1739209750.241132;-45.120503652039325
1739209750.2411413;-31.141103565318915
1739209750.2411509;-27.8777449560314
1739209750.2411604;-45.120503652039325
1739209750.2411697;-45.120503652039325
1739209750.2411792;-35.57807855764607
1739209750.2411885;-38.13080360867914
1739209750.241198;-45.120503652039325
1739209750.2412076;-38.13080360867914
1739209750.241217;-45.120503652039325
1739209750.2412264;-33.981070128970956
1739209750.2412357;-38.13080360867914
1739209750.2412453;-45.120503652039325
1739209750.2412548;-45.120503652039325
1739209750.241264;-38.13080360867914
1739209750.2412736;-35.57807855764607
1739209750.241283;-38.13080360867914
1739209750.2412925;-32.816014438256545
1739209750.241302;-27.8777449560314
1739209750.2413113;-38.13080360867914
1739209750.2413208;-38.13080360867914
1739209750.2413301;-38.13080360867914
1739209750.2413397;-33.981070128970906
1739209750.2413492;-45.120503652039325
1739209750.2413585;-45.120503652039325
1739209750.241368;-45.120503652039325
1739209750.2413774;-38.13080360867914
1739209750.241387;-45.120503652039325
1739209750.2413964;-45.120503652039325
1739209750.2414057;-45.120503652039325
1739209750.2414153;-35.57807855764607
1739209750.2414246;-38.13080360867914
1739209750.241434;-45.120503652039325
1739209750.2414436;-33.981070128970906
1739209750.241453;-29.438486411369333
1739209750.2414625;-45.120503652039325
1739209750.2414718;-45.120503652039325
1739209750.2414813;-33.981070128970906
1739209750.2414908;-38.13080360867914
1739209750.2415001;-45.120503652039325
1739209750.2415097;-38.13080360867914
1739209750.241519;-38.13080360867914
1739209750.2415285;-45.120503652039325
1739209750.241538;-38.13080360867914
1739209750.2415473;-45.120503652039325
1739209750.241557;-45.120503652039325
1739209750.2415662;-32.816014438256545
1739209750.2415757;-38.13080360867914
1739209750.2415853;-45.120503652039325
1739209750.2415946;-45.120503652039325
1739209750.241604;-38.13080360867914
1739209750.2416136;-38.13080360867914
1739209750.241623;-45.120503652039325
1739209750.2416325;-38.13080360867914
1739209750.2416418;-45.120503652039325
1739209750.2416513;-38.13080360867914
1739209750.2416608;-38.13080360867914
1739209750.2416701;-45.120503652039325
1739209750.2416797;-38.13080360867914
1739209750.241689;-45.120503652039325
1739209750.2416985;-45.120503652039325
1739209750.241708;-45.120503652039325
1739209750.2417173;-32.816014438256545
1739209750.2417269;-45.120503652039325
1739209750.2417362;-35.57807855764607
1739209750.2417457;-38.13080360867914
1739209750.2417552;-45.120503652039325
1739209750.2417645;-45.120503652039325
1739209750.241774;-45.120503652039325
1739209750.2417834;-38.13080360867914
1739209750.241793;-45.120503652039325
1739209750.2418025;-38.13080360867914
1739209750.2418118;-38.13080360867914
1739209750.2418213;-45.120503652039325
1739209750.2418306;-32.816014438256545
1739209750.2418401;-38.13080360867914
1739209750.2418497;-45.120503652039325
1739209750.241859;-38.13080360867914
1739209750.2418685;-32.816014438256545
1739209750.2418778;-45.120503652039325
1739209750.2418873;-45.120503652039325
1739209750.2418969;-45.120503652039325
1739209750.2419062;-45.120503652039325
1739209750.2419157;-45.120503652039325
1739209750.241925;-38.13080360867914
1739209750.2419345;-45.120503652039325
1739209750.241944;-38.13080360867914
1739209750.2419534;-38.13080360867914
1739209750.241963;-31.141103565318893
1739209750.2419722;-45.120503652039325
1739209750.2419817;-38.13080360867914
1739209750.2419913;-38.13080360867914
1739209750.2420006;-45.120503652039325
1739209750.24201;-45.120503652039325
1739209750.2420194;-45.120503652039325
1739209750.242029;-38.13080360867914
1739209750.2420385;-38.13080360867914
1739209750.2420478;-38.13080360867914
1739209750.2420573;-35.57807855764607
1739209750.2420666;-38.13080360867914
1739209750.2420762;-38.13080360867914
1739209750.2420857;-45.120503652039325
1739209750.242095;-38.13080360867914
1739209750.2421045;-33.981070128970906
1739209750.2421138;-45.120503652039325
1739209750.2421234;-38.13080360867914
1739209750.242133;-38.13080360867914
1739209750.2421422;-38.13080360867914
1739209750.2421517;-45.120503652039325
1739209750.242161;-35.57807855764607
1739209750.2421706;-38.13080360867914
