CAN Message; 0x1bb:0000be3b9efb30d5
Timestamp;Amplitude
1739209804.9752367;-38.13080360867914
1739209804.9752386;-38.13080360867914
1739209804.9752407;-33.981070128970906
1739209804.9752429;-38.13080360867914
1739209804.9752448;-33.981070128970906
1739209804.975247;-32.816014438256545
1739209804.975249;-38.13080360867914
1739209804.9752512;-38.13080360867914
1739209804.975253;-35.57807855764607
1739209804.9752553;-38.13080360867914
1739209804.9752574;-45.120503652039325
1739209804.9752593;-33.981070128970906
1739209804.9752614;-29.438486411369333
1739209804.9752636;-33.981070128970956
1739209804.9752655;-29.438486411369347
1739209804.9752676;-33.981070128970906
1739209804.9752698;-31.14110356531892
1739209804.9752717;-21.598678470925666
1739209804.9752738;-21.228842808393964
1739209804.975276;-32.816014438256545
1739209804.975278;-32.816014438256545
1739209804.97528;-33.981070128970906
1739209804.9752822;-38.13080360867914
1739209804.9752843;-38.13080360867914
1739209804.9752862;-33.981070128970906
1739209804.9752884;-33.981070128970906
1739209804.9752905;-27.267205301931607
1739209804.9752924;-31.141103565318893
1739209804.9752946;-27.267205301931607
1739209804.9752967;-26.991370085610768
1739209804.9752986;-22.175841390423358
1739209804.9753008;-25.077289914212862
1739209804.975303;-38.13080360867914
1739209804.9753048;-45.120503652039325
1739209804.975307;-45.120503652039325
1739209804.9753091;-38.13080360867914
1739209804.9753113;-33.981070128970906
1739209804.9753132;-38.13080360867914
1739209804.9753153;-28.992665084841942
1739209804.9753175;-32.816014438256545
1739209804.9753194;-38.13080360867914
1739209804.9753215;-25.62660358559016
1739209804.9753237;-24.589719217205094
1739209804.9753256;-24.438645034577675
1739209804.9753277;-31.141103565318915
1739209804.9753299;-33.981070128970906
1739209804.9753318;-35.57807855764607
1739209804.975334;-45.120503652039325
1739209804.975336;-30.49652367304973
1739209804.9753382;-33.981070128970956
1739209804.9753401;-38.13080360867914
1739209804.9753423;-27.267205301931607
1739209804.9753444;-26.991370085610754
1739209804.9753463;-33.981070128970906
1739209804.9753485;-23.38864096791655
1739209804.9753506;-23.50682362968953
1739209804.9753525;-30.49652367304976
1739209804.9753547;-31.141103565318893
1739209804.9753568;-38.13080360867914
1739209804.9753587;-35.57807855764607
1739209804.9753609;-35.57807855764607
1739209804.975363;-45.120503652039325
1739209804.975365;-33.981070128970906
1739209804.975367;-26.487275050834715
1739209804.9753692;-35.57807855764607
1739209804.9753714;-33.981070128970906
1739209804.9753733;-25.07728991421287
1739209804.9753754;-21.021172418726344
1739209804.9753776;-26.991370085610722
1739209804.9753795;-38.13080360867914
1739209804.9753816;-33.981070128970956
1739209804.9753838;-31.141103565318893
1739209804.9753857;-35.57807855764607
1739209804.9753878;-45.120503652039325
1739209804.97539;-28.992665084841942
1739209804.9753919;-45.120503652039325
1739209804.975394;-45.120503652039325
1739209804.9753962;-33.981070128970906
1739209804.9753983;-33.981070128970956
1739209804.9754002;-24.15140352195872
1739209804.9754024;-24.746238672633048
1739209804.9754045;-38.13080360867914
1739209804.9754064;-31.141103565318915
1739209804.9754086;-35.57807855764607
1739209804.9754107;-38.13080360867914
1739209804.9754126;-45.120503652039325
1739209804.9754148;-45.120503652039325
1739209804.975417;-45.120503652039325
1739209804.9754188;-32.816014438256545
1739209804.975421;-38.13080360867914
1739209804.975423;-31.141103565318943
1739209804.9754252;-45.120503652039325
1739209804.9754272;-38.13080360867914
1739209804.9754293;-45.120503652039325
1739209804.9754314;-45.120503652039325
1739209804.9754333;-35.57807855764607
1739209804.9754355;-45.120503652039325
1739209804.9754376;-33.981070128970906
1739209804.9754395;-31.141103565318915
1739209804.9754417;-45.120503652039325
1739209804.9754438;-38.13080360867914
1739209804.9754457;-35.57807855764607
1739209804.975448;-38.13080360867914
1739209804.97545;-45.120503652039325
1739209804.975452;-38.13080360867914
1739209804.975454;-45.120503652039325
1739209804.9754562;-45.120503652039325
1739209804.9754584;-38.13080360867914
1739209804.9754603;-45.120503652039325
1739209804.9754624;-38.13080360867914
1739209804.9754646;-38.13080360867914
1739209804.9754665;-45.120503652039325
1739209804.9754686;-45.120503652039325
1739209804.9754708;-45.120503652039325
1739209804.9754727;-38.13080360867914
1739209804.9754748;-38.13080360867914
1739209804.975477;-38.13080360867914
1739209804.975479;-45.120503652039325
1739209804.975481;-45.120503652039325
1739209804.9754832;-32.816014438256545
1739209804.9754853;-45.120503652039325
1739209804.9754872;-38.13080360867914
1739209804.9754894;-28.992665084841942
1739209804.9754915;-45.120503652039325
1739209804.9754934;-38.13080360867914
1739209804.9754956;-45.120503652039325
1739209804.9754977;-31.141103565318915
1739209804.9754996;-32.816014438256545
1739209804.9755018;-33.981070128970906
1739209804.975504;-45.120503652039325
1739209804.9755058;-28.218542851754165
1739209804.975508;-33.981070128970906
1739209804.9755101;-38.13080360867914
1739209804.9755123;-45.120503652039325
1739209804.9755142;-38.13080360867914
1739209804.9755163;-35.57807855764607
1739209804.9755185;-38.13080360867914
1739209804.9755204;-45.120503652039325
1739209804.9755225;-28.992665084841942
1739209804.9755247;-38.13080360867914
1739209804.9755266;-35.57807855764607
1739209804.9755287;-45.120503652039325
1739209804.9755309;-38.13080360867914
1739209804.9755328;-38.13080360867914
1739209804.975535;-45.120503652039325
1739209804.975537;-45.120503652039325
1739209804.975539;-30.49652367304973
1739209804.975541;-33.981070128970906
1739209804.9755433;-38.13080360867914
1739209804.9755454;-38.13080360867914
1739209804.9755473;-35.57807855764607
1739209804.9755495;-45.120503652039325
1739209804.9755516;-45.120503652039325
1739209804.9755535;-45.120503652039325
1739209804.9755557;-33.981070128970906
1739209804.9755578;-38.13080360867914
1739209804.9755597;-38.13080360867914
1739209804.9755619;-35.57807855764607
1739209804.975564;-38.13080360867914
1739209804.975566;-45.120503652039325
1739209804.975568;-38.13080360867914
1739209804.9755702;-38.13080360867914
1739209804.9755723;-45.120503652039325
1739209804.9755743;-45.120503652039325
1739209804.9755764;-45.120503652039325
1739209804.9755785;-45.120503652039325
1739209804.9755805;-45.120503652039325
1739209804.9755826;-45.120503652039325
1739209804.9755847;-45.120503652039325
1739209804.9755867;-45.120503652039325
1739209804.9755888;-38.13080360867914
