CAN Message; 0x1bb:0000e349fd657d03
Timestamp;Amplitude
1739209898.0325792;-45.120503652039325
1739209898.0325856;-45.120503652039325
1739209898.0325923;-45.120503652039325
1739209898.0325987;-45.120503652039325
1739209898.0326052;-45.120503652039325
1739209898.0326116;-45.120503652039325
1739209898.0326183;-45.120503652039325
1739209898.0326247;-45.120503652039325
1739209898.0326312;-45.120503652039325
1739209898.0326376;-45.120503652039325
1739209898.032644;-45.120503652039325
1739209898.0326507;-35.57807855764607
1739209898.0326571;-38.13080360867914
1739209898.0326636;-45.120503652039325
1739209898.03267;-45.120503652039325
1739209898.0326765;-38.13080360867914
1739209898.0326831;-26.991370085610736
1739209898.0326896;-38.13080360867914
1739209898.032696;-38.13080360867914
1739209898.0327024;-38.13080360867914
1739209898.0327091;-33.981070128970906
1739209898.0327156;-45.120503652039325
1739209898.032722;-45.120503652039325
1739209898.0327284;-45.120503652039325
1739209898.0327349;-38.13080360867914
1739209898.0327415;-45.120503652039325
1739209898.032748;-45.120503652039325
1739209898.0327544;-38.13080360867914
1739209898.0327609;-45.120503652039325
1739209898.0327675;-45.120503652039325
1739209898.032774;-38.13080360867914
1739209898.0327804;-32.816014438256545
1739209898.0327868;-24.292649948874775
1739209898.0327933;-38.13080360867914
1739209898.0328;-45.120503652039325
1739209898.0328064;-38.13080360867914
1739209898.0328128;-38.13080360867914
1739209898.0328193;-38.13080360867914
1739209898.0328257;-38.13080360867914
1739209898.0328324;-38.13080360867914
1739209898.0328388;-45.120503652039325
1739209898.0328453;-38.13080360867914
1739209898.0328517;-35.57807855764607
1739209898.0328584;-45.120503652039325
1739209898.0328648;-45.120503652039325
1739209898.0328712;-38.13080360867914
1739209898.0328777;-45.120503652039325
1739209898.0328841;-45.120503652039325
1739209898.0328908;-30.49652367304973
1739209898.0328972;-38.13080360867914
1739209898.0329037;-45.120503652039325
1739209898.03291;-38.13080360867914
1739209898.0329168;-32.816014438256545
1739209898.0329232;-45.120503652039325
1739209898.0329297;-45.120503652039325
1739209898.032936;-45.120503652039325
1739209898.0329425;-45.120503652039325
1739209898.0329492;-45.120503652039325
1739209898.0329556;-35.57807855764607
1739209898.032962;-45.120503652039325
1739209898.0329685;-38.13080360867914
1739209898.0329752;-38.13080360867914
1739209898.0329816;-45.120503652039325
1739209898.032988;-38.13080360867914
1739209898.0329945;-38.13080360867914
1739209898.033001;-45.120503652039325
1739209898.0330076;-38.13080360867914
1739209898.033014;-38.13080360867914
1739209898.0330205;-45.120503652039325
1739209898.033027;-45.120503652039325
1739209898.0330334;-38.13080360867914
1739209898.03304;-45.120503652039325
1739209898.0330465;-31.141103565318915
1739209898.033053;-33.981070128970906
1739209898.0330594;-45.120503652039325
1739209898.033066;-38.13080360867914
1739209898.0330725;-32.816014438256545
1739209898.033079;-45.120503652039325
1739209898.0330853;-45.120503652039325
1739209898.0330918;-38.13080360867914
1739209898.0330985;-45.120503652039325
1739209898.033105;-38.13080360867914
1739209898.0331113;-38.13080360867914
1739209898.0331178;-38.13080360867914
1739209898.0331244;-38.13080360867914
1739209898.033131;-45.120503652039325
1739209898.0331373;-45.120503652039325
1739209898.0331438;-38.13080360867914
1739209898.0331502;-28.992665084841942
1739209898.0331569;-31.141103565318915
1739209898.0331633;-38.13080360867914
1739209898.0331697;-38.13080360867914
1739209898.0331762;-35.57807855764607
1739209898.0331826;-38.13080360867914
1739209898.0331893;-38.13080360867914
1739209898.0331957;-38.13080360867914
1739209898.0332022;-35.57807855764607
1739209898.0332086;-38.13080360867914
1739209898.0332153;-38.13080360867914
1739209898.0332217;-38.13080360867914
1739209898.0332282;-45.120503652039325
1739209898.0332346;-45.120503652039325
1739209898.033241;-33.981070128970906
1739209898.0332477;-38.13080360867914
1739209898.0332541;-33.981070128970906
1739209898.0332606;-33.981070128970906
1739209898.033267;-45.120503652039325
1739209898.0332737;-38.13080360867914
1739209898.0332801;-35.57807855764607
1739209898.0332866;-45.120503652039325
1739209898.033293;-45.120503652039325
1739209898.0332994;-38.13080360867914
1739209898.0333061;-45.120503652039325
1739209898.0333126;-45.120503652039325
1739209898.033319;-38.13080360867914
1739209898.0333254;-45.120503652039325
1739209898.0333319;-38.13080360867914
1739209898.0333385;-38.13080360867914
1739209898.033345;-38.13080360867914
1739209898.0333514;-38.13080360867914
1739209898.0333579;-45.120503652039325
1739209898.0333645;-45.120503652039325
1739209898.033371;-45.120503652039325
1739209898.0333774;-35.57807855764607
1739209898.0333838;-35.57807855764607
1739209898.0333903;-45.120503652039325
1739209898.033397;-45.120503652039325
1739209898.0334034;-33.981070128970906
1739209898.0334098;-38.13080360867914
1739209898.0334163;-33.981070128970906
1739209898.033423;-38.13080360867914
1739209898.0334294;-45.120503652039325
1739209898.0334358;-33.981070128970906
1739209898.0334423;-32.816014438256545
1739209898.0334487;-38.13080360867914
1739209898.0334554;-45.120503652039325
