CAN Message; 0x77:24a9fc654949fd20
Timestamp;Amplitude
1739209615.3990319;-38.13080360867914
1739209615.3990378;-32.816014438256545
1739209615.399044;-38.13080360867914
1739209615.3990502;-38.13080360867914
1739209615.3990564;-45.120503652039325
1739209615.3990624;-38.13080360867914
1739209615.3990686;-45.120503652039325
1739209615.3990748;-45.120503652039325
1739209615.3990808;-38.13080360867914
1739209615.399087;-38.13080360867914
1739209615.3990932;-45.120503652039325
1739209615.399099;-35.57807855764607
1739209615.3991053;-38.13080360867914
1739209615.3991115;-45.120503652039325
1739209615.3991177;-45.120503652039325
1739209615.3991237;-32.816014438256545
1739209615.3991299;-38.13080360867914
1739209615.399136;-38.13080360867914
1739209615.399142;-38.13080360867914
1739209615.3991482;-45.120503652039325
1739209615.3991544;-45.120503652039325
1739209615.3991604;-38.13080360867914
1739209615.3991666;-33.981070128970906
1739209615.3991728;-35.57807855764607
1739209615.399179;-38.13080360867914
1739209615.399185;-45.120503652039325
1739209615.3991911;-45.120503652039325
1739209615.3991973;-45.120503652039325
1739209615.3992033;-45.120503652039325
1739209615.3992095;-33.981070128970906
1739209615.3992157;-32.816014438256545
1739209615.3992217;-38.13080360867914
1739209615.3992279;-38.13080360867914
1739209615.399234;-38.13080360867914
1739209615.3992403;-45.120503652039325
1739209615.3992462;-45.120503652039325
1739209615.3992524;-45.120503652039325
1739209615.3992586;-45.120503652039325
1739209615.3992646;-45.120503652039325
1739209615.3992708;-45.120503652039325
1739209615.399277;-45.120503652039325
1739209615.399283;-38.13080360867914
1739209615.3992891;-33.981070128970906
1739209615.3992953;-45.120503652039325
1739209615.3993015;-45.120503652039325
1739209615.3993075;-38.13080360867914
1739209615.3993137;-35.57807855764607
1739209615.39932;-38.13080360867914
1739209615.3993258;-38.13080360867914
1739209615.399332;-45.120503652039325
1739209615.3993382;-45.120503652039325
1739209615.3993442;-38.13080360867914
1739209615.3993504;-45.120503652039325
1739209615.3993566;-45.120503652039325
1739209615.3993628;-45.120503652039325
1739209615.3993688;-45.120503652039325
1739209615.399375;-45.120503652039325
1739209615.3993812;-45.120503652039325
1739209615.3993871;-45.120503652039325
1739209615.3993933;-35.57807855764607
1739209615.3993995;-38.13080360867914
1739209615.3994055;-38.13080360867914
1739209615.3994117;-31.141103565318915
1739209615.3994179;-35.57807855764607
1739209615.399424;-45.120503652039325
1739209615.39943;-45.120503652039325
1739209615.3994362;-31.141103565318915
1739209615.3994424;-38.13080360867914
1739209615.3994484;-38.13080360867914
1739209615.3994546;-45.120503652039325
1739209615.3994608;-38.13080360867914
1739209615.3994668;-38.13080360867914
1739209615.399473;-45.120503652039325
1739209615.3994792;-38.13080360867914
1739209615.3994853;-33.981070128970956
1739209615.3994913;-38.13080360867914
1739209615.3994975;-38.13080360867914
1739209615.3995037;-45.120503652039325
1739209615.3995097;-38.13080360867914
1739209615.3995159;-38.13080360867914
1739209615.399522;-38.13080360867914
1739209615.399528;-45.120503652039325
1739209615.3995342;-31.141103565318915
1739209615.3995404;-35.57807855764607
1739209615.3995466;-45.120503652039325
1739209615.3995526;-45.120503652039325
1739209615.3995588;-38.13080360867914
1739209615.399565;-35.57807855764607
1739209615.399571;-38.13080360867914
1739209615.3995771;-45.120503652039325
1739209615.3995833;-38.13080360867914
1739209615.3995895;-32.816014438256545
1739209615.3995955;-38.13080360867914
1739209615.3996017;-45.120503652039325
1739209615.399608;-38.13080360867914
1739209615.3996139;-35.57807855764607
1739209615.39962;-45.120503652039325
1739209615.3996263;-45.120503652039325
1739209615.3996322;-45.120503652039325
1739209615.3996384;-38.13080360867914
1739209615.3996446;-33.981070128970906
1739209615.3996508;-45.120503652039325
1739209615.3996568;-38.13080360867914
