CAN Message; 0x77:363f9377de1e5bae
Timestamp;Amplitude
1739209919.7166512;-38.13080360867914
1739209919.7166598;-45.120503652039325
1739209919.7166681;-35.57807855764607
1739209919.7166767;-38.13080360867914
1739209919.716685;-38.13080360867914
1739209919.7166934;-45.120503652039325
1739209919.716702;-35.57807855764607
1739209919.7167103;-38.13080360867914
1739209919.716719;-38.13080360867914
1739209919.7167273;-38.13080360867914
1739209919.7167356;-35.57807855764607
1739209919.7167442;-38.13080360867914
1739209919.7167525;-33.981070128970906
1739209919.7167609;-38.13080360867914
1739209919.7167695;-45.120503652039325
1739209919.7167778;-45.120503652039325
1739209919.7167864;-45.120503652039325
1739209919.7167947;-45.120503652039325
1739209919.716803;-38.13080360867914
1739209919.7168117;-38.13080360867914
1739209919.71682;-38.13080360867914
1739209919.7168286;-38.13080360867914
1739209919.716837;-45.120503652039325
1739209919.7168453;-38.13080360867914
1739209919.7168539;-35.57807855764607
1739209919.7168622;-38.13080360867914
1739209919.7168708;-45.120503652039325
1739209919.7168791;-38.13080360867914
1739209919.7168875;-45.120503652039325
1739209919.716896;-45.120503652039325
1739209919.7169044;-45.120503652039325
1739209919.716913;-45.120503652039325
1739209919.7169213;-38.13080360867914
1739209919.7169297;-38.13080360867914
1739209919.7169383;-45.120503652039325
1739209919.7169466;-38.13080360867914
1739209919.7169552;-32.816014438256545
1739209919.7169635;-38.13080360867914
1739209919.7169719;-45.120503652039325
1739209919.7169805;-45.120503652039325
1739209919.7169888;-38.13080360867914
1739209919.7169971;-38.13080360867914
1739209919.7170057;-38.13080360867914
1739209919.717014;-38.13080360867914
1739209919.7170227;-35.57807855764607
1739209919.717031;-38.13080360867914
1739209919.7170393;-45.120503652039325
1739209919.717048;-45.120503652039325
1739209919.7170563;-35.57807855764607
1739209919.7170649;-38.13080360867914
1739209919.7170732;-38.13080360867914
1739209919.7170815;-38.13080360867914
1739209919.7170901;-38.13080360867914
1739209919.7170985;-35.57807855764607
1739209919.717107;-45.120503652039325
1739209919.7171154;-38.13080360867914
1739209919.7171237;-38.13080360867914
1739209919.7171323;-38.13080360867914
1739209919.7171407;-38.13080360867914
1739209919.7171493;-38.13080360867914
1739209919.7171576;-38.13080360867914
1739209919.717166;-45.120503652039325
1739209919.7171745;-45.120503652039325
1739209919.7171829;-38.13080360867914
1739209919.7171915;-38.13080360867914
1739209919.7171998;-38.13080360867914
1739209919.7172081;-45.120503652039325
1739209919.7172167;-45.120503652039325
1739209919.717225;-45.120503652039325
1739209919.7172334;-33.981070128970906
1739209919.717242;-35.57807855764607
1739209919.7172503;-45.120503652039325
1739209919.717259;-38.13080360867914
1739209919.7172673;-33.981070128970906
1739209919.7172756;-45.120503652039325
1739209919.7172842;-45.120503652039325
1739209919.7172925;-38.13080360867914
1739209919.7173011;-38.13080360867914
1739209919.7173095;-38.13080360867914
1739209919.7173178;-38.13080360867914
1739209919.7173264;-45.120503652039325
1739209919.7173347;-45.120503652039325
1739209919.7173433;-45.120503652039325
1739209919.7173517;-38.13080360867914
1739209919.71736;-38.13080360867914
1739209919.7173686;-38.13080360867914
1739209919.717377;-45.120503652039325
1739209919.7173855;-45.120503652039325
1739209919.7173939;-35.57807855764607
1739209919.7174022;-33.981070128970906
1739209919.7174108;-45.120503652039325
1739209919.7174191;-45.120503652039325
1739209919.7174277;-32.816014438256545
1739209919.717436;-28.992665084841942
1739209919.7174444;-38.13080360867914
1739209919.717453;-45.120503652039325
1739209919.7174613;-45.120503652039325
1739209919.7174697;-38.13080360867914
1739209919.7174783;-45.120503652039325
1739209919.7174866;-45.120503652039325
1739209919.7174952;-38.13080360867914
1739209919.7175035;-33.981070128970906
1739209919.717512;-38.13080360867914
1739209919.7175205;-45.120503652039325
1739209919.7175288;-35.57807855764607
1739209919.7175374;-38.13080360867914
1739209919.7175457;-45.120503652039325
1739209919.717554;-38.13080360867914
1739209919.7175627;-38.13080360867914
1739209919.717571;-38.13080360867914
1739209919.7175796;-38.13080360867914
1739209919.717588;-33.981070128970906
1739209919.7175963;-38.13080360867914
1739209919.7176049;-33.981070128970906
1739209919.7176132;-45.120503652039325
1739209919.7176218;-45.120503652039325
1739209919.7176301;-35.57807855764607
1739209919.7176385;-33.981070128970906
1739209919.717647;-38.13080360867914
1739209919.7176554;-45.120503652039325
1739209919.717664;-38.13080360867914
1739209919.7176723;-38.13080360867914
1739209919.7176807;-45.120503652039325
1739209919.7176893;-45.120503652039325
1739209919.7176976;-38.13080360867914
1739209919.717706;-31.141103565318915
1739209919.7177145;-38.13080360867914
1739209919.717723;-38.13080360867914
1739209919.7177315;-38.13080360867914
1739209919.7177398;-38.13080360867914
1739209919.7177482;-38.13080360867914
1739209919.7177567;-45.120503652039325
1739209919.717765;-45.120503652039325
1739209919.7177737;-32.816014438256545
1739209919.717782;-38.13080360867914
1739209919.7177904;-38.13080360867914
1739209919.717799;-38.13080360867914
1739209919.7178073;-38.13080360867914
1739209919.7178159;-38.13080360867914
1739209919.7178242;-38.13080360867914
1739209919.7178326;-35.57807855764607
1739209919.7178411;-38.13080360867914
1739209919.7178495;-38.13080360867914
1739209919.717858;-45.120503652039325
1739209919.7178664;-45.120503652039325
1739209919.7178748;-38.13080360867914
1739209919.7178833;-38.13080360867914
1739209919.7178917;-35.57807855764607
1739209919.7179;-45.120503652039325
1739209919.7179086;-38.13080360867914
1739209919.717917;-38.13080360867914
1739209919.7179255;-45.120503652039325
1739209919.717934;-38.13080360867914
1739209919.7179422;-38.13080360867914
1739209919.7179508;-38.13080360867914
1739209919.7179592;-45.120503652039325
1739209919.7179677;-33.981070128970906
1739209919.717976;-38.13080360867914
1739209919.7179844;-38.13080360867914
1739209919.717993;-38.13080360867914
1739209919.7180014;-45.120503652039325
1739209919.71801;-38.13080360867914
1739209919.7180183;-32.816014438256545
1739209919.7180266;-38.13080360867914
1739209919.7180352;-38.13080360867914
1739209919.7180436;-45.120503652039325
1739209919.7180521;-38.13080360867914
1739209919.7180605;-45.120503652039325
1739209919.7180688;-45.120503652039325
1739209919.7180774;-45.120503652039325
1739209919.7180858;-38.13080360867914
