CAN Message; 0x98:000049d5086b3d3e
Timestamp;Amplitude
1739209748.6491668;-33.981070128970906
1739209748.6491926;-45.120503652039325
1739209748.6492183;-45.120503652039325
1739209748.6492443;-31.141103565318893
1739209748.64927;-35.57807855764607
1739209748.6492958;-45.120503652039325
1739209748.6493216;-32.816014438256545
1739209748.6493473;-38.13080360867914
1739209748.649373;-45.120503652039325
1739209748.6493988;-45.120503652039325
1739209748.6494248;-45.120503652039325
1739209748.6494505;-45.120503652039325
1739209748.6494763;-38.13080360867914
1739209748.649502;-38.13080360867914
1739209748.6495278;-45.120503652039325
1739209748.6495535;-38.13080360867914
1739209748.6495795;-38.13080360867914
1739209748.6496053;-45.120503652039325
1739209748.649631;-35.57807855764607
1739209748.6496568;-38.13080360867914
1739209748.6496825;-38.13080360867914
1739209748.6497083;-45.120503652039325
1739209748.649734;-45.120503652039325
1739209748.64976;-45.120503652039325
1739209748.6497858;-45.120503652039325
1739209748.6498115;-45.120503652039325
1739209748.6498373;-45.120503652039325
1739209748.649863;-35.57807855764607
1739209748.6498888;-35.57807855764607
1739209748.6499145;-45.120503652039325
1739209748.6499405;-45.120503652039325
1739209748.6499662;-30.49652367304973
1739209748.649992;-35.57807855764607
1739209748.6500177;-45.120503652039325
1739209748.6500435;-38.13080360867914
1739209748.6500692;-45.120503652039325
1739209748.650095;-45.120503652039325
1739209748.650121;-38.13080360867914
1739209748.6501467;-38.13080360867914
1739209748.6501725;-45.120503652039325
1739209748.6501982;-38.13080360867914
1739209748.650224;-32.816014438256545
1739209748.6502497;-45.120503652039325
1739209748.6502755;-35.57807855764607
1739209748.6503015;-35.57807855764607
1739209748.6503272;-38.13080360867914
1739209748.650353;-38.13080360867914
1739209748.6503787;-38.13080360867914
1739209748.6504045;-38.13080360867914
1739209748.6504302;-45.120503652039325
1739209748.6504562;-33.981070128970906
1739209748.650482;-45.120503652039325
1739209748.6505077;-45.120503652039325
1739209748.6505334;-35.57807855764607
1739209748.6505592;-38.13080360867914
1739209748.650585;-45.120503652039325
1739209748.6506107;-45.120503652039325
1739209748.6506367;-32.816014438256545
1739209748.6506624;-38.13080360867914
1739209748.6506882;-45.120503652039325
1739209748.650714;-45.120503652039325
1739209748.6507397;-38.13080360867914
1739209748.6507654;-35.57807855764607
1739209748.6507912;-45.120503652039325
1739209748.6508172;-38.13080360867914
1739209748.650843;-35.57807855764607
1739209748.6508687;-38.13080360867914
1739209748.6508944;-45.120503652039325
1739209748.6509202;-38.13080360867914
1739209748.650946;-33.981070128970906
1739209748.6509717;-38.13080360867914
1739209748.6509976;-38.13080360867914
1739209748.6510234;-35.57807855764607
1739209748.6510491;-35.57807855764607
1739209748.651075;-45.120503652039325
1739209748.6511006;-38.13080360867914
1739209748.6511264;-38.13080360867914
1739209748.6511524;-45.120503652039325
1739209748.6511781;-38.13080360867914
1739209748.6512039;-45.120503652039325
1739209748.6512296;-45.120503652039325
1739209748.6512554;-38.13080360867914
1739209748.651281;-38.13080360867914
1739209748.6513069;-38.13080360867914
1739209748.6513329;-33.981070128970906
1739209748.6513586;-38.13080360867914
1739209748.6513844;-38.13080360867914
1739209748.65141;-38.13080360867914
1739209748.6514359;-33.981070128970906
1739209748.6514616;-38.13080360867914
1739209748.6514874;-45.120503652039325
1739209748.6515133;-38.13080360867914
1739209748.651539;-38.13080360867914
1739209748.6515648;-38.13080360867914
1739209748.6515906;-38.13080360867914
1739209748.6516163;-32.816014438256545
1739209748.651642;-38.13080360867914
1739209748.6516678;-45.120503652039325
1739209748.6516938;-38.13080360867914
1739209748.6517196;-45.120503652039325
