CAN Message; 0x150:02000e39e9c67156
Timestamp;Amplitude
1739209881.8937247;-45.120503652039325
1739209881.8937304;-45.120503652039325
1739209881.893736;-38.13080360867914
1739209881.8937416;-38.13080360867914
1739209881.893747;-45.120503652039325
1739209881.8937526;-33.981070128970906
1739209881.8937583;-31.141103565318893
1739209881.8937638;-38.13080360867914
1739209881.8937695;-45.120503652039325
1739209881.893775;-38.13080360867914
1739209881.8937805;-38.13080360867914
1739209881.8937862;-38.13080360867914
1739209881.8937917;-45.120503652039325
1739209881.8937974;-38.13080360867914
1739209881.893803;-45.120503652039325
1739209881.8938084;-45.120503652039325
1739209881.893814;-35.57807855764607
1739209881.8938196;-38.13080360867914
1739209881.8938253;-45.120503652039325
1739209881.8938308;-38.13080360867914
1739209881.8938363;-45.120503652039325
1739209881.893842;-45.120503652039325
1739209881.8938475;-45.120503652039325
1739209881.8938532;-45.120503652039325
1739209881.8938587;-38.13080360867914
1739209881.8938642;-45.120503652039325
1739209881.8938699;-38.13080360867914
1739209881.8938754;-38.13080360867914
1739209881.893881;-45.120503652039325
1739209881.8938866;-45.120503652039325
1739209881.8938923;-45.120503652039325
1739209881.8938978;-45.120503652039325
1739209881.8939033;-45.120503652039325
1739209881.893909;-45.120503652039325
1739209881.8939145;-45.120503652039325
1739209881.8939202;-35.57807855764607
1739209881.8939257;-30.49652367304973
1739209881.8939312;-45.120503652039325
1739209881.8939369;-45.120503652039325
1739209881.8939424;-38.13080360867914
1739209881.893948;-27.8777449560314
1739209881.8939536;-38.13080360867914
1739209881.893959;-35.57807855764607
1739209881.8939648;-38.13080360867914
1739209881.8939703;-45.120503652039325
1739209881.893976;-45.120503652039325
1739209881.8939815;-45.120503652039325
1739209881.893987;-38.13080360867914
1739209881.8939927;-32.81601443825658
1739209881.8939981;-38.13080360867914
1739209881.8940039;-35.57807855764607
1739209881.8940094;-38.13080360867914
1739209881.8940148;-45.120503652039325
1739209881.8940206;-38.13080360867914
1739209881.894026;-32.816014438256545
1739209881.8940318;-38.13080360867914
1739209881.8940372;-33.981070128970906
1739209881.8940427;-32.816014438256545
1739209881.8940485;-38.13080360867914
1739209881.894054;-38.13080360867914
1739209881.8940597;-45.120503652039325
1739209881.8940651;-38.13080360867914
1739209881.8940706;-38.13080360867914
1739209881.8940763;-38.13080360867914
1739209881.8940818;-32.816014438256545
1739209881.8940876;-38.13080360867914
1739209881.894093;-45.120503652039325
1739209881.8940985;-45.120503652039325
1739209881.8941042;-45.120503652039325
1739209881.8941097;-45.120503652039325
1739209881.8941154;-45.120503652039325
1739209881.894121;-38.13080360867914
1739209881.8941264;-38.13080360867914
1739209881.8941321;-45.120503652039325
1739209881.8941376;-45.120503652039325
1739209881.8941433;-45.120503652039325
1739209881.8941488;-45.120503652039325
1739209881.8941543;-33.981070128970906
1739209881.89416;-45.120503652039325
1739209881.8941655;-45.120503652039325
1739209881.8941712;-29.438486411369333
1739209881.8941767;-33.981070128970906
1739209881.8941822;-45.120503652039325
1739209881.894188;-38.13080360867914
1739209881.8941934;-32.816014438256545
1739209881.8941991;-38.13080360867914
1739209881.8942046;-45.120503652039325
1739209881.89421;-38.13080360867914
1739209881.8942158;-45.120503652039325
1739209881.8942213;-38.13080360867914
1739209881.894227;-45.120503652039325
1739209881.8942325;-38.13080360867914
1739209881.8942382;-38.13080360867914
1739209881.8942437;-45.120503652039325
1739209881.8942492;-45.120503652039325
1739209881.894255;-38.13080360867914
1739209881.8942604;-38.13080360867914
1739209881.8942661;-38.13080360867914
1739209881.8942716;-38.13080360867914
1739209881.894277;-38.13080360867914
1739209881.8942828;-45.120503652039325
1739209881.8942883;-45.120503652039325
1739209881.894294;-38.13080360867914
1739209881.8942995;-38.13080360867914
1739209881.894305;-38.13080360867914
1739209881.8943107;-33.981070128970906
1739209881.8943162;-35.57807855764607
1739209881.894322;-33.981070128970906
1739209881.8943274;-38.13080360867914
1739209881.894333;-38.13080360867914
1739209881.8943386;-35.57807855764607
1739209881.894344;-38.13080360867914
1739209881.8943498;-45.120503652039325
1739209881.8943553;-45.120503652039325
1739209881.8943608;-38.13080360867914
1739209881.8943665;-38.13080360867914
1739209881.894372;-38.13080360867914
1739209881.8943777;-45.120503652039325
1739209881.8943832;-45.120503652039325
1739209881.8943887;-45.120503652039325
1739209881.8943944;-38.13080360867914
1739209881.8944;-35.57807855764607
1739209881.8944056;-45.120503652039325
1739209881.894411;-45.120503652039325
1739209881.8944166;-38.13080360867914
1739209881.8944223;-45.120503652039325
1739209881.8944278;-45.120503652039325
1739209881.8944335;-45.120503652039325
1739209881.894439;-38.13080360867914
1739209881.8944445;-38.13080360867914
1739209881.8944502;-45.120503652039325
1739209881.8944557;-38.13080360867914
1739209881.8944614;-38.13080360867914
1739209881.8944669;-35.57807855764607
1739209881.8944724;-38.13080360867914
1739209881.894478;-38.13080360867914
1739209881.8944836;-32.816014438256545
1739209881.8944893;-38.13080360867914
1739209881.8944948;-45.120503652039325
1739209881.8945003;-38.13080360867914
1739209881.894506;-35.57807855764607
