CAN Message; 0x1a7:0000b54f2c7b40f9
Timestamp;Amplitude
1739209830.6451385;-33.981070128970906
1739209830.645141;-38.13080360867914
1739209830.6451435;-38.13080360867914
1739209830.6451461;-38.13080360867914
1739209830.6451488;-32.816014438256545
1739209830.6451511;-45.120503652039325
1739209830.6451538;-38.13080360867914
1739209830.6451564;-38.13080360867914
1739209830.6451588;-45.120503652039325
1739209830.6451614;-45.120503652039325
1739209830.645164;-35.57807855764607
1739209830.6451664;-38.13080360867914
1739209830.645169;-45.120503652039325
1739209830.6451716;-38.13080360867914
1739209830.6451743;-38.13080360867914
1739209830.6451766;-45.120503652039325
1739209830.6451793;-38.13080360867914
1739209830.645182;-35.57807855764607
1739209830.6451843;-38.13080360867914
1739209830.645187;-38.13080360867914
1739209830.6451895;-33.981070128970906
1739209830.6451921;-45.120503652039325
1739209830.6451945;-45.120503652039325
1739209830.6451972;-38.13080360867914
1739209830.6451998;-38.13080360867914
1739209830.6452022;-45.120503652039325
1739209830.6452048;-38.13080360867914
1739209830.6452074;-38.13080360867914
1739209830.6452098;-45.120503652039325
1739209830.6452124;-45.120503652039325
1739209830.645215;-45.120503652039325
1739209830.6452177;-45.120503652039325
1739209830.64522;-33.981070128970906
1739209830.6452227;-33.981070128970906
1739209830.6452253;-38.13080360867914
1739209830.6452277;-45.120503652039325
1739209830.6452303;-35.57807855764607
1739209830.645233;-32.816014438256545
1739209830.6452355;-38.13080360867914
1739209830.645238;-45.120503652039325
1739209830.6452405;-45.120503652039325
1739209830.6452432;-33.981070128970906
1739209830.6452456;-45.120503652039325
1739209830.6452482;-45.120503652039325
1739209830.6452508;-33.981070128970906
1739209830.6452532;-45.120503652039325
1739209830.6452558;-45.120503652039325
1739209830.6452584;-45.120503652039325
1739209830.645261;-35.57807855764607
1739209830.6452634;-45.120503652039325
1739209830.645266;-45.120503652039325
1739209830.6452687;-45.120503652039325
1739209830.645271;-31.141103565318893
1739209830.6452737;-28.58837851428586
1739209830.6452763;-45.120503652039325
1739209830.645279;-45.120503652039325
1739209830.6452813;-45.120503652039325
1739209830.645284;-33.981070128970906
1739209830.6452866;-45.120503652039325
1739209830.645289;-45.120503652039325
1739209830.6452916;-45.120503652039325
1739209830.6452942;-45.120503652039325
1739209830.6452966;-38.13080360867914
1739209830.6452992;-45.120503652039325
1739209830.6453018;-38.13080360867914
1739209830.6453044;-45.120503652039325
1739209830.6453068;-38.13080360867914
1739209830.6453094;-45.120503652039325
1739209830.645312;-38.13080360867914
1739209830.6453145;-33.981070128970906
1739209830.645317;-38.13080360867914
1739209830.6453197;-38.13080360867914
1739209830.6453223;-45.120503652039325
1739209830.6453247;-45.120503652039325
1739209830.6453273;-38.13080360867914
1739209830.64533;-38.13080360867914
1739209830.6453323;-38.13080360867914
1739209830.645335;-38.13080360867914
1739209830.6453376;-38.13080360867914
1739209830.64534;-45.120503652039325
1739209830.6453426;-45.120503652039325
1739209830.6453452;-45.120503652039325
1739209830.6453478;-45.120503652039325
1739209830.6453502;-45.120503652039325
1739209830.6453528;-35.57807855764607
1739209830.6453555;-35.57807855764607
1739209830.6453578;-38.13080360867914
1739209830.6453605;-45.120503652039325
1739209830.645363;-35.57807855764607
1739209830.6453657;-35.57807855764607
1739209830.645368;-45.120503652039325
1739209830.6453707;-45.120503652039325
1739209830.6453733;-38.13080360867914
1739209830.6453757;-31.141103565318915
1739209830.6453784;-35.57807855764607
1739209830.645381;-38.13080360867914
1739209830.6453834;-38.13080360867914
1739209830.645386;-38.13080360867914
1739209830.6453886;-45.120503652039325
1739209830.6453912;-45.120503652039325
1739209830.6453936;-45.120503652039325
1739209830.6453962;-32.81601443825658
1739209830.6453989;-45.120503652039325
1739209830.6454012;-45.120503652039325
1739209830.6454039;-45.120503652039325
1739209830.6454065;-45.120503652039325
1739209830.645409;-45.120503652039325
1739209830.6454115;-45.120503652039325
1739209830.645414;-38.13080360867914
1739209830.6454167;-28.992665084841942
1739209830.6454191;-38.13080360867914
1739209830.6454217;-45.120503652039325
1739209830.6454244;-45.120503652039325
1739209830.6454268;-38.13080360867914
1739209830.6454294;-45.120503652039325
1739209830.645432;-45.120503652039325
1739209830.6454346;-33.981070128970906
1739209830.645437;-33.981070128970906
1739209830.6454396;-45.120503652039325
1739209830.6454422;-45.120503652039325
1739209830.6454446;-38.13080360867914
1739209830.6454473;-35.57807855764607
1739209830.6454499;-45.120503652039325
1739209830.6454525;-38.13080360867914
1739209830.645455;-38.13080360867914
1739209830.6454575;-30.49652367304973
1739209830.6454601;-38.13080360867914
1739209830.6454625;-45.120503652039325
1739209830.6454651;-38.13080360867914
1739209830.6454678;-38.13080360867914
1739209830.6454701;-45.120503652039325
1739209830.6454728;-45.120503652039325
1739209830.6454754;-38.13080360867914
1739209830.645478;-33.981070128970906
1739209830.6454804;-33.981070128970906
1739209830.645483;-35.57807855764607
1739209830.6454856;-45.120503652039325
1739209830.645488;-33.981070128970906
1739209830.6454906;-35.57807855764607
1739209830.6454933;-38.13080360867914
1739209830.645496;-38.13080360867914
1739209830.6454983;-33.981070128970906
1739209830.645501;-33.981070128970906
1739209830.6455035;-38.13080360867914
1739209830.645506;-45.120503652039325
1739209830.6455085;-45.120503652039325
1739209830.6455112;-38.13080360867914
1739209830.6455135;-38.13080360867914
1739209830.6455162;-45.120503652039325
1739209830.6455188;-45.120503652039325
1739209830.6455214;-45.120503652039325
1739209830.6455238;-38.13080360867914
1739209830.6455264;-45.120503652039325
