CAN Message; 0x1bb:00000ca775e94283
Timestamp;Amplitude
1739209921.059467;-45.120503652039325
1739209921.0594697;-45.120503652039325
1739209921.0594723;-38.13080360867914
1739209921.0594747;-45.120503652039325
1739209921.0594773;-28.21854285175415
1739209921.05948;-31.141103565318893
1739209921.0594826;-38.13080360867914
1739209921.0594852;-38.13080360867914
1739209921.0594878;-38.13080360867914
1739209921.0594904;-38.13080360867914
1739209921.059493;-45.120503652039325
1739209921.0594954;-38.13080360867914
1739209921.059498;-45.120503652039325
1739209921.0595007;-45.120503652039325
1739209921.0595033;-35.57807855764607
1739209921.059506;-38.13080360867914
1739209921.0595086;-45.120503652039325
1739209921.0595112;-45.120503652039325
1739209921.0595136;-45.120503652039325
1739209921.0595162;-38.13080360867914
1739209921.0595188;-38.13080360867914
1739209921.0595214;-45.120503652039325
1739209921.059524;-38.13080360867914
1739209921.0595267;-38.13080360867914
1739209921.0595293;-45.120503652039325
1739209921.059532;-45.120503652039325
1739209921.0595343;-38.13080360867914
1739209921.059537;-45.120503652039325
1739209921.0595396;-31.141103565318893
1739209921.0595422;-31.141103565318893
1739209921.0595448;-45.120503652039325
1739209921.0595474;-45.120503652039325
1739209921.05955;-38.13080360867914
1739209921.0595527;-35.57807855764607
1739209921.059555;-45.120503652039325
1739209921.0595577;-45.120503652039325
1739209921.0595603;-45.120503652039325
1739209921.059563;-45.120503652039325
1739209921.0595655;-32.816014438256545
1739209921.0595682;-35.57807855764607
1739209921.0595708;-45.120503652039325
1739209921.0595732;-45.120503652039325
1739209921.0595758;-33.981070128970906
1739209921.0595784;-38.13080360867914
1739209921.059581;-32.816014438256545
1739209921.0595837;-30.49652367304973
1739209921.0595863;-45.120503652039325
1739209921.059589;-35.57807855764607
1739209921.0595915;-38.13080360867914
1739209921.059594;-38.13080360867914
1739209921.0595965;-45.120503652039325
1739209921.0595992;-38.13080360867914
1739209921.0596018;-45.120503652039325
1739209921.0596044;-45.120503652039325
1739209921.059607;-45.120503652039325
1739209921.0596097;-45.120503652039325
1739209921.059612;-45.120503652039325
1739209921.0596147;-38.13080360867914
1739209921.0596173;-45.120503652039325
1739209921.05962;-45.120503652039325
1739209921.0596225;-38.13080360867914
1739209921.0596251;-45.120503652039325
1739209921.0596278;-45.120503652039325
1739209921.0596304;-45.120503652039325
1739209921.0596328;-45.120503652039325
1739209921.0596354;-45.120503652039325
