CAN Message; 0x98:0000c5a533c071f3
Timestamp;Amplitude
1739209883.4670067;-38.13080360867914
1739209883.4670112;-35.57807855764607
1739209883.4670155;-45.120503652039325
1739209883.46702;-45.120503652039325
1739209883.4670246;-35.57807855764607
1739209883.467029;-38.13080360867914
1739209883.4670336;-45.120503652039325
1739209883.467038;-38.13080360867914
1739209883.4670424;-38.13080360867914
1739209883.467047;-45.120503652039325
1739209883.4670515;-26.991370085610736
1739209883.467056;-32.816014438256545
1739209883.4670603;-45.120503652039325
1739209883.4670649;-38.13080360867914
1739209883.4670694;-35.57807855764607
1739209883.467074;-45.120503652039325
1739209883.4670784;-45.120503652039325
1739209883.467083;-45.120503652039325
1739209883.4670873;-45.120503652039325
1739209883.4670918;-45.120503652039325
1739209883.4670963;-45.120503652039325
1739209883.4671009;-45.120503652039325
1739209883.4671054;-38.13080360867914
1739209883.4671097;-33.981070128970906
1739209883.4671142;-45.120503652039325
1739209883.4671187;-45.120503652039325
1739209883.4671233;-29.438486411369333
1739209883.4671278;-32.816014438256545
1739209883.467132;-45.120503652039325
1739209883.4671366;-38.13080360867914
1739209883.4671412;-38.13080360867914
1739209883.4671457;-45.120503652039325
1739209883.4671502;-45.120503652039325
1739209883.4671545;-45.120503652039325
1739209883.467159;-38.13080360867914
1739209883.4671636;-45.120503652039325
1739209883.467168;-45.120503652039325
1739209883.4671726;-45.120503652039325
1739209883.467177;-32.816014438256545
1739209883.4671814;-35.57807855764607
1739209883.467186;-45.120503652039325
1739209883.4671905;-45.120503652039325
1739209883.467195;-45.120503652039325
1739209883.4671993;-45.120503652039325
1739209883.4672039;-45.120503652039325
1739209883.4672084;-38.13080360867914
1739209883.467213;-45.120503652039325
1739209883.4672174;-38.13080360867914
1739209883.4672217;-38.13080360867914
1739209883.4672263;-35.57807855764607
1739209883.4672308;-38.13080360867914
1739209883.4672353;-35.57807855764607
1739209883.4672399;-38.13080360867914
1739209883.4672444;-45.120503652039325
1739209883.4672487;-35.57807855764607
1739209883.4672532;-38.13080360867914
1739209883.4672577;-45.120503652039325
1739209883.4672623;-45.120503652039325
1739209883.4672668;-45.120503652039325
1739209883.467271;-45.120503652039325
1739209883.4672756;-45.120503652039325
1739209883.4672801;-45.120503652039325
1739209883.4672847;-45.120503652039325
1739209883.4672892;-38.13080360867914
1739209883.4672935;-32.816014438256545
1739209883.467298;-45.120503652039325
1739209883.4673026;-38.13080360867914
1739209883.467307;-33.981070128970906
1739209883.4673116;-38.13080360867914
1739209883.467316;-38.13080360867914
1739209883.4673204;-38.13080360867914
1739209883.467325;-38.13080360867914
1739209883.4673295;-38.13080360867914
1739209883.467334;-38.13080360867914
1739209883.4673383;-45.120503652039325
1739209883.4673429;-45.120503652039325
1739209883.4673474;-45.120503652039325
1739209883.467352;-45.120503652039325
1739209883.4673564;-38.13080360867914
1739209883.4673607;-38.13080360867914
1739209883.4673653;-38.13080360867914
1739209883.4673698;-38.13080360867914
1739209883.4673743;-45.120503652039325
1739209883.4673789;-38.13080360867914
1739209883.4673831;-38.13080360867914
1739209883.4673877;-38.13080360867914
1739209883.4673922;-45.120503652039325
1739209883.4673967;-45.120503652039325
1739209883.4674013;-38.13080360867914
1739209883.4674058;-38.13080360867914
1739209883.46741;-38.13080360867914
1739209883.4674146;-38.13080360867914
1739209883.4674191;-38.13080360867914
1739209883.4674237;-45.120503652039325
1739209883.4674282;-38.13080360867914
1739209883.4674325;-35.57807855764607
1739209883.467437;-38.13080360867914
1739209883.4674416;-33.981070128970906
1739209883.467446;-45.120503652039325
1739209883.4674506;-38.13080360867914
1739209883.467455;-38.13080360867914
1739209883.4674594;-45.120503652039325
1739209883.467464;-45.120503652039325
1739209883.4674685;-38.13080360867914
1739209883.467473;-45.120503652039325
1739209883.4674773;-45.120503652039325
1739209883.4674819;-35.57807855764607
1739209883.4674864;-38.13080360867914
1739209883.467491;-45.120503652039325
1739209883.4674954;-38.13080360867914
1739209883.4674997;-38.13080360867914
1739209883.4675043;-38.13080360867914
1739209883.4675088;-45.120503652039325
1739209883.4675133;-38.13080360867914
1739209883.4675179;-38.13080360867914
1739209883.4675221;-38.13080360867914
1739209883.4675267;-45.120503652039325
1739209883.4675312;-45.120503652039325
1739209883.4675357;-33.981070128970906
1739209883.4675403;-33.981070128970906
1739209883.4675446;-38.13080360867914
1739209883.467549;-45.120503652039325
1739209883.4675536;-33.981070128970906
1739209883.4675581;-38.13080360867914
1739209883.4675627;-32.816014438256545
1739209883.4675672;-38.13080360867914
1739209883.4675715;-38.13080360867914
1739209883.467576;-38.13080360867914
1739209883.4675806;-45.120503652039325
1739209883.467585;-38.13080360867914
1739209883.4675896;-35.57807855764607
1739209883.467594;-32.816014438256545
1739209883.4675984;-31.141103565318915
1739209883.467603;-45.120503652039325
1739209883.4676075;-32.816014438256545
1739209883.467612;-32.816014438256545
1739209883.4676163;-38.13080360867914
1739209883.4676208;-45.120503652039325
1739209883.4676254;-32.816014438256545
1739209883.46763;-38.13080360867914
1739209883.4676344;-33.981070128970956
1739209883.4676387;-38.13080360867914
1739209883.4676433;-38.13080360867914
1739209883.4676478;-45.120503652039325
1739209883.4676523;-33.981070128970906
1739209883.4676569;-38.13080360867914
1739209883.4676611;-38.13080360867914
1739209883.4676657;-33.981070128970906
1739209883.4676702;-27.267205301931607
1739209883.4676747;-45.120503652039325
1739209883.4676793;-45.120503652039325
1739209883.4676836;-38.13080360867914
1739209883.467688;-45.120503652039325
1739209883.4676926;-33.981070128970906
1739209883.4676971;-38.13080360867914
1739209883.4677017;-38.13080360867914
1739209883.467706;-35.57807855764607
1739209883.4677105;-45.120503652039325
1739209883.467715;-45.120503652039325
1739209883.4677196;-45.120503652039325
1739209883.467724;-33.981070128970906
1739209883.4677286;-38.13080360867914
1739209883.467733;-38.13080360867914
