CAN Message; 0x1d3:00004b26ad21d818
Timestamp;Amplitude
1739209807.0929337;-33.981070128970906
1739209807.0929394;-38.13080360867914
1739209807.092945;-45.120503652039325
1739209807.0929508;-35.57807855764607
1739209807.0929568;-35.57807855764607
1739209807.0929625;-45.120503652039325
1739209807.0929682;-45.120503652039325
1739209807.0929742;-33.981070128970906
1739209807.09298;-32.816014438256545
1739209807.0929856;-45.120503652039325
1739209807.0929914;-38.13080360867914
1739209807.0929973;-45.120503652039325
1739209807.093003;-38.13080360867914
1739209807.0930088;-38.13080360867914
1739209807.0930147;-45.120503652039325
1739209807.0930204;-38.13080360867914
1739209807.0930262;-38.13080360867914
1739209807.093032;-32.816014438256545
1739209807.0930378;-38.13080360867914
1739209807.0930436;-38.13080360867914
1739209807.0930493;-35.57807855764607
1739209807.093055;-38.13080360867914
1739209807.093061;-45.120503652039325
1739209807.0930667;-38.13080360867914
1739209807.0930724;-35.57807855764607
1739209807.0930784;-45.120503652039325
1739209807.093084;-45.120503652039325
1739209807.0930898;-45.120503652039325
1739209807.0930955;-38.13080360867914
1739209807.0931015;-38.13080360867914
1739209807.0931072;-45.120503652039325
1739209807.093113;-45.120503652039325
1739209807.093119;-38.13080360867914
1739209807.0931246;-45.120503652039325
1739209807.0931304;-38.13080360867914
1739209807.093136;-38.13080360867914
1739209807.093142;-45.120503652039325
1739209807.0931478;-38.13080360867914
1739209807.0931535;-33.981070128970906
1739209807.0931592;-38.13080360867914
1739209807.0931652;-38.13080360867914
1739209807.093171;-38.13080360867914
1739209807.0931766;-45.120503652039325
1739209807.0931826;-45.120503652039325
1739209807.0931883;-45.120503652039325
1739209807.093194;-45.120503652039325
1739209807.0931997;-38.13080360867914
1739209807.0932057;-38.13080360867914
1739209807.0932114;-38.13080360867914
1739209807.0932171;-38.13080360867914
1739209807.0932229;-45.120503652039325
1739209807.0932288;-38.13080360867914
1739209807.0932345;-45.120503652039325
1739209807.0932403;-35.57807855764607
1739209807.0932462;-38.13080360867914
1739209807.093252;-45.120503652039325
1739209807.0932577;-45.120503652039325
1739209807.0932634;-45.120503652039325
1739209807.0932693;-38.13080360867914
1739209807.093275;-38.13080360867914
1739209807.0932808;-45.120503652039325
1739209807.0932868;-45.120503652039325
1739209807.0932925;-45.120503652039325
1739209807.0932982;-45.120503652039325
1739209807.093304;-38.13080360867914
1739209807.0933099;-38.13080360867914
1739209807.0933156;-45.120503652039325
1739209807.0933213;-45.120503652039325
1739209807.093327;-45.120503652039325
1739209807.093333;-45.120503652039325
1739209807.0933387;-45.120503652039325
1739209807.0933444;-45.120503652039325
1739209807.0933504;-45.120503652039325
1739209807.0933561;-38.13080360867914
1739209807.0933619;-45.120503652039325
1739209807.0933676;-32.816014438256545
1739209807.0933735;-45.120503652039325
1739209807.0933793;-30.49652367304973
1739209807.093385;-32.816014438256545
1739209807.0933907;-38.13080360867914
1739209807.0933967;-38.13080360867914
1739209807.0934024;-35.57807855764607
1739209807.093408;-38.13080360867914
1739209807.093414;-38.13080360867914
1739209807.0934198;-38.13080360867914
1739209807.0934255;-45.120503652039325
1739209807.0934312;-45.120503652039325
1739209807.0934372;-38.13080360867914
1739209807.093443;-38.13080360867914
1739209807.0934486;-45.120503652039325
1739209807.0934546;-45.120503652039325
1739209807.0934603;-45.120503652039325
1739209807.093466;-35.57807855764607
1739209807.0934718;-45.120503652039325
1739209807.0934777;-38.13080360867914
1739209807.0934834;-38.13080360867914
1739209807.0934892;-45.120503652039325
1739209807.093495;-45.120503652039325
1739209807.0935009;-45.120503652039325
1739209807.0935066;-38.13080360867914
1739209807.0935123;-45.120503652039325
1739209807.0935183;-32.816014438256545
1739209807.093524;-29.438486411369333
1739209807.0935297;-45.120503652039325
1739209807.0935354;-45.120503652039325
1739209807.0935414;-38.13080360867914
1739209807.093547;-38.13080360867914
1739209807.0935528;-45.120503652039325
1739209807.0935588;-38.13080360867914
1739209807.0935645;-45.120503652039325
1739209807.0935702;-45.120503652039325
1739209807.093576;-45.120503652039325
1739209807.093582;-45.120503652039325
1739209807.0935876;-35.57807855764607
1739209807.0935934;-35.57807855764607
1739209807.093599;-45.120503652039325
1739209807.093605;-33.981070128970906
1739209807.0936108;-38.13080360867914
1739209807.0936165;-45.120503652039325
1739209807.0936224;-38.13080360867914
1739209807.0936282;-45.120503652039325
1739209807.093634;-45.120503652039325
1739209807.0936396;-38.13080360867914
1739209807.0936456;-38.13080360867914
1739209807.0936513;-45.120503652039325
1739209807.093657;-38.13080360867914
1739209807.0936627;-31.141103565318893
1739209807.0936687;-38.13080360867914
1739209807.0936744;-38.13080360867914
1739209807.0936801;-38.13080360867914
1739209807.093686;-45.120503652039325
1739209807.0936918;-45.120503652039325
1739209807.0936975;-45.120503652039325
1739209807.0937033;-45.120503652039325
1739209807.0937092;-45.120503652039325
