CAN Message; 0x1d3:00007f7efe5b9a39
Timestamp;Amplitude
1739209654.7340515;-38.13080360867914
1739209654.7340648;-32.816014438256545
1739209654.7340784;-45.120503652039325
1739209654.734092;-33.981070128970906
1739209654.7341056;-31.141103565318915
1739209654.734119;-38.13080360867914
1739209654.7341325;-38.13080360867914
1739209654.734146;-45.120503652039325
1739209654.7341597;-38.13080360867914
1739209654.734173;-45.120503652039325
1739209654.7341866;-38.13080360867914
1739209654.7342002;-38.13080360867914
1739209654.7342138;-31.14110356531892
1739209654.7342272;-45.120503652039325
1739209654.7342408;-38.13080360867914
1739209654.7342544;-38.13080360867914
1739209654.734268;-45.120503652039325
1739209654.7342813;-38.13080360867914
1739209654.734295;-45.120503652039325
1739209654.7343085;-38.13080360867914
1739209654.734322;-31.141103565318915
1739209654.7343354;-35.57807855764607
1739209654.734349;-45.120503652039325
1739209654.7343626;-38.13080360867914
1739209654.7343762;-33.981070128970906
1739209654.7343895;-45.120503652039325
1739209654.7344031;-38.13080360867914
1739209654.7344167;-38.13080360867914
1739209654.7344303;-45.120503652039325
1739209654.7344437;-45.120503652039325
1739209654.7344573;-45.120503652039325
1739209654.7344708;-45.120503652039325
1739209654.7344844;-45.120503652039325
1739209654.7344978;-35.57807855764607
1739209654.7345114;-45.120503652039325
1739209654.734525;-45.120503652039325
1739209654.7345383;-33.981070128970906
1739209654.734552;-45.120503652039325
1739209654.7345655;-45.120503652039325
1739209654.734579;-45.120503652039325
1739209654.7345924;-38.13080360867914
1739209654.734606;-38.13080360867914
1739209654.7346196;-38.13080360867914
1739209654.7346332;-45.120503652039325
1739209654.7346466;-30.49652367304973
1739209654.7346601;-35.57807855764607
1739209654.7346737;-38.13080360867914
1739209654.7346873;-45.120503652039325
1739209654.7347007;-38.13080360867914
1739209654.7347143;-35.57807855764607
1739209654.7347279;-38.13080360867914
1739209654.7347414;-35.57807855764607
1739209654.7347548;-31.141103565318915
1739209654.7347684;-38.13080360867914
1739209654.734782;-38.13080360867914
1739209654.7347956;-45.120503652039325
1739209654.734809;-33.981070128970906
1739209654.7348225;-38.13080360867914
1739209654.734836;-35.57807855764607
1739209654.7348497;-38.13080360867914
1739209654.734863;-32.816014438256545
1739209654.7348766;-33.981070128970906
1739209654.7348902;-38.13080360867914
1739209654.7349038;-38.13080360867914
1739209654.7349172;-38.13080360867914
1739209654.7349308;-35.57807855764607
1739209654.7349443;-38.13080360867914
