CAN Message; 0x1bb:00000e037fb9f9df
Timestamp;Amplitude
1739209696.661695;-45.120503652039325
1739209696.6617017;-45.120503652039325
1739209696.6617084;-45.120503652039325
1739209696.661715;-35.57807855764607
1739209696.6617217;-45.120503652039325
1739209696.6617284;-38.13080360867914
1739209696.661735;-32.816014438256545
1739209696.6617415;-35.57807855764607
1739209696.6617482;-29.438486411369333
1739209696.6617548;-38.13080360867914
1739209696.6617615;-38.13080360867914
1739209696.6617682;-45.120503652039325
1739209696.6617749;-38.13080360867914
1739209696.6617815;-38.13080360867914
1739209696.6617882;-38.13080360867914
1739209696.661795;-38.13080360867914
1739209696.6618016;-35.57807855764607
1739209696.661808;-45.120503652039325
1739209696.6618147;-38.13080360867914
1739209696.6618214;-45.120503652039325
1739209696.661828;-45.120503652039325
1739209696.6618347;-38.13080360867914
1739209696.6618414;-35.57807855764607
1739209696.661848;-35.57807855764607
1739209696.6618547;-28.21854285175415
1739209696.6618614;-38.13080360867914
1739209696.6618679;-38.13080360867914
1739209696.6618745;-38.13080360867914
1739209696.6618812;-35.57807855764607
1739209696.661888;-38.13080360867914
1739209696.6618946;-45.120503652039325
1739209696.6619012;-38.13080360867914
1739209696.661908;-45.120503652039325
1739209696.6619146;-45.120503652039325
1739209696.6619213;-38.13080360867914
1739209696.661928;-45.120503652039325
1739209696.6619344;-45.120503652039325
1739209696.661941;-38.13080360867914
1739209696.6619477;-45.120503652039325
1739209696.6619544;-45.120503652039325
1739209696.661961;-45.120503652039325
1739209696.6619678;-45.120503652039325
1739209696.6619744;-45.120503652039325
1739209696.661981;-45.120503652039325
1739209696.6619878;-45.120503652039325
1739209696.6619945;-45.120503652039325
1739209696.662001;-45.120503652039325
1739209696.6620076;-45.120503652039325
1739209696.6620142;-28.58837851428586
1739209696.662021;-30.49652367304973
1739209696.6620276;-45.120503652039325
1739209696.6620343;-38.13080360867914
1739209696.662041;-31.141103565318893
1739209696.6620476;-45.120503652039325
1739209696.6620543;-45.120503652039325
1739209696.6620607;-33.981070128970906
1739209696.6620674;-45.120503652039325
1739209696.662074;-45.120503652039325
1739209696.6620808;-45.120503652039325
1739209696.6620874;-33.981070128970906
1739209696.662094;-45.120503652039325
1739209696.6621008;-38.13080360867914
