CAN Message; 0x24:047ba141fb819bb9
Timestamp;Amplitude
1739209721.7643619;-45.120503652039325
1739209721.7643678;-45.120503652039325
1739209721.7643735;-45.120503652039325
1739209721.7643795;-38.13080360867914
1739209721.7643852;-38.13080360867914
1739209721.764391;-45.120503652039325
1739209721.764397;-38.13080360867914
1739209721.7644026;-38.13080360867914
1739209721.7644086;-45.120503652039325
1739209721.7644143;-38.13080360867914
1739209721.76442;-35.57807855764607
1739209721.764426;-38.13080360867914
1739209721.7644317;-38.13080360867914
1739209721.7644377;-45.120503652039325
1739209721.7644434;-38.13080360867914
1739209721.7644491;-38.13080360867914
1739209721.764455;-38.13080360867914
1739209721.7644608;-45.120503652039325
1739209721.7644668;-45.120503652039325
1739209721.7644725;-38.13080360867914
1739209721.7644784;-38.13080360867914
1739209721.7644842;-45.120503652039325
1739209721.76449;-33.981070128970906
1739209721.7644958;-38.13080360867914
1739209721.7645016;-45.120503652039325
1739209721.7645075;-45.120503652039325
1739209721.7645133;-38.13080360867914
1739209721.764519;-33.981070128970906
1739209721.764525;-38.13080360867914
1739209721.7645307;-45.120503652039325
1739209721.7645366;-45.120503652039325
1739209721.7645423;-45.120503652039325
1739209721.764548;-45.120503652039325
1739209721.764554;-45.120503652039325
1739209721.7645597;-33.981070128970906
1739209721.7645657;-45.120503652039325
1739209721.7645714;-45.120503652039325
1739209721.7645772;-45.120503652039325
1739209721.764583;-45.120503652039325
1739209721.7645888;-38.13080360867914
1739209721.7645948;-38.13080360867914
1739209721.7646005;-45.120503652039325
1739209721.7646062;-38.13080360867914
1739209721.7646122;-38.13080360867914
1739209721.764618;-45.120503652039325
1739209721.7646239;-45.120503652039325
1739209721.7646296;-38.13080360867914
1739209721.7646356;-38.13080360867914
1739209721.7646413;-45.120503652039325
1739209721.764647;-38.13080360867914
1739209721.764653;-38.13080360867914
1739209721.7646587;-45.120503652039325
1739209721.7646646;-45.120503652039325
1739209721.7646704;-45.120503652039325
1739209721.764676;-45.120503652039325
1739209721.764682;-38.13080360867914
1739209721.7646878;-35.57807855764607
1739209721.7646937;-38.13080360867914
1739209721.7646995;-38.13080360867914
1739209721.7647052;-45.120503652039325
1739209721.7647111;-35.57807855764607
1739209721.7647169;-45.120503652039325
1739209721.7647228;-33.981070128970906
1739209721.7647285;-28.992665084841942
1739209721.7647343;-45.120503652039325
1739209721.7647402;-38.13080360867914
1739209721.764746;-38.13080360867914
1739209721.764752;-38.13080360867914
1739209721.7647576;-45.120503652039325
1739209721.7647634;-45.120503652039325
1739209721.7647693;-45.120503652039325
1739209721.764775;-45.120503652039325
1739209721.764781;-45.120503652039325
1739209721.7647867;-45.120503652039325
