CAN Message; 0x98:00004f48ac771e52
Timestamp;Amplitude
1739209611.9388933;-45.120503652039325
1739209611.9388998;-35.57807855764607
1739209611.9389062;-38.13080360867914
1739209611.9389126;-38.13080360867914
1739209611.938919;-33.981070128970906
1739209611.9389255;-35.57807855764607
1739209611.938932;-38.13080360867914
1739209611.9389384;-45.120503652039325
1739209611.9389446;-38.13080360867914
1739209611.938951;-35.57807855764607
1739209611.9389575;-38.13080360867914
1739209611.938964;-45.120503652039325
1739209611.9389703;-38.13080360867914
1739209611.9389768;-32.816014438256545
1739209611.9389832;-38.13080360867914
1739209611.9389896;-38.13080360867914
1739209611.938996;-45.120503652039325
1739209611.9390025;-45.120503652039325
1739209611.939009;-45.120503652039325
1739209611.9390154;-31.141103565318915
1739209611.9390218;-33.981070128970906
1739209611.9390283;-45.120503652039325
1739209611.9390347;-45.120503652039325
1739209611.9390411;-32.816014438256545
1739209611.9390476;-38.13080360867914
1739209611.939054;-45.120503652039325
1739209611.9390602;-38.13080360867914
1739209611.9390666;-45.120503652039325
1739209611.939073;-38.13080360867914
1739209611.9390795;-38.13080360867914
1739209611.939086;-45.120503652039325
1739209611.9390924;-45.120503652039325
1739209611.9390988;-38.13080360867914
1739209611.9391053;-32.816014438256545
1739209611.9391117;-38.13080360867914
1739209611.9391181;-45.120503652039325
1739209611.9391246;-45.120503652039325
1739209611.939131;-38.13080360867914
1739209611.9391375;-45.120503652039325
1739209611.939144;-32.816014438256545
1739209611.9391503;-35.57807855764607
1739209611.9391568;-45.120503652039325
1739209611.9391632;-45.120503652039325
1739209611.9391696;-38.13080360867914
1739209611.9391758;-33.981070128970906
1739209611.9391823;-38.13080360867914
1739209611.9391887;-38.13080360867914
1739209611.9391952;-38.13080360867914
1739209611.9392016;-45.120503652039325
1739209611.939208;-38.13080360867914
1739209611.9392145;-38.13080360867914
1739209611.939221;-38.13080360867914
1739209611.9392273;-32.816014438256545
1739209611.9392338;-45.120503652039325
1739209611.9392402;-45.120503652039325
1739209611.9392467;-38.13080360867914
1739209611.939253;-38.13080360867914
1739209611.9392595;-45.120503652039325
1739209611.939266;-45.120503652039325
1739209611.9392724;-38.13080360867914
1739209611.9392788;-28.992665084841942
1739209611.9392853;-45.120503652039325
1739209611.9392915;-45.120503652039325
1739209611.939298;-45.120503652039325
1739209611.9393044;-45.120503652039325
1739209611.9393108;-38.13080360867914
1739209611.9393172;-45.120503652039325
1739209611.9393237;-45.120503652039325
1739209611.93933;-28.58837851428586
1739209611.9393365;-35.57807855764607
1739209611.939343;-38.13080360867914
1739209611.9393494;-45.120503652039325
1739209611.9393559;-33.981070128970906
1739209611.9393623;-33.981070128970906
1739209611.9393687;-45.120503652039325
1739209611.9393752;-45.120503652039325
1739209611.9393816;-33.981070128970906
1739209611.939388;-38.13080360867914
1739209611.9393945;-32.816014438256545
1739209611.939401;-45.120503652039325
1739209611.939407;-33.981070128970906
1739209611.9394135;-38.13080360867914
1739209611.93942;-45.120503652039325
1739209611.9394264;-45.120503652039325
1739209611.9394329;-33.981070128970906
1739209611.9394393;-38.13080360867914
1739209611.9394457;-38.13080360867914
1739209611.9394522;-35.57807855764607
1739209611.9394586;-35.57807855764607
1739209611.939465;-45.120503652039325
1739209611.9394715;-38.13080360867914
1739209611.939478;-38.13080360867914
1739209611.9394844;-33.981070128970906
1739209611.9394908;-38.13080360867914
1739209611.9394972;-38.13080360867914
1739209611.9395037;-35.57807855764607
1739209611.93951;-38.13080360867914
1739209611.9395165;-38.13080360867914
1739209611.9395227;-38.13080360867914
1739209611.9395292;-38.13080360867914
1739209611.9395356;-31.141103565318915
1739209611.939542;-32.816014438256545
1739209611.9395485;-38.13080360867914
1739209611.939555;-45.120503652039325
1739209611.9395614;-38.13080360867914
1739209611.9395678;-35.57807855764607
1739209611.9395742;-38.13080360867914
1739209611.9395807;-45.120503652039325
1739209611.939587;-45.120503652039325
1739209611.9395936;-38.13080360867914
1739209611.9396;-38.13080360867914
1739209611.9396064;-38.13080360867914
1739209611.9396129;-38.13080360867914
1739209611.9396193;-35.57807855764607
1739209611.9396257;-38.13080360867914
1739209611.9396322;-38.13080360867914
1739209611.9396384;-35.57807855764607
1739209611.9396448;-38.13080360867914
1739209611.9396513;-33.981070128970906
1739209611.9396577;-45.120503652039325
1739209611.9396641;-38.13080360867914
1739209611.9396706;-45.120503652039325
1739209611.939677;-45.120503652039325
1739209611.9396834;-38.13080360867914
1739209611.9396899;-31.141103565318915
1739209611.9396963;-38.13080360867914
1739209611.9397027;-45.120503652039325
1739209611.9397092;-45.120503652039325
1739209611.9397156;-38.13080360867914
1739209611.939722;-38.13080360867914
1739209611.9397285;-38.13080360867914
1739209611.939735;-38.13080360867914
1739209611.9397414;-45.120503652039325
1739209611.9397478;-38.13080360867914
1739209611.939754;-33.981070128970906
1739209611.9397604;-45.120503652039325
1739209611.939767;-45.120503652039325
1739209611.9397733;-32.816014438256545
1739209611.9397798;-38.13080360867914
1739209611.9397862;-45.120503652039325
1739209611.9397926;-28.992665084841942
1739209611.939799;-30.49652367304973
1739209611.9398055;-38.13080360867914
1739209611.939812;-45.120503652039325
1739209611.9398184;-38.13080360867914
1739209611.9398248;-38.13080360867914
1739209611.9398313;-45.120503652039325
1739209611.9398377;-45.120503652039325
1739209611.9398441;-45.120503652039325
1739209611.9398506;-45.120503652039325
1739209611.939857;-38.13080360867914
1739209611.9398634;-35.57807855764607
1739209611.9398696;-38.13080360867914
1739209611.939876;-45.120503652039325
1739209611.9398825;-45.120503652039325
1739209611.939889;-45.120503652039325
1739209611.9398954;-38.13080360867914
1739209611.9399018;-32.816014438256545
1739209611.9399083;-45.120503652039325
1739209611.9399147;-45.120503652039325
1739209611.9399211;-38.13080360867914
1739209611.9399276;-38.13080360867914
1739209611.939934;-38.13080360867914
1739209611.9399405;-45.120503652039325
1739209611.939947;-38.13080360867914
1739209611.9399533;-38.13080360867914
1739209611.9399598;-45.120503652039325
1739209611.9399662;-45.120503652039325
1739209611.9399726;-45.120503652039325
1739209611.939979;-35.57807855764607
1739209611.9399853;-45.120503652039325
1739209611.9399917;-45.120503652039325
1739209611.9399981;-45.120503652039325
1739209611.9400046;-45.120503652039325
1739209611.940011;-45.120503652039325
1739209611.9400175;-45.120503652039325
1739209611.940024;-45.120503652039325
1739209611.9400303;-45.120503652039325
1739209611.9400368;-38.13080360867914
1739209611.9400432;-45.120503652039325
