CAN Message; 0x1a7:0000388679675a18
Timestamp;Amplitude
1739209616.6459131;-35.57807855764607
1739209616.6459186;-31.141103565318915
1739209616.6459239;-33.981070128970906
1739209616.645929;-45.120503652039325
1739209616.6459346;-38.13080360867914
1739209616.6459398;-38.13080360867914
1739209616.645945;-38.13080360867914
1739209616.6459503;-38.13080360867914
1739209616.6459558;-33.981070128970906
1739209616.645961;-38.13080360867914
1739209616.6459663;-45.120503652039325
1739209616.6459718;-35.57807855764607
1739209616.645977;-38.13080360867914
1739209616.6459823;-45.120503652039325
1739209616.6459877;-33.981070128970906
1739209616.645993;-32.816014438256545
1739209616.6459982;-45.120503652039325
1739209616.6460035;-31.141103565318915
1739209616.646009;-26.991370085610722
1739209616.6460142;-38.13080360867914
1739209616.6460195;-45.120503652039325
1739209616.646025;-33.981070128970906
1739209616.6460302;-33.981070128970906
1739209616.6460354;-38.13080360867914
1739209616.646041;-35.57807855764607
1739209616.6460462;-45.120503652039325
1739209616.6460514;-38.13080360867914
1739209616.6460567;-38.13080360867914
1739209616.6460621;-38.13080360867914
1739209616.6460674;-38.13080360867914
1739209616.6460726;-38.13080360867914
1739209616.646078;-35.57807855764607
1739209616.6460834;-45.120503652039325
1739209616.6460886;-38.13080360867914
1739209616.646094;-27.8777449560314
1739209616.6460993;-38.13080360867914
1739209616.6461046;-45.120503652039325
1739209616.64611;-35.57807855764607
1739209616.6461153;-45.120503652039325
1739209616.6461205;-38.13080360867914
1739209616.6461258;-38.13080360867914
1739209616.6461313;-45.120503652039325
1739209616.6461365;-45.120503652039325
1739209616.6461418;-45.120503652039325
1739209616.6461473;-45.120503652039325
1739209616.6461525;-38.13080360867914
1739209616.6461577;-33.981070128970906
1739209616.6461632;-45.120503652039325
1739209616.6461685;-45.120503652039325
1739209616.6461737;-45.120503652039325
1739209616.646179;-45.120503652039325
1739209616.6461844;-45.120503652039325
1739209616.6461897;-45.120503652039325
1739209616.646195;-45.120503652039325
1739209616.6462004;-38.13080360867914
1739209616.6462057;-38.13080360867914
1739209616.646211;-45.120503652039325
1739209616.6462164;-45.120503652039325
1739209616.6462216;-29.438486411369333
1739209616.646227;-45.120503652039325
1739209616.6462321;-45.120503652039325
1739209616.6462376;-38.13080360867914
1739209616.6462429;-38.13080360867914
1739209616.646248;-45.120503652039325
1739209616.6462536;-45.120503652039325
1739209616.6462588;-33.981070128970906
1739209616.646264;-38.13080360867914
1739209616.6462696;-38.13080360867914
1739209616.6462748;-45.120503652039325
1739209616.64628;-35.57807855764607
1739209616.6462853;-35.57807855764607
1739209616.6462908;-38.13080360867914
1739209616.646296;-38.13080360867914
1739209616.6463013;-38.13080360867914
1739209616.6463068;-35.57807855764607
1739209616.646312;-38.13080360867914
1739209616.6463172;-38.13080360867914
1739209616.6463227;-38.13080360867914
1739209616.646328;-45.120503652039325
1739209616.6463332;-38.13080360867914
1739209616.6463387;-45.120503652039325
1739209616.646344;-45.120503652039325
1739209616.6463492;-45.120503652039325
1739209616.6463544;-45.120503652039325
1739209616.64636;-33.981070128970906
1739209616.6463652;-38.13080360867914
1739209616.6463704;-35.57807855764607
1739209616.646376;-38.13080360867914
1739209616.6463811;-45.120503652039325
1739209616.6463864;-38.13080360867914
1739209616.6463919;-35.57807855764607
1739209616.646397;-31.141103565318915
1739209616.6464024;-45.120503652039325
1739209616.6464076;-45.120503652039325
1739209616.646413;-45.120503652039325
1739209616.6464183;-38.13080360867914
1739209616.6464236;-45.120503652039325
1739209616.646429;-38.13080360867914
1739209616.6464343;-38.13080360867914
1739209616.6464396;-45.120503652039325
1739209616.646445;-38.13080360867914
1739209616.6464503;-45.120503652039325
1739209616.6464555;-38.13080360867914
1739209616.6464608;-38.13080360867914
1739209616.6464663;-45.120503652039325
1739209616.6464715;-45.120503652039325
1739209616.6464767;-38.13080360867914
1739209616.6464822;-38.13080360867914
1739209616.6464875;-45.120503652039325
1739209616.6464927;-45.120503652039325
1739209616.6464982;-38.13080360867914
1739209616.6465034;-38.13080360867914
1739209616.6465087;-45.120503652039325
1739209616.6465142;-45.120503652039325
1739209616.6465194;-35.57807855764607
1739209616.6465247;-38.13080360867914
1739209616.64653;-45.120503652039325
1739209616.6465354;-38.13080360867914
1739209616.6465406;-45.120503652039325
1739209616.646546;-45.120503652039325
1739209616.6465514;-38.13080360867914
1739209616.6465566;-45.120503652039325
1739209616.6465619;-45.120503652039325
1739209616.6465673;-33.981070128970906
1739209616.6465726;-38.13080360867914
1739209616.6465778;-38.13080360867914
1739209616.646583;-38.13080360867914
1739209616.6465886;-38.13080360867914
1739209616.6465938;-45.120503652039325
1739209616.646599;-45.120503652039325
1739209616.6466045;-38.13080360867914
1739209616.6466098;-28.992665084841942
1739209616.646615;-32.816014438256545
1739209616.6466205;-38.13080360867914
1739209616.6466258;-45.120503652039325
1739209616.646631;-38.13080360867914
1739209616.6466362;-35.57807855764607
1739209616.6466417;-38.13080360867914
1739209616.646647;-45.120503652039325
1739209616.6466522;-33.981070128970906
1739209616.6466577;-45.120503652039325
1739209616.646663;-38.13080360867914
1739209616.6466682;-35.57807855764607
1739209616.6466737;-35.57807855764607
1739209616.646679;-38.13080360867914
1739209616.6466842;-38.13080360867914
1739209616.6466897;-45.120503652039325
1739209616.646695;-30.49652367304973
1739209616.6467001;-38.13080360867914
1739209616.6467054;-38.13080360867914
1739209616.6467109;-45.120503652039325
1739209616.646716;-45.120503652039325
1739209616.6467214;-45.120503652039325
1739209616.6467268;-45.120503652039325
1739209616.646732;-38.13080360867914
1739209616.6467373;-26.991370085610722
1739209616.6467428;-33.981070128970906
1739209616.646748;-38.13080360867914
1739209616.6467533;-38.13080360867914
1739209616.6467586;-33.981070128970906
1739209616.646764;-33.981070128970906
1739209616.6467693;-38.13080360867914
1739209616.6467745;-38.13080360867914
1739209616.64678;-33.981070128970906
1739209616.6467853;-38.13080360867914
1739209616.6467905;-38.13080360867914
1739209616.646796;-45.120503652039325
1739209616.6468012;-33.981070128970906
1739209616.6468065;-38.13080360867914
1739209616.6468117;-45.120503652039325
1739209616.6468172;-45.120503652039325
1739209616.6468225;-38.13080360867914
1739209616.6468277;-32.816014438256545
1739209616.6468332;-33.981070128970906
1739209616.6468384;-45.120503652039325
1739209616.6468437;-38.13080360867914
1739209616.6468492;-38.13080360867914
1739209616.6468544;-45.120503652039325
1739209616.6468596;-45.120503652039325
1739209616.646865;-35.57807855764607
1739209616.6468704;-38.13080360867914
1739209616.6468756;-45.120503652039325
1739209616.6468809;-45.120503652039325
1739209616.6468863;-38.13080360867914
1739209616.6468916;-38.13080360867914
1739209616.6468968;-38.13080360867914
1739209616.6469023;-38.13080360867914
1739209616.6469076;-35.57807855764607
1739209616.6469128;-38.13080360867914
1739209616.6469183;-38.13080360867914
1739209616.6469235;-38.13080360867914
1739209616.6469288;-45.120503652039325
1739209616.646934;-38.13080360867914
1739209616.6469395;-38.13080360867914
1739209616.6469448;-35.57807855764607
1739209616.64695;-33.981070128970906
1739209616.6469555;-31.141103565318915
1739209616.6469607;-45.120503652039325
1739209616.646966;-38.13080360867914
1739209616.6469715;-35.57807855764607
1739209616.6469767;-45.120503652039325
1739209616.646982;-45.120503652039325
1739209616.6469872;-38.13080360867914
