CAN Message; 0x98:00006910049e0998
Timestamp;Amplitude
1739209848.1634877;-38.13080360867914
1739209848.1634955;-45.120503652039325
1739209848.1635036;-31.141103565318915
1739209848.1635115;-33.981070128970906
1739209848.1635196;-45.120503652039325
1739209848.1635275;-45.120503652039325
1739209848.1635356;-38.13080360867914
1739209848.1635437;-38.13080360867914
1739209848.1635516;-38.13080360867914
1739209848.1635597;-35.57807855764607
1739209848.1635675;-38.13080360867914
1739209848.1635756;-45.120503652039325
1739209848.1635838;-45.120503652039325
1739209848.1635916;-45.120503652039325
1739209848.1635997;-45.120503652039325
1739209848.1636076;-45.120503652039325
1739209848.1636157;-38.13080360867914
1739209848.1636236;-45.120503652039325
1739209848.1636317;-33.981070128970906
1739209848.1636398;-30.49652367304973
1739209848.1636477;-45.120503652039325
1739209848.1636558;-45.120503652039325
1739209848.1636636;-38.13080360867914
1739209848.1636717;-38.13080360867914
1739209848.1636796;-45.120503652039325
1739209848.1636877;-38.13080360867914
1739209848.1636958;-45.120503652039325
1739209848.1637037;-45.120503652039325
1739209848.1637118;-45.120503652039325
1739209848.1637197;-38.13080360867914
1739209848.1637278;-38.13080360867914
1739209848.1637359;-45.120503652039325
1739209848.1637437;-38.13080360867914
1739209848.1637518;-38.13080360867914
1739209848.1637597;-45.120503652039325
1739209848.1637678;-45.120503652039325
1739209848.1637757;-38.13080360867914
1739209848.1637838;-38.13080360867914
1739209848.163792;-35.57807855764607
1739209848.1637998;-38.13080360867914
1739209848.1638079;-38.13080360867914
1739209848.1638157;-33.981070128970906
1739209848.1638238;-45.120503652039325
1739209848.1638317;-35.57807855764607
1739209848.1638398;-45.120503652039325
1739209848.163848;-45.120503652039325
1739209848.1638558;-38.13080360867914
1739209848.163864;-45.120503652039325
1739209848.1638718;-38.13080360867914
1739209848.1638799;-35.57807855764607
1739209848.163888;-38.13080360867914
1739209848.1638958;-45.120503652039325
1739209848.163904;-38.13080360867914
1739209848.1639118;-35.57807855764607
1739209848.16392;-38.13080360867914
1739209848.1639278;-45.120503652039325
1739209848.163936;-38.13080360867914
1739209848.163944;-38.13080360867914
1739209848.1639519;-35.57807855764607
1739209848.16396;-29.438486411369333
1739209848.1639678;-38.13080360867914
1739209848.163976;-45.120503652039325
1739209848.1639838;-35.57807855764607
1739209848.163992;-35.57807855764607
1739209848.164;-38.13080360867914
