CAN Message; 0x1b8:03005d0cbeb8781f
Timestamp;Amplitude
1739209833.0724335;-38.13080360867914
1739209833.072441;-38.13080360867914
1739209833.0724487;-38.13080360867914
1739209833.0724564;-45.120503652039325
1739209833.072464;-38.13080360867914
1739209833.0724716;-33.981070128970906
1739209833.0724792;-45.120503652039325
1739209833.0724869;-33.981070128970956
1739209833.0724943;-45.120503652039325
1739209833.072502;-45.120503652039325
1739209833.0725095;-45.120503652039325
1739209833.0725172;-45.120503652039325
1739209833.0725248;-38.13080360867914
1739209833.0725324;-35.57807855764607
1739209833.07254;-45.120503652039325
1739209833.0725477;-38.13080360867914
1739209833.0725553;-45.120503652039325
1739209833.072563;-45.120503652039325
1739209833.0725706;-32.816014438256545
1739209833.0725782;-35.57807855764607
1739209833.0725858;-45.120503652039325
1739209833.0725935;-45.120503652039325
1739209833.072601;-35.57807855764607
1739209833.0726087;-26.487275050834715
1739209833.072616;-38.13080360867914
1739209833.0726237;-45.120503652039325
1739209833.0726314;-35.57807855764607
1739209833.072639;-31.141103565318893
1739209833.0726466;-45.120503652039325
1739209833.0726542;-45.120503652039325
1739209833.0726619;-38.13080360867914
1739209833.0726695;-38.13080360867914
1739209833.0726771;-45.120503652039325
1739209833.0726848;-38.13080360867914
1739209833.0726924;-38.13080360867914
1739209833.0727;-45.120503652039325
1739209833.0727077;-38.13080360867914
1739209833.0727153;-45.120503652039325
1739209833.072723;-45.120503652039325
1739209833.0727305;-31.141103565318915
1739209833.072738;-38.13080360867914
1739209833.0727456;-45.120503652039325
1739209833.0727532;-38.13080360867914
1739209833.0727608;-45.120503652039325
1739209833.0727684;-38.13080360867914
1739209833.072776;-38.13080360867914
1739209833.0727837;-38.13080360867914
1739209833.0727913;-45.120503652039325
1739209833.072799;-45.120503652039325
1739209833.0728066;-45.120503652039325
1739209833.0728142;-38.13080360867914
1739209833.0728219;-33.981070128970906
1739209833.0728295;-38.13080360867914
1739209833.072837;-45.120503652039325
1739209833.0728447;-38.13080360867914
1739209833.0728524;-45.120503652039325
1739209833.0728598;-38.13080360867914
1739209833.0728674;-32.816014438256545
1739209833.072875;-38.13080360867914
1739209833.0728827;-45.120503652039325
1739209833.0728903;-38.13080360867914
1739209833.072898;-35.57807855764607
1739209833.0729055;-45.120503652039325
1739209833.0729132;-38.13080360867914
1739209833.0729208;-35.57807855764607
