CAN Message; 0x1d3:00005238eab4b8a4
Timestamp;Amplitude
1739209657.1076255;-45.120503652039325
1739209657.1076362;-35.57807855764607
1739209657.1076472;-38.13080360867914
1739209657.107658;-45.120503652039325
1739209657.1076689;-38.13080360867914
1739209657.1076796;-38.13080360867914
1739209657.1076906;-45.120503652039325
1739209657.1077013;-45.120503652039325
1739209657.1077123;-45.120503652039325
1739209657.107723;-38.13080360867914
1739209657.107734;-38.13080360867914
1739209657.1077447;-45.120503652039325
1739209657.1077557;-35.57807855764607
1739209657.1077664;-32.816014438256545
1739209657.1077774;-45.120503652039325
1739209657.107788;-45.120503652039325
1739209657.107799;-35.57807855764607
1739209657.1078098;-35.57807855764607
1739209657.1078207;-45.120503652039325
1739209657.1078315;-45.120503652039325
1739209657.1078424;-38.13080360867914
1739209657.1078532;-38.13080360867914
1739209657.1078641;-35.57807855764607
1739209657.1078749;-35.57807855764607
1739209657.1078858;-45.120503652039325
1739209657.1078966;-38.13080360867914
1739209657.1079075;-33.981070128970906
1739209657.1079183;-45.120503652039325
1739209657.1079292;-35.57807855764607
1739209657.10794;-35.57807855764607
1739209657.107951;-45.120503652039325
1739209657.1079617;-45.120503652039325
1739209657.1079726;-35.57807855764607
1739209657.1079834;-38.13080360867914
1739209657.1079943;-45.120503652039325
1739209657.108005;-45.120503652039325
1739209657.108016;-38.13080360867914
1739209657.1080267;-45.120503652039325
1739209657.1080377;-45.120503652039325
1739209657.1080484;-45.120503652039325
1739209657.1080594;-38.13080360867914
1739209657.1080701;-32.816014438256545
1739209657.108081;-38.13080360867914
1739209657.1080918;-45.120503652039325
1739209657.1081028;-45.120503652039325
1739209657.1081135;-45.120503652039325
1739209657.1081245;-45.120503652039325
1739209657.1081352;-45.120503652039325
1739209657.1081462;-33.981070128970906
1739209657.108157;-45.120503652039325
1739209657.108168;-38.13080360867914
1739209657.1081786;-38.13080360867914
1739209657.1081896;-38.13080360867914
1739209657.1082003;-38.13080360867914
1739209657.1082113;-45.120503652039325
1739209657.108222;-38.13080360867914
1739209657.108233;-45.120503652039325
1739209657.1082437;-38.13080360867914
1739209657.1082547;-45.120503652039325
1739209657.1082654;-38.13080360867914
1739209657.1082764;-33.981070128970906
1739209657.108287;-38.13080360867914
1739209657.108298;-33.981070128970906
1739209657.1083088;-45.120503652039325
1739209657.1083198;-38.13080360867914
1739209657.1083305;-45.120503652039325
1739209657.1083415;-38.13080360867914
1739209657.1083522;-45.120503652039325
1739209657.1083632;-38.13080360867914
1739209657.1083739;-35.57807855764607
1739209657.1083848;-33.981070128970906
1739209657.1083956;-35.57807855764607
1739209657.1084065;-38.13080360867914
1739209657.1084173;-38.13080360867914
1739209657.1084282;-38.13080360867914
1739209657.108439;-45.120503652039325
1739209657.10845;-38.13080360867914
1739209657.1084607;-32.816014438256545
1739209657.1084716;-38.13080360867914
1739209657.1084824;-45.120503652039325
1739209657.1084933;-38.13080360867914
1739209657.108504;-45.120503652039325
1739209657.108515;-38.13080360867914
1739209657.1085258;-38.13080360867914
1739209657.1085367;-45.120503652039325
1739209657.1085474;-38.13080360867914
1739209657.1085584;-38.13080360867914
1739209657.1085691;-38.13080360867914
1739209657.10858;-45.120503652039325
1739209657.1085908;-45.120503652039325
1739209657.1086018;-45.120503652039325
1739209657.1086125;-45.120503652039325
1739209657.1086235;-45.120503652039325
1739209657.1086342;-45.120503652039325
1739209657.1086452;-31.141103565318915
1739209657.108656;-35.57807855764607
1739209657.108667;-45.120503652039325
1739209657.1086776;-38.13080360867914
1739209657.1086886;-45.120503652039325
1739209657.1086993;-38.13080360867914
1739209657.1087103;-38.13080360867914
1739209657.108721;-45.120503652039325
1739209657.108732;-32.816014438256545
1739209657.1087427;-45.120503652039325
1739209657.1087537;-45.120503652039325
1739209657.1087644;-45.120503652039325
1739209657.1087754;-45.120503652039325
1739209657.108786;-35.57807855764607
1739209657.108797;-45.120503652039325
1739209657.1088078;-45.120503652039325
1739209657.1088188;-27.267205301931607
1739209657.1088295;-38.13080360867914
1739209657.1088405;-45.120503652039325
1739209657.1088512;-38.13080360867914
1739209657.1088622;-33.981070128970906
1739209657.108873;-35.57807855764607
1739209657.1088839;-38.13080360867914
1739209657.1088946;-38.13080360867914
1739209657.1089056;-38.13080360867914
1739209657.1089163;-45.120503652039325
1739209657.1089272;-45.120503652039325
1739209657.108938;-45.120503652039325
1739209657.108949;-38.13080360867914
1739209657.1089597;-38.13080360867914
1739209657.1089706;-35.57807855764607
1739209657.1089814;-38.13080360867914
1739209657.1089923;-45.120503652039325
1739209657.109003;-35.57807855764607
1739209657.109014;-38.13080360867914
1739209657.1090248;-45.120503652039325
1739209657.1090357;-45.120503652039325
1739209657.1090465;-38.13080360867914
1739209657.1090574;-45.120503652039325
1739209657.1090682;-45.120503652039325
1739209657.1090791;-28.992665084841942
1739209657.1090899;-35.57807855764607
1739209657.1091008;-38.13080360867914
1739209657.1091115;-45.120503652039325
1739209657.1091225;-33.981070128970906
1739209657.1091332;-35.57807855764607
1739209657.1091442;-38.13080360867914
1739209657.109155;-45.120503652039325
1739209657.109166;-38.13080360867914
1739209657.1091766;-45.120503652039325
1739209657.1091876;-45.120503652039325
1739209657.1091983;-45.120503652039325
1739209657.1092093;-38.13080360867914
1739209657.10922;-32.816014438256545
1739209657.109231;-38.13080360867914
1739209657.1092417;-45.120503652039325
1739209657.1092527;-31.141103565318915
1739209657.1092634;-31.141103565318893
1739209657.1092744;-38.13080360867914
1739209657.109285;-45.120503652039325
1739209657.109296;-45.120503652039325
1739209657.1093068;-38.13080360867914
1739209657.1093178;-38.13080360867914
1739209657.1093285;-45.120503652039325
1739209657.1093395;-38.13080360867914
1739209657.1093502;-35.57807855764607
1739209657.1093612;-38.13080360867914
1739209657.109372;-45.120503652039325
1739209657.1093829;-38.13080360867914
1739209657.1093936;-38.13080360867914
1739209657.1094046;-45.120503652039325
1739209657.1094153;-35.57807855764607
1739209657.1094263;-45.120503652039325
1739209657.109437;-38.13080360867914
1739209657.109448;-45.120503652039325
1739209657.1094587;-35.57807855764607
1739209657.1094697;-45.120503652039325
1739209657.1094806;-38.13080360867914
1739209657.1094913;-33.981070128970906
1739209657.1095023;-45.120503652039325
1739209657.109513;-35.57807855764607
1739209657.109524;-33.981070128970906
1739209657.1095347;-45.120503652039325
1739209657.1095457;-38.13080360867914
1739209657.1095564;-35.57807855764607
1739209657.1095674;-38.13080360867914
1739209657.1095781;-45.120503652039325
1739209657.109589;-45.120503652039325
