CAN Message; 0x98:0000ad1814aa66c5
Timestamp;Amplitude
1739209770.1036668;-38.13080360867914
1739209770.10367;-26.991370085610736
1739209770.103673;-25.826314394896357
1739209770.103676;-38.13080360867914
1739209770.1036792;-33.981070128970906
1739209770.1036823;-33.981070128970906
1739209770.1036854;-26.991370085610736
1739209770.1036882;-33.981070128970906
1739209770.1036913;-45.120503652039325
1739209770.1036944;-28.58837851428586
1739209770.1036975;-32.816014438256545
1739209770.1037006;-38.13080360867914
1739209770.1037037;-27.267205301931607
1739209770.1037068;-24.15140352195872
1739209770.10371;-31.141103565318915
1739209770.103713;-38.13080360867914
1739209770.1037161;-45.120503652039325
1739209770.1037192;-31.141103565318915
1739209770.1037223;-38.13080360867914
1739209770.1037254;-38.13080360867914
1739209770.1037285;-33.981070128970956
1739209770.1037314;-32.81601443825658
1739209770.1037345;-28.992665084841967
1739209770.1037376;-45.120503652039325
1739209770.1037407;-33.981070128970956
1739209770.1037438;-28.992665084841942
1739209770.103747;-28.992665084841942
1739209770.10375;-38.13080360867914
1739209770.103753;-32.81601443825658
1739209770.1037562;-25.826314394896357
1739209770.1037593;-38.13080360867914
1739209770.1037624;-28.992665084841942
1739209770.1037655;-26.487275050834715
1739209770.1037686;-32.816014438256545
1739209770.1037717;-45.120503652039325
1739209770.1037748;-45.120503652039325
1739209770.1037776;-28.992665084841942
1739209770.1037807;-27.267205301931607
1739209770.1037838;-33.981070128970956
1739209770.103787;-38.13080360867914
1739209770.10379;-45.120503652039325
1739209770.1037931;-45.120503652039325
1739209770.1037962;-38.13080360867914
1739209770.1037993;-38.13080360867914
1739209770.1038024;-32.81601443825658
1739209770.1038055;-23.506823629689542
1739209770.1038086;-38.13080360867914
1739209770.1038117;-29.438486411369333
1739209770.1038148;-30.49652367304973
1739209770.103818;-45.120503652039325
1739209770.1038208;-32.816014438256545
1739209770.103824;-28.588378514285886
1739209770.103827;-27.267205301931607
1739209770.10383;-31.141103565318893
1739209770.1038332;-33.981070128970906
1739209770.1038363;-27.267205301931607
1739209770.1038394;-38.13080360867914
1739209770.1038425;-45.120503652039325
1739209770.1038456;-35.57807855764607
1739209770.1038487;-38.13080360867914
1739209770.1038518;-33.981070128970956
1739209770.103855;-29.438486411369333
1739209770.103858;-33.981070128970906
1739209770.103861;-33.981070128970906
1739209770.103864;-45.120503652039325
1739209770.103867;-33.981070128970906
1739209770.1038702;-33.981070128970906
1739209770.1038733;-33.981070128970906
1739209770.1038764;-38.13080360867914
1739209770.1038795;-27.877744956031414
1739209770.1038826;-22.002965041481755
1739209770.1038857;-30.49652367304973
1739209770.1038888;-38.13080360867914
1739209770.1038918;-32.816014438256545
1739209770.103895;-25.826314394896354
1739209770.103898;-30.49652367304973
1739209770.1039011;-45.120503652039325
1739209770.1039042;-32.81601443825658
1739209770.1039073;-45.120503652039325
1739209770.1039102;-32.816014438256545
1739209770.1039133;-35.57807855764607
1739209770.1039164;-28.992665084841942
1739209770.1039195;-33.981070128970906
1739209770.1039226;-33.981070128970906
1739209770.1039257;-26.991370085610736
1739209770.1039288;-28.58837851428586
1739209770.103932;-45.120503652039325
1739209770.103935;-35.57807855764607
1739209770.103938;-33.981070128970906
1739209770.1039412;-29.438486411369333
1739209770.1039443;-32.816014438256545
1739209770.1039474;-32.816014438256545
1739209770.1039505;-29.438486411369333
1739209770.1039534;-31.141103565318915
1739209770.1039565;-38.13080360867914
1739209770.1039596;-28.588378514285886
1739209770.1039627;-28.992665084841942
1739209770.1039658;-32.816014438256545
1739209770.1039689;-45.120503652039325
1739209770.103972;-38.13080360867914
1739209770.103975;-33.981070128970906
1739209770.1039782;-27.877744956031417
1739209770.1039813;-31.141103565318943
1739209770.1039844;-35.57807855764607
1739209770.1039875;-45.120503652039325
1739209770.1039906;-45.120503652039325
1739209770.1039937;-38.13080360867914
1739209770.1039968;-38.13080360867914
1739209770.1039996;-35.57807855764607
1739209770.1040027;-24.438645034577675
1739209770.1040058;-32.816014438256545
1739209770.104009;-38.13080360867914
1739209770.104012;-38.13080360867914
1739209770.104015;-25.826314394896354
1739209770.1040182;-28.992665084841942
1739209770.1040213;-31.141103565318915
1739209770.1040244;-30.49652367304973
1739209770.1040275;-38.13080360867914
1739209770.1040306;-32.816014438256545
1739209770.1040337;-30.49652367304973
1739209770.1040368;-26.991370085610736
1739209770.10404;-32.81601443825658
1739209770.1040428;-32.81601443825658
1739209770.1040459;-28.21854285175415
1739209770.104049;-31.141103565318893
1739209770.104052;-29.438486411369333
1739209770.1040552;-27.267205301931607
1739209770.1040583;-38.13080360867914
1739209770.1040614;-38.13080360867914
1739209770.1040645;-27.267205301931607
1739209770.1040676;-32.816014438256545
1739209770.1040707;-38.13080360867914
1739209770.1040738;-45.120503652039325
1739209770.1040769;-45.120503652039325
1739209770.10408;-38.13080360867914
1739209770.104083;-33.981070128970906
1739209770.1040862;-27.8777449560314
1739209770.104089;-31.141103565318915
1739209770.1040921;-30.49652367304973
1739209770.1040952;-28.992665084841942
1739209770.1040983;-31.141103565318943
1739209770.1041014;-26.035653463252796
1739209770.1041045;-28.992665084841942
1739209770.1041076;-38.13080360867914
1739209770.1041107;-45.120503652039325
1739209770.1041138;-31.141103565318943
1739209770.104117;-24.589719217205094
1739209770.10412;-31.141103565318915
1739209770.104123;-33.981070128970906
1739209770.1041262;-31.141103565318915
1739209770.1041293;-32.816014438256545
1739209770.1041322;-38.13080360867914
1739209770.1041353;-27.8777449560314
1739209770.1041384;-22.002965041481744
1739209770.1041415;-32.81601443825658
1739209770.1041446;-32.816014438256545
1739209770.1041477;-45.120503652039325
1739209770.1041508;-28.992665084841942
1739209770.1041539;-26.487275050834715
1739209770.104157;-28.218542851754165
1739209770.10416;-33.981070128970956
1739209770.1041632;-26.487275050834715
1739209770.1041663;-28.992665084841942
1739209770.1041694;-32.81601443825658
1739209770.1041725;-38.13080360867914
1739209770.1041753;-28.992665084841942
1739209770.1041784;-31.141103565318943
1739209770.1041815;-24.589719217205094
1739209770.1041846;-26.991370085610754
1739209770.1041877;-28.21854285175415
1739209770.1041908;-45.120503652039325
1739209770.104194;-38.13080360867914
1739209770.104197;-31.141103565318915
1739209770.1042001;-27.8777449560314
1739209770.1042032;-32.81601443825658
1739209770.1042063;-45.120503652039325
1739209770.1042094;-31.141103565318915
1739209770.1042125;-32.816014438256545
1739209770.1042156;-45.120503652039325
1739209770.1042187;-45.120503652039325
1739209770.1042216;-38.13080360867914
1739209770.1042247;-38.13080360867914
1739209770.1042278;-31.141103565318893
1739209770.1042309;-45.120503652039325
1739209770.104234;-33.981070128970906
1739209770.104237;-26.991370085610722
1739209770.1042402;-31.141103565318915
1739209770.1042433;-45.120503652039325
1739209770.1042464;-45.120503652039325
1739209770.1042495;-33.981070128970956
1739209770.1042526;-28.992665084841942
1739209770.1042557;-26.487275050834725
1739209770.1042588;-28.588378514285886
1739209770.1042619;-28.58837851428586
1739209770.1042647;-28.992665084841942
1739209770.1042678;-30.49652367304976
1739209770.104271;-28.588378514285886
1739209770.104274;-29.438486411369333
1739209770.1042771;-38.13080360867914
1739209770.1042802;-30.49652367304973
1739209770.1042833;-23.50682362968953
1739209770.1042864;-45.120503652039325
1739209770.1042895;-38.13080360867914
1739209770.1042926;-31.14110356531892
1739209770.1042957;-38.13080360867914
1739209770.1042988;-33.981070128970956
1739209770.104302;-27.877744956031414
1739209770.104305;-26.487275050834715
