CAN Message; 0x39:0e66ab5467636606
Timestamp;Amplitude
1739209630.4993088;-45.120503652039325
1739209630.499315;-45.120503652039325
1739209630.4993212;-45.120503652039325
1739209630.4993274;-45.120503652039325
1739209630.4993336;-45.120503652039325
1739209630.4993398;-38.13080360867914
1739209630.499346;-38.13080360867914
1739209630.4993522;-45.120503652039325
1739209630.4993587;-45.120503652039325
1739209630.4993649;-45.120503652039325
1739209630.499371;-45.120503652039325
1739209630.4993773;-38.13080360867914
1739209630.4993834;-38.13080360867914
1739209630.4993896;-45.120503652039325
1739209630.4993958;-38.13080360867914
1739209630.499402;-35.57807855764607
1739209630.4994082;-38.13080360867914
1739209630.4994144;-45.120503652039325
1739209630.4994206;-28.992665084841942
1739209630.4994268;-28.58837851428586
1739209630.499433;-38.13080360867914
1739209630.4994392;-45.120503652039325
1739209630.4994454;-38.13080360867914
1739209630.4994516;-35.57807855764607
1739209630.4994578;-38.13080360867914
1739209630.4994643;-38.13080360867914
1739209630.4994705;-38.13080360867914
1739209630.4994767;-45.120503652039325
1739209630.4994829;-38.13080360867914
1739209630.499489;-45.120503652039325
1739209630.4994953;-38.13080360867914
1739209630.4995015;-38.13080360867914
1739209630.4995077;-45.120503652039325
1739209630.4995139;-45.120503652039325
1739209630.49952;-33.981070128970906
1739209630.4995263;-32.816014438256545
1739209630.4995325;-45.120503652039325
1739209630.4995387;-45.120503652039325
1739209630.4995449;-38.13080360867914
1739209630.499551;-45.120503652039325
1739209630.4995573;-38.13080360867914
1739209630.4995637;-45.120503652039325
1739209630.49957;-33.981070128970906
1739209630.499576;-32.816014438256545
1739209630.4995823;-38.13080360867914
1739209630.4995885;-45.120503652039325
1739209630.4995947;-45.120503652039325
1739209630.499601;-45.120503652039325
1739209630.499607;-38.13080360867914
1739209630.4996133;-38.13080360867914
1739209630.4996195;-45.120503652039325
1739209630.4996257;-45.120503652039325
1739209630.499632;-45.120503652039325
1739209630.499638;-45.120503652039325
1739209630.4996443;-45.120503652039325
1739209630.4996505;-33.981070128970906
1739209630.4996567;-33.981070128970906
1739209630.4996629;-45.120503652039325
1739209630.4996693;-32.816014438256545
