CAN Message; 0x150:04005d383af26434
Timestamp;Amplitude
1739209651.6597097;-45.120503652039325
1739209651.659715;-45.120503652039325
1739209651.65972;-38.13080360867914
1739209651.6597252;-35.57807855764607
1739209651.6597302;-38.13080360867914
1739209651.6597354;-45.120503652039325
1739209651.6597404;-45.120503652039325
1739209651.6597457;-38.13080360867914
1739209651.6597507;-38.13080360867914
1739209651.6597557;-45.120503652039325
1739209651.659761;-33.981070128970906
1739209651.659766;-38.13080360867914
1739209651.6597712;-45.120503652039325
1739209651.6597762;-45.120503652039325
1739209651.6597815;-32.816014438256545
1739209651.6597865;-38.13080360867914
1739209651.6597917;-45.120503652039325
1739209651.6597967;-45.120503652039325
1739209651.6598017;-38.13080360867914
1739209651.659807;-38.13080360867914
1739209651.659812;-45.120503652039325
1739209651.6598172;-38.13080360867914
1739209651.6598222;-38.13080360867914
1739209651.6598275;-38.13080360867914
1739209651.6598325;-38.13080360867914
1739209651.6598377;-45.120503652039325
1739209651.6598427;-45.120503652039325
1739209651.659848;-38.13080360867914
1739209651.659853;-45.120503652039325
1739209651.659858;-38.13080360867914
1739209651.6598632;-38.13080360867914
1739209651.6598682;-35.57807855764607
1739209651.6598735;-38.13080360867914
1739209651.6598785;-45.120503652039325
1739209651.6598837;-35.57807855764607
1739209651.6598887;-38.13080360867914
1739209651.659894;-45.120503652039325
1739209651.659899;-45.120503652039325
1739209651.659904;-33.981070128970906
1739209651.6599092;-45.120503652039325
1739209651.6599143;-45.120503652039325
1739209651.6599195;-38.13080360867914
1739209651.6599245;-38.13080360867914
1739209651.6599298;-38.13080360867914
1739209651.6599348;-45.120503652039325
1739209651.65994;-45.120503652039325
1739209651.659945;-35.57807855764607
1739209651.65995;-38.13080360867914
1739209651.6599553;-38.13080360867914
1739209651.6599603;-38.13080360867914
1739209651.6599655;-38.13080360867914
1739209651.6599705;-35.57807855764607
1739209651.6599758;-38.13080360867914
1739209651.6599808;-45.120503652039325
1739209651.659986;-38.13080360867914
1739209651.659991;-38.13080360867914
1739209651.659996;-45.120503652039325
1739209651.6600013;-35.57807855764607
1739209651.6600063;-45.120503652039325
1739209651.6600115;-45.120503652039325
1739209651.6600165;-45.120503652039325
1739209651.6600218;-45.120503652039325
1739209651.6600268;-45.120503652039325
1739209651.660032;-38.13080360867914
1739209651.660037;-38.13080360867914
1739209651.6600423;-45.120503652039325
1739209651.6600473;-38.13080360867914
1739209651.6600523;-38.13080360867914
1739209651.6600575;-45.120503652039325
1739209651.6600626;-45.120503652039325
1739209651.6600678;-35.57807855764607
1739209651.6600728;-31.141103565318893
1739209651.660078;-45.120503652039325
1739209651.660083;-45.120503652039325
1739209651.6600883;-45.120503652039325
1739209651.6600933;-45.120503652039325
1739209651.6600983;-45.120503652039325
1739209651.6601036;-45.120503652039325
1739209651.6601086;-45.120503652039325
1739209651.6601138;-45.120503652039325
1739209651.6601188;-38.13080360867914
1739209651.660124;-35.57807855764607
1739209651.660129;-38.13080360867914
1739209651.6601343;-45.120503652039325
1739209651.6601393;-38.13080360867914
1739209651.6601443;-45.120503652039325
1739209651.6601496;-38.13080360867914
1739209651.6601546;-35.57807855764607
1739209651.6601598;-38.13080360867914
1739209651.6601648;-38.13080360867914
1739209651.66017;-45.120503652039325
1739209651.660175;-45.120503652039325
1739209651.6601803;-45.120503652039325
1739209651.6601853;-32.816014438256545
1739209651.6601903;-38.13080360867914
1739209651.6601956;-45.120503652039325
1739209651.6602006;-38.13080360867914
1739209651.6602058;-35.57807855764607
1739209651.6602108;-38.13080360867914
1739209651.660216;-45.120503652039325
1739209651.660221;-38.13080360867914
1739209651.6602263;-45.120503652039325
1739209651.6602314;-38.13080360867914
1739209651.6602366;-35.57807855764607
1739209651.6602416;-38.13080360867914
1739209651.6602466;-32.816014438256545
1739209651.6602519;-38.13080360867914
1739209651.6602569;-35.57807855764607
1739209651.660262;-38.13080360867914
1739209651.660267;-45.120503652039325
1739209651.6602724;-38.13080360867914
1739209651.6602774;-45.120503652039325
1739209651.6602826;-45.120503652039325
1739209651.6602876;-38.13080360867914
1739209651.6602926;-38.13080360867914
1739209651.6602979;-45.120503652039325
1739209651.6603029;-38.13080360867914
1739209651.6603081;-35.57807855764607
1739209651.6603131;-38.13080360867914
1739209651.6603184;-45.120503652039325
1739209651.6603234;-38.13080360867914
1739209651.6603286;-38.13080360867914
1739209651.6603336;-35.57807855764607
1739209651.6603386;-35.57807855764607
1739209651.660344;-45.120503652039325
1739209651.660349;-35.57807855764607
1739209651.6603541;-38.13080360867914
1739209651.6603591;-30.49652367304973
1739209651.6603644;-38.13080360867914
1739209651.6603694;-45.120503652039325
1739209651.6603746;-45.120503652039325
1739209651.6603796;-45.120503652039325
1739209651.6603847;-38.13080360867914
1739209651.66039;-35.57807855764607
1739209651.660395;-38.13080360867914
1739209651.6604002;-31.141103565318943
1739209651.6604052;-38.13080360867914
1739209651.6604104;-35.57807855764607
1739209651.6604154;-45.120503652039325
1739209651.6604207;-45.120503652039325
1739209651.6604257;-38.13080360867914
1739209651.660431;-32.816014438256545
1739209651.660436;-38.13080360867914
1739209651.660441;-32.816014438256545
1739209651.6604462;-38.13080360867914
1739209651.6604512;-35.57807855764607
1739209651.6604564;-38.13080360867914
1739209651.6604614;-35.57807855764607
