CAN Message; 0x150:0400e7f2a067f80c
Timestamp;Amplitude
1739209813.2806175;-38.13080360867914
1739209813.2806273;-45.120503652039325
1739209813.2806373;-38.13080360867914
1739209813.2806473;-38.13080360867914
1739209813.280657;-45.120503652039325
1739209813.280667;-45.120503652039325
1739209813.280677;-45.120503652039325
1739209813.2806869;-38.13080360867914
1739209813.2806969;-38.13080360867914
1739209813.2807066;-45.120503652039325
1739209813.2807167;-45.120503652039325
1739209813.2807267;-45.120503652039325
1739209813.2807364;-35.57807855764607
1739209813.2807465;-38.13080360867914
1739209813.2807565;-45.120503652039325
1739209813.2807662;-45.120503652039325
1739209813.2807763;-45.120503652039325
1739209813.2807863;-35.57807855764607
1739209813.280796;-35.57807855764607
1739209813.280806;-38.13080360867914
1739209813.280816;-38.13080360867914
1739209813.2808259;-38.13080360867914
1739209813.2808359;-38.13080360867914
1739209813.2808456;-35.57807855764607
1739209813.2808557;-38.13080360867914
1739209813.2808657;-35.57807855764607
1739209813.2808754;-35.57807855764607
1739209813.2808855;-45.120503652039325
1739209813.2808955;-45.120503652039325
1739209813.2809052;-38.13080360867914
1739209813.2809153;-33.981070128970906
1739209813.2809253;-45.120503652039325
1739209813.280935;-45.120503652039325
1739209813.280945;-33.981070128970906
1739209813.280955;-45.120503652039325
1739209813.2809649;-35.57807855764607
1739209813.2809749;-38.13080360867914
1739209813.2809846;-45.120503652039325
1739209813.2809947;-38.13080360867914
1739209813.2810047;-38.13080360867914
1739209813.2810144;-38.13080360867914
1739209813.2810245;-45.120503652039325
1739209813.2810345;-38.13080360867914
1739209813.2810442;-45.120503652039325
1739209813.2810543;-45.120503652039325
1739209813.2810643;-35.57807855764607
1739209813.281074;-38.13080360867914
1739209813.281084;-45.120503652039325
1739209813.281094;-45.120503652039325
1739209813.2811038;-38.13080360867914
1739209813.2811139;-38.13080360867914
1739209813.2811239;-38.13080360867914
1739209813.2811337;-38.13080360867914
1739209813.2811437;-45.120503652039325
1739209813.2811534;-45.120503652039325
1739209813.2811635;-45.120503652039325
1739209813.2811735;-45.120503652039325
1739209813.2811832;-45.120503652039325
1739209813.2811933;-45.120503652039325
1739209813.2812033;-35.57807855764607
1739209813.281213;-38.13080360867914
1739209813.281223;-45.120503652039325
1739209813.281233;-45.120503652039325
1739209813.2812428;-35.57807855764607
1739209813.2812529;-35.57807855764607
1739209813.2812629;-45.120503652039325
1739209813.2812726;-45.120503652039325
1739209813.2812827;-38.13080360867914
1739209813.2812924;-31.141103565318915
1739209813.2813025;-38.13080360867914
1739209813.2813125;-38.13080360867914
1739209813.2813222;-38.13080360867914
1739209813.2813323;-38.13080360867914
1739209813.2813423;-38.13080360867914
1739209813.281352;-38.13080360867914
1739209813.281362;-38.13080360867914
1739209813.281372;-35.57807855764607
1739209813.2813818;-45.120503652039325
1739209813.2813919;-38.13080360867914
1739209813.2814019;-45.120503652039325
1739209813.2814116;-45.120503652039325
1739209813.2814217;-38.13080360867914
1739209813.2814314;-38.13080360867914
1739209813.2814415;-45.120503652039325
1739209813.2814515;-38.13080360867914
1739209813.2814612;-38.13080360867914
1739209813.2814713;-38.13080360867914
1739209813.2814813;-45.120503652039325
1739209813.281491;-38.13080360867914
1739209813.281501;-45.120503652039325
1739209813.281511;-38.13080360867914
1739209813.2815208;-35.57807855764607
1739209813.2815309;-28.992665084841942
1739209813.2815409;-38.13080360867914
1739209813.2815506;-38.13080360867914
1739209813.2815607;-38.13080360867914
1739209813.2815707;-38.13080360867914
1739209813.2815804;-38.13080360867914
1739209813.2815905;-45.120503652039325
1739209813.2816002;-45.120503652039325
1739209813.2816103;-33.981070128970906
1739209813.2816203;-31.141103565318915
1739209813.28163;-38.13080360867914
1739209813.28164;-38.13080360867914
1739209813.28165;-38.13080360867914
1739209813.2816598;-38.13080360867914
1739209813.2816699;-33.981070128970906
1739209813.2816799;-45.120503652039325
1739209813.2816896;-45.120503652039325
1739209813.2816997;-32.816014438256545
1739209813.2817097;-35.57807855764607
1739209813.2817194;-45.120503652039325
1739209813.2817295;-38.13080360867914
1739209813.2817392;-38.13080360867914
1739209813.2817492;-45.120503652039325
1739209813.2817593;-45.120503652039325
1739209813.281769;-38.13080360867914
1739209813.281779;-32.816014438256545
1739209813.281789;-38.13080360867914
1739209813.2817988;-45.120503652039325
1739209813.2818089;-38.13080360867914
1739209813.2818189;-35.57807855764607
1739209813.2818286;-38.13080360867914
1739209813.2818387;-33.981070128970906
1739209813.2818487;-31.141103565318915
1739209813.2818584;-31.141103565318915
1739209813.2818685;-45.120503652039325
1739209813.2818785;-45.120503652039325
1739209813.2818882;-38.13080360867914
1739209813.2818983;-45.120503652039325
1739209813.281908;-45.120503652039325
1739209813.281918;-38.13080360867914
1739209813.281928;-38.13080360867914
1739209813.2819378;-45.120503652039325
1739209813.2819479;-38.13080360867914
1739209813.2819579;-35.57807855764607
1739209813.2819676;-35.57807855764607
1739209813.2819777;-38.13080360867914
1739209813.2819877;-45.120503652039325
1739209813.2819974;-45.120503652039325
