CAN Message; 0x1b8:03004f81ead5bc28
Timestamp;Amplitude
1739209778.9035492;-29.438486411369333
1739209778.9035597;-29.438486411369333
1739209778.90357;-38.13080360867914
1739209778.9035804;-38.13080360867914
1739209778.903591;-45.120503652039325
1739209778.9036012;-45.120503652039325
1739209778.9036117;-45.120503652039325
1739209778.9036222;-33.981070128970906
1739209778.9036326;-45.120503652039325
1739209778.9036431;-33.981070128970956
1739209778.9036534;-35.57807855764607
1739209778.9036639;-38.13080360867914
1739209778.9036744;-45.120503652039325
1739209778.9036846;-45.120503652039325
1739209778.903695;-38.13080360867914
1739209778.9037056;-38.13080360867914
1739209778.903716;-35.57807855764607
1739209778.9037266;-35.57807855764607
1739209778.9037368;-38.13080360867914
1739209778.9037473;-45.120503652039325
1739209778.9037578;-45.120503652039325
1739209778.903768;-45.120503652039325
1739209778.9037786;-45.120503652039325
1739209778.903789;-38.13080360867914
1739209778.9037995;-38.13080360867914
1739209778.90381;-32.816014438256545
1739209778.9038203;-38.13080360867914
1739209778.9038308;-38.13080360867914
1739209778.9038413;-35.57807855764607
1739209778.9038515;-35.57807855764607
1739209778.903862;-38.13080360867914
1739209778.9038725;-38.13080360867914
1739209778.903883;-45.120503652039325
1739209778.9038935;-33.981070128970956
1739209778.9039037;-45.120503652039325
1739209778.9039142;-45.120503652039325
1739209778.9039247;-45.120503652039325
1739209778.903935;-45.120503652039325
1739209778.9039454;-38.13080360867914
1739209778.903956;-38.13080360867914
1739209778.9039664;-35.57807855764607
1739209778.903977;-28.58837851428586
1739209778.9039872;-45.120503652039325
1739209778.9039977;-45.120503652039325
1739209778.9040082;-38.13080360867914
1739209778.9040184;-33.981070128970906
1739209778.904029;-38.13080360867914
1739209778.9040394;-45.120503652039325
1739209778.9040499;-38.13080360867914
1739209778.9040604;-35.57807855764607
1739209778.9040706;-45.120503652039325
1739209778.904081;-45.120503652039325
1739209778.9040916;-38.13080360867914
1739209778.9041018;-38.13080360867914
1739209778.9041123;-38.13080360867914
1739209778.9041228;-38.13080360867914
1739209778.9041333;-38.13080360867914
1739209778.9041438;-45.120503652039325
1739209778.904154;-45.120503652039325
1739209778.9041646;-45.120503652039325
1739209778.904175;-33.981070128970906
1739209778.9041853;-45.120503652039325
1739209778.9041958;-38.13080360867914
1739209778.9042063;-38.13080360867914
1739209778.9042168;-45.120503652039325
1739209778.9042273;-45.120503652039325
1739209778.9042375;-38.13080360867914
1739209778.904248;-38.13080360867914
1739209778.9042585;-38.13080360867914
1739209778.9042687;-38.13080360867914
1739209778.9042792;-33.981070128970906
1739209778.9042897;-38.13080360867914
1739209778.9043002;-45.120503652039325
1739209778.9043107;-45.120503652039325
1739209778.904321;-38.13080360867914
1739209778.9043314;-33.981070128970906
1739209778.904342;-38.13080360867914
1739209778.9043522;-45.120503652039325
1739209778.9043627;-45.120503652039325
1739209778.9043732;-45.120503652039325
1739209778.9043837;-45.120503652039325
1739209778.9043941;-45.120503652039325
1739209778.9044044;-38.13080360867914
1739209778.904415;-45.120503652039325
1739209778.9044254;-45.120503652039325
1739209778.9044356;-45.120503652039325
1739209778.9044461;-45.120503652039325
1739209778.9044566;-45.120503652039325
1739209778.904467;-38.13080360867914
1739209778.9044776;-38.13080360867914
1739209778.9044878;-31.141103565318915
1739209778.9044983;-45.120503652039325
1739209778.9045088;-38.13080360867914
1739209778.904519;-33.981070128970906
1739209778.9045296;-35.57807855764607
1739209778.90454;-45.120503652039325
1739209778.9045506;-33.981070128970906
1739209778.904561;-45.120503652039325
1739209778.9045713;-38.13080360867914
1739209778.9045818;-38.13080360867914
1739209778.9045923;-38.13080360867914
1739209778.9046025;-33.981070128970906
1739209778.904613;-45.120503652039325
1739209778.9046235;-38.13080360867914
1739209778.904634;-45.120503652039325
1739209778.9046445;-38.13080360867914
1739209778.9046547;-38.13080360867914
1739209778.9046652;-45.120503652039325
1739209778.9046757;-35.57807855764607
1739209778.904686;-38.13080360867914
1739209778.9046965;-38.13080360867914
1739209778.904707;-45.120503652039325
1739209778.9047174;-45.120503652039325
1739209778.904728;-38.13080360867914
1739209778.9047382;-31.141103565318915
1739209778.9047487;-45.120503652039325
1739209778.9047592;-38.13080360867914
1739209778.9047694;-38.13080360867914
1739209778.90478;-45.120503652039325
1739209778.9047904;-45.120503652039325
1739209778.904801;-38.13080360867914
1739209778.9048114;-45.120503652039325
1739209778.9048216;-32.81601443825658
1739209778.9048321;-45.120503652039325
1739209778.9048426;-45.120503652039325
1739209778.9048529;-45.120503652039325
1739209778.9048634;-38.13080360867914
1739209778.9048738;-38.13080360867914
