CAN Message; 0x1d3:000078bad91feed7
Timestamp;Amplitude
1739209816.1029882;-45.120503652039325
1739209816.1029968;-45.120503652039325
1739209816.1030054;-38.13080360867914
1739209816.103014;-45.120503652039325
1739209816.1030226;-38.13080360867914
1739209816.1030312;-45.120503652039325
1739209816.1030397;-45.120503652039325
1739209816.1030483;-45.120503652039325
1739209816.103057;-45.120503652039325
1739209816.1030655;-45.120503652039325
1739209816.103074;-38.13080360867914
1739209816.1030827;-45.120503652039325
1739209816.1030912;-45.120503652039325
1739209816.1030998;-35.57807855764607
1739209816.1031084;-35.57807855764607
1739209816.1031168;-45.120503652039325
1739209816.1031253;-45.120503652039325
1739209816.103134;-45.120503652039325
1739209816.1031425;-45.120503652039325
1739209816.103151;-45.120503652039325
1739209816.1031597;-38.13080360867914
1739209816.1031682;-35.57807855764607
1739209816.1031768;-38.13080360867914
1739209816.1031854;-38.13080360867914
1739209816.103194;-45.120503652039325
1739209816.1032026;-38.13080360867914
1739209816.1032112;-35.57807855764607
1739209816.1032197;-38.13080360867914
1739209816.1032283;-45.120503652039325
1739209816.103237;-38.13080360867914
1739209816.1032455;-33.981070128970906
1739209816.103254;-38.13080360867914
1739209816.1032627;-45.120503652039325
1739209816.1032712;-45.120503652039325
1739209816.1032798;-45.120503652039325
1739209816.1032884;-35.57807855764607
1739209816.103297;-35.57807855764607
1739209816.1033056;-45.120503652039325
1739209816.1033142;-45.120503652039325
1739209816.1033227;-45.120503652039325
1739209816.1033313;-38.13080360867914
1739209816.10334;-45.120503652039325
1739209816.1033485;-38.13080360867914
1739209816.103357;-33.981070128970906
1739209816.1033657;-33.981070128970906
1739209816.1033742;-45.120503652039325
1739209816.1033826;-38.13080360867914
1739209816.1033912;-38.13080360867914
1739209816.1033998;-38.13080360867914
1739209816.1034083;-38.13080360867914
1739209816.103417;-38.13080360867914
1739209816.1034255;-45.120503652039325
1739209816.103434;-45.120503652039325
1739209816.1034427;-38.13080360867914
1739209816.1034513;-38.13080360867914
1739209816.1034598;-38.13080360867914
1739209816.1034684;-38.13080360867914
1739209816.103477;-45.120503652039325
1739209816.1034856;-45.120503652039325
1739209816.1034942;-45.120503652039325
1739209816.1035028;-45.120503652039325
1739209816.1035113;-45.120503652039325
1739209816.10352;-33.981070128970906
1739209816.1035285;-31.141103565318915
1739209816.103537;-45.120503652039325
1739209816.1035457;-38.13080360867914
1739209816.1035542;-35.57807855764607
1739209816.1035628;-38.13080360867914
1739209816.1035714;-38.13080360867914
1739209816.10358;-35.57807855764607
1739209816.1035886;-33.981070128970906
1739209816.1035972;-38.13080360867914
1739209816.1036057;-45.120503652039325
1739209816.1036143;-38.13080360867914
1739209816.103623;-38.13080360867914
1739209816.1036315;-45.120503652039325
1739209816.10364;-38.13080360867914
1739209816.1036484;-45.120503652039325
1739209816.103657;-33.981070128970906
1739209816.1036656;-33.981070128970906
1739209816.1036742;-45.120503652039325
1739209816.1036828;-38.13080360867914
1739209816.1036913;-38.13080360867914
1739209816.1037;-38.13080360867914
1739209816.1037085;-45.120503652039325
1739209816.103717;-33.981070128970906
1739209816.1037257;-38.13080360867914
1739209816.1037343;-35.57807855764607
1739209816.1037428;-38.13080360867914
1739209816.1037514;-38.13080360867914
1739209816.10376;-38.13080360867914
1739209816.1037686;-38.13080360867914
1739209816.1037772;-38.13080360867914
1739209816.1037858;-45.120503652039325
1739209816.1037943;-45.120503652039325
1739209816.103803;-38.13080360867914
1739209816.1038115;-45.120503652039325
1739209816.10382;-45.120503652039325
1739209816.1038287;-45.120503652039325
1739209816.1038373;-45.120503652039325
1739209816.1038458;-45.120503652039325
1739209816.1038544;-45.120503652039325
1739209816.103863;-45.120503652039325
1739209816.1038716;-35.57807855764607
1739209816.1038802;-38.13080360867914
1739209816.1038888;-45.120503652039325
1739209816.1038973;-35.57807855764607
1739209816.103906;-38.13080360867914
1739209816.1039143;-45.120503652039325
1739209816.1039228;-45.120503652039325
1739209816.1039314;-45.120503652039325
1739209816.10394;-33.981070128970956
1739209816.1039486;-35.57807855764607
1739209816.1039572;-45.120503652039325
