CAN Message; 0x77:1fa54a9f3646b5be
Timestamp;Amplitude
1739209774.932769;-45.120503652039325
1739209774.9327748;-38.13080360867914
1739209774.9327807;-32.81601443825658
1739209774.9327867;-45.120503652039325
1739209774.9327927;-38.13080360867914
1739209774.9327984;-38.13080360867914
1739209774.9328043;-33.981070128970906
1739209774.9328103;-35.57807855764607
1739209774.9328163;-45.120503652039325
1739209774.932822;-33.981070128970906
1739209774.932828;-30.49652367304973
1739209774.932834;-45.120503652039325
1739209774.9328396;-33.981070128970906
1739209774.9328456;-38.13080360867914
1739209774.9328516;-45.120503652039325
1739209774.9328575;-38.13080360867914
1739209774.9328632;-33.981070128970906
1739209774.9328692;-45.120503652039325
1739209774.9328752;-38.13080360867914
1739209774.932881;-38.13080360867914
1739209774.9328868;-38.13080360867914
1739209774.9328928;-38.13080360867914
1739209774.9328988;-45.120503652039325
1739209774.9329045;-33.981070128970906
1739209774.9329104;-38.13080360867914
1739209774.9329164;-45.120503652039325
1739209774.9329224;-35.57807855764607
1739209774.932928;-38.13080360867914
1739209774.932934;-32.816014438256545
1739209774.93294;-38.13080360867914
1739209774.9329457;-45.120503652039325
1739209774.9329517;-38.13080360867914
1739209774.9329576;-45.120503652039325
1739209774.9329636;-38.13080360867914
1739209774.9329693;-38.13080360867914
1739209774.9329753;-45.120503652039325
1739209774.9329813;-45.120503652039325
1739209774.9329872;-45.120503652039325
1739209774.932993;-45.120503652039325
1739209774.932999;-45.120503652039325
1739209774.9330049;-35.57807855764607
1739209774.9330106;-45.120503652039325
1739209774.9330165;-45.120503652039325
1739209774.9330225;-45.120503652039325
1739209774.9330285;-45.120503652039325
1739209774.9330342;-45.120503652039325
1739209774.9330401;-38.13080360867914
1739209774.933046;-35.57807855764607
1739209774.933052;-45.120503652039325
1739209774.9330578;-35.57807855764607
1739209774.9330637;-32.816014438256545
1739209774.9330697;-45.120503652039325
1739209774.9330754;-45.120503652039325
1739209774.9330814;-35.57807855764607
1739209774.9330873;-38.13080360867914
1739209774.9330933;-45.120503652039325
1739209774.933099;-32.816014438256545
1739209774.933105;-45.120503652039325
1739209774.933111;-45.120503652039325
1739209774.933117;-45.120503652039325
1739209774.9331226;-45.120503652039325
1739209774.9331286;-45.120503652039325
1739209774.9331346;-38.13080360867914
1739209774.9331403;-38.13080360867914
1739209774.9331462;-45.120503652039325
1739209774.9331522;-45.120503652039325
1739209774.9331582;-35.57807855764607
1739209774.933164;-38.13080360867914
1739209774.9331698;-45.120503652039325
1739209774.9331758;-38.13080360867914
1739209774.9331818;-35.57807855764607
1739209774.9331875;-38.13080360867914
1739209774.9331934;-45.120503652039325
1739209774.9331994;-45.120503652039325
1739209774.9332051;-35.57807855764607
1739209774.933211;-45.120503652039325
1739209774.933217;-38.13080360867914
1739209774.933223;-38.13080360867914
1739209774.9332287;-35.57807855764607
1739209774.9332347;-38.13080360867914
1739209774.9332407;-45.120503652039325
1739209774.9332464;-45.120503652039325
1739209774.9332523;-38.13080360867914
1739209774.9332583;-33.981070128970906
1739209774.9332643;-45.120503652039325
1739209774.93327;-45.120503652039325
1739209774.933276;-45.120503652039325
1739209774.933282;-45.120503652039325
1739209774.9332879;-45.120503652039325
1739209774.9332936;-45.120503652039325
1739209774.9332995;-45.120503652039325
1739209774.9333055;-45.120503652039325
1739209774.9333112;-38.13080360867914
1739209774.9333172;-38.13080360867914
1739209774.9333231;-35.57807855764607
1739209774.933329;-38.13080360867914
1739209774.9333348;-38.13080360867914
1739209774.9333408;-38.13080360867914
1739209774.9333467;-38.13080360867914
1739209774.9333527;-33.981070128970906
1739209774.9333584;-38.13080360867914
1739209774.9333644;-38.13080360867914
1739209774.9333704;-35.57807855764607
1739209774.933376;-38.13080360867914
1739209774.933382;-38.13080360867914
1739209774.933388;-38.13080360867914
1739209774.933394;-45.120503652039325
1739209774.9333997;-38.13080360867914
1739209774.9334056;-45.120503652039325
1739209774.9334116;-38.13080360867914
1739209774.9334176;-45.120503652039325
1739209774.9334233;-45.120503652039325
1739209774.9334292;-38.13080360867914
1739209774.9334352;-45.120503652039325
1739209774.933441;-45.120503652039325
1739209774.933447;-31.14110356531892
1739209774.9334528;-35.57807855764607
1739209774.9334588;-38.13080360867914
1739209774.9334645;-45.120503652039325
1739209774.9334705;-33.981070128970906
1739209774.9334764;-35.57807855764607
1739209774.9334824;-38.13080360867914
1739209774.9334881;-38.13080360867914
1739209774.933494;-28.992665084841942
1739209774.9335;-35.57807855764607
1739209774.9335058;-38.13080360867914
1739209774.9335117;-45.120503652039325
1739209774.9335177;-45.120503652039325
1739209774.9335237;-32.816014438256545
1739209774.9335294;-38.13080360867914
1739209774.9335353;-45.120503652039325
1739209774.9335413;-32.816014438256545
1739209774.9335473;-45.120503652039325
1739209774.933553;-45.120503652039325
1739209774.933559;-45.120503652039325
1739209774.933565;-45.120503652039325
1739209774.9335706;-45.120503652039325
1739209774.9335766;-45.120503652039325
1739209774.9335825;-38.13080360867914
1739209774.9335885;-38.13080360867914
1739209774.9335942;-45.120503652039325
1739209774.9336002;-45.120503652039325
1739209774.9336061;-38.13080360867914
1739209774.9336119;-38.13080360867914
1739209774.9336178;-45.120503652039325
1739209774.9336238;-38.13080360867914
1739209774.9336298;-32.816014438256545
1739209774.9336355;-28.58837851428586
1739209774.9336414;-38.13080360867914
1739209774.9336474;-38.13080360867914
1739209774.9336534;-32.816014438256545
1739209774.933659;-33.981070128970906
1739209774.933665;-45.120503652039325
1739209774.933671;-38.13080360867914
1739209774.9336767;-38.13080360867914
1739209774.9336827;-31.141103565318915
1739209774.9336886;-45.120503652039325
1739209774.9336946;-45.120503652039325
1739209774.9337003;-45.120503652039325
1739209774.9337063;-38.13080360867914
1739209774.9337122;-45.120503652039325
1739209774.9337182;-45.120503652039325
1739209774.933724;-32.816014438256545
1739209774.93373;-33.981070128970906
1739209774.9337358;-45.120503652039325
1739209774.9337416;-45.120503652039325
1739209774.9337475;-38.13080360867914
1739209774.9337535;-38.13080360867914
1739209774.9337595;-45.120503652039325
1739209774.9337652;-38.13080360867914
1739209774.9337711;-45.120503652039325
1739209774.933777;-45.120503652039325
1739209774.933783;-38.13080360867914
1739209774.9337888;-45.120503652039325
1739209774.9337947;-38.13080360867914
1739209774.9338007;-45.120503652039325
1739209774.9338064;-38.13080360867914
1739209774.9338124;-45.120503652039325
1739209774.9338183;-45.120503652039325
1739209774.9338243;-38.13080360867914
1739209774.93383;-38.13080360867914
1739209774.933836;-38.13080360867914
