CAN Message; 0x1a7:0000b48a221899b8
Timestamp;Amplitude
1739209712.7652788;-45.120503652039325
1739209712.765297;-38.13080360867914
1739209712.765315;-45.120503652039325
1739209712.7653332;-31.141103565318915
1739209712.7653513;-35.57807855764607
1739209712.7653694;-38.13080360867914
1739209712.7653875;-38.13080360867914
1739209712.7654057;-38.13080360867914
1739209712.7654238;-45.120503652039325
1739209712.765442;-45.120503652039325
1739209712.76546;-45.120503652039325
1739209712.7654781;-45.120503652039325
1739209712.7654963;-45.120503652039325
1739209712.7655144;-38.13080360867914
1739209712.7655325;-45.120503652039325
1739209712.7655506;-45.120503652039325
1739209712.7655687;-45.120503652039325
1739209712.7655869;-45.120503652039325
1739209712.765605;-32.816014438256545
1739209712.765623;-38.13080360867914
1739209712.7656412;-38.13080360867914
1739209712.7656593;-35.57807855764607
1739209712.7656775;-32.816014438256545
1739209712.7656956;-32.816014438256545
1739209712.7657137;-38.13080360867914
1739209712.7657318;-38.13080360867914
1739209712.7657502;-35.57807855764607
1739209712.7657683;-28.58837851428586
1739209712.7657864;-38.13080360867914
1739209712.7658045;-45.120503652039325
1739209712.7658226;-45.120503652039325
1739209712.7658408;-38.13080360867914
1739209712.765859;-45.120503652039325
1739209712.765877;-45.120503652039325
1739209712.7658951;-38.13080360867914
1739209712.7659132;-32.81601443825658
1739209712.7659314;-45.120503652039325
1739209712.7659495;-45.120503652039325
1739209712.7659676;-38.13080360867914
1739209712.7659857;-45.120503652039325
1739209712.7660038;-38.13080360867914
1739209712.766022;-32.816014438256545
1739209712.76604;-45.120503652039325
1739209712.7660582;-45.120503652039325
1739209712.7660763;-45.120503652039325
1739209712.7660944;-45.120503652039325
1739209712.7661126;-45.120503652039325
1739209712.7661307;-45.120503652039325
1739209712.7661488;-35.57807855764607
1739209712.766167;-33.981070128970906
1739209712.766185;-45.120503652039325
1739209712.7662032;-38.13080360867914
1739209712.7662213;-38.13080360867914
1739209712.7662394;-38.13080360867914
1739209712.7662575;-38.13080360867914
1739209712.7662756;-45.120503652039325
1739209712.7662938;-38.13080360867914
1739209712.766312;-38.13080360867914
1739209712.76633;-38.13080360867914
1739209712.7663481;-32.816014438256545
1739209712.7663662;-31.141103565318915
1739209712.7663844;-35.57807855764607
1739209712.7664025;-38.13080360867914
1739209712.7664206;-38.13080360867914
1739209712.7664387;-45.120503652039325
1739209712.7664568;-38.13080360867914
1739209712.766475;-45.120503652039325
1739209712.766493;-31.141103565318915
1739209712.7665112;-33.981070128970906
1739209712.7665293;-45.120503652039325
1739209712.7665474;-38.13080360867914
1739209712.7665656;-38.13080360867914
1739209712.7665837;-35.57807855764607
1739209712.7666018;-38.13080360867914
1739209712.76662;-38.13080360867914
1739209712.766638;-33.981070128970906
1739209712.7666562;-38.13080360867914
1739209712.7666743;-38.13080360867914
1739209712.7666924;-38.13080360867914
1739209712.7667105;-38.13080360867914
1739209712.7667289;-45.120503652039325
1739209712.766747;-45.120503652039325
1739209712.766765;-45.120503652039325
1739209712.7667832;-38.13080360867914
1739209712.7668014;-38.13080360867914
1739209712.7668195;-45.120503652039325
1739209712.7668376;-38.13080360867914
1739209712.7668557;-38.13080360867914
1739209712.7668738;-38.13080360867914
1739209712.766892;-38.13080360867914
1739209712.76691;-38.13080360867914
1739209712.7669282;-35.57807855764607
1739209712.7669463;-38.13080360867914
1739209712.7669644;-45.120503652039325
1739209712.7669826;-33.981070128970906
1739209712.7670007;-38.13080360867914
1739209712.7670188;-35.57807855764607
1739209712.767037;-38.13080360867914
1739209712.767055;-45.120503652039325
1739209712.7670732;-38.13080360867914
1739209712.7670913;-38.13080360867914
1739209712.7671094;-45.120503652039325
1739209712.7671275;-38.13080360867914
1739209712.7671456;-45.120503652039325
1739209712.7671638;-45.120503652039325
1739209712.7671819;-45.120503652039325
1739209712.7672;-45.120503652039325
1739209712.767218;-38.13080360867914
1739209712.7672362;-38.13080360867914
1739209712.7672544;-38.13080360867914
1739209712.7672725;-45.120503652039325
1739209712.7672906;-45.120503652039325
1739209712.7673087;-35.57807855764607
1739209712.7673268;-32.816014438256545
1739209712.767345;-45.120503652039325
1739209712.767363;-35.57807855764607
1739209712.7673812;-38.13080360867914
1739209712.7673993;-38.13080360867914
1739209712.7674174;-38.13080360867914
1739209712.7674356;-45.120503652039325
1739209712.7674537;-45.120503652039325
1739209712.7674718;-45.120503652039325
1739209712.76749;-45.120503652039325
1739209712.767508;-45.120503652039325
1739209712.7675261;-45.120503652039325
1739209712.7675443;-38.13080360867914
