CAN Message; 0x1bb:00002e6c9e460430
Timestamp;Amplitude
1739209652.8797865;-38.13080360867914
1739209652.87979;-38.13080360867914
1739209652.8797936;-35.57807855764607
1739209652.8797972;-38.13080360867914
1739209652.8798008;-45.120503652039325
1739209652.8798044;-33.981070128970906
1739209652.879808;-38.13080360867914
1739209652.8798115;-38.13080360867914
1739209652.8798149;-45.120503652039325
1739209652.8798184;-45.120503652039325
1739209652.879822;-45.120503652039325
1739209652.8798256;-45.120503652039325
1739209652.8798292;-45.120503652039325
1739209652.8798327;-33.981070128970906
1739209652.8798363;-32.816014438256545
1739209652.87984;-45.120503652039325
1739209652.8798435;-45.120503652039325
1739209652.879847;-45.120503652039325
1739209652.8798506;-45.120503652039325
1739209652.8798542;-33.981070128970906
1739209652.8798578;-45.120503652039325
1739209652.8798614;-33.981070128970906
1739209652.879865;-33.981070128970906
1739209652.8798685;-45.120503652039325
1739209652.879872;-45.120503652039325
1739209652.8798757;-38.13080360867914
1739209652.879879;-38.13080360867914
1739209652.8798826;-38.13080360867914
1739209652.8798862;-38.13080360867914
1739209652.8798897;-38.13080360867914
1739209652.8798933;-38.13080360867914
1739209652.8798969;-33.981070128970906
1739209652.8799005;-45.120503652039325
1739209652.879904;-45.120503652039325
1739209652.8799076;-32.816014438256545
1739209652.8799112;-38.13080360867914
1739209652.8799148;-45.120503652039325
1739209652.8799183;-31.141103565318915
1739209652.879922;-28.58837851428586
1739209652.8799255;-33.981070128970906
1739209652.879929;-45.120503652039325
1739209652.8799326;-45.120503652039325
1739209652.8799362;-38.13080360867914
1739209652.8799396;-45.120503652039325
1739209652.8799431;-45.120503652039325
1739209652.8799467;-45.120503652039325
1739209652.8799503;-35.57807855764607
1739209652.8799539;-38.13080360867914
1739209652.8799574;-45.120503652039325
1739209652.879961;-38.13080360867914
1739209652.8799646;-32.816014438256545
1739209652.8799682;-38.13080360867914
1739209652.8799717;-45.120503652039325
1739209652.8799753;-45.120503652039325
1739209652.879979;-38.13080360867914
1739209652.8799825;-38.13080360867914
1739209652.879986;-45.120503652039325
1739209652.8799896;-45.120503652039325
1739209652.8799932;-33.981070128970906
1739209652.8799968;-33.981070128970906
1739209652.88;-45.120503652039325
1739209652.8800037;-33.981070128970906
1739209652.8800073;-30.49652367304973
1739209652.8800108;-38.13080360867914
1739209652.8800144;-45.120503652039325
1739209652.880018;-38.13080360867914
1739209652.8800216;-38.13080360867914
1739209652.8800251;-45.120503652039325
1739209652.8800287;-45.120503652039325
1739209652.8800323;-45.120503652039325
1739209652.8800359;-38.13080360867914
1739209652.8800395;-38.13080360867914
1739209652.880043;-35.57807855764607
1739209652.8800466;-45.120503652039325
1739209652.8800502;-38.13080360867914
1739209652.8800538;-38.13080360867914
1739209652.8800573;-38.13080360867914
1739209652.880061;-38.13080360867914
1739209652.8800642;-45.120503652039325
1739209652.8800678;-38.13080360867914
1739209652.8800714;-38.13080360867914
1739209652.880075;-38.13080360867914
1739209652.8800786;-45.120503652039325
1739209652.8800821;-45.120503652039325
1739209652.8800857;-45.120503652039325
1739209652.8800893;-45.120503652039325
1739209652.8800929;-45.120503652039325
1739209652.8800964;-45.120503652039325
1739209652.8801;-45.120503652039325
1739209652.8801036;-38.13080360867914
1739209652.8801072;-31.141103565318893
1739209652.8801107;-38.13080360867914
1739209652.8801143;-35.57807855764607
1739209652.880118;-45.120503652039325
1739209652.8801215;-33.981070128970906
1739209652.8801248;-32.816014438256545
1739209652.8801284;-45.120503652039325
1739209652.880132;-38.13080360867914
1739209652.8801355;-38.13080360867914
1739209652.880139;-38.13080360867914
1739209652.8801427;-38.13080360867914
1739209652.8801463;-45.120503652039325
1739209652.8801498;-38.13080360867914
1739209652.8801534;-45.120503652039325
1739209652.880157;-45.120503652039325
1739209652.8801606;-45.120503652039325
1739209652.8801641;-32.816014438256545
1739209652.8801677;-45.120503652039325
1739209652.8801713;-45.120503652039325
1739209652.8801749;-38.13080360867914
1739209652.8801785;-38.13080360867914
1739209652.880182;-38.13080360867914
1739209652.8801854;-45.120503652039325
1739209652.880189;-45.120503652039325
1739209652.8801925;-45.120503652039325
1739209652.880196;-38.13080360867914
1739209652.8801997;-45.120503652039325
1739209652.8802032;-38.13080360867914
1739209652.8802068;-45.120503652039325
1739209652.8802104;-38.13080360867914
1739209652.880214;-33.981070128970906
1739209652.8802176;-35.57807855764607
1739209652.8802211;-38.13080360867914
1739209652.8802247;-38.13080360867914
1739209652.8802283;-45.120503652039325
1739209652.8802319;-45.120503652039325
1739209652.8802354;-45.120503652039325
1739209652.880239;-38.13080360867914
1739209652.8802426;-38.13080360867914
1739209652.8802462;-38.13080360867914
1739209652.8802495;-35.57807855764607
1739209652.880253;-38.13080360867914
1739209652.8802567;-38.13080360867914
1739209652.8802602;-38.13080360867914
1739209652.8802638;-45.120503652039325
1739209652.8802674;-45.120503652039325
1739209652.880271;-38.13080360867914
1739209652.8802745;-45.120503652039325
1739209652.880278;-45.120503652039325
1739209652.8802817;-38.13080360867914
1739209652.8802853;-45.120503652039325
1739209652.8802888;-38.13080360867914
1739209652.8802924;-45.120503652039325
1739209652.880296;-33.981070128970906
1739209652.8802996;-35.57807855764607
1739209652.8803031;-38.13080360867914
1739209652.8803067;-45.120503652039325
1739209652.88031;-38.13080360867914
1739209652.8803136;-35.57807855764607
1739209652.8803172;-38.13080360867914
1739209652.8803208;-45.120503652039325
1739209652.8803244;-33.981070128970906
1739209652.880328;-38.13080360867914
1739209652.8803315;-38.13080360867914
1739209652.880335;-35.57807855764607
1739209652.8803387;-38.13080360867914
1739209652.8803422;-38.13080360867914
1739209652.8803458;-35.57807855764607
1739209652.8803494;-38.13080360867914
1739209652.880353;-33.981070128970906
1739209652.8803566;-38.13080360867914
1739209652.8803601;-38.13080360867914
1739209652.8803637;-45.120503652039325
1739209652.8803673;-45.120503652039325
1739209652.8803706;-45.120503652039325
1739209652.8803742;-38.13080360867914
1739209652.8803778;-38.13080360867914
1739209652.8803813;-33.981070128970906
1739209652.880385;-38.13080360867914
1739209652.8803885;-45.120503652039325
1739209652.880392;-45.120503652039325
1739209652.8803957;-33.981070128970906
1739209652.8803992;-38.13080360867914
1739209652.8804028;-45.120503652039325
1739209652.8804064;-45.120503652039325
1739209652.88041;-45.120503652039325
1739209652.8804135;-45.120503652039325
1739209652.880417;-45.120503652039325
1739209652.8804207;-45.120503652039325
1739209652.8804243;-38.13080360867914
1739209652.8804278;-38.13080360867914
1739209652.8804314;-45.120503652039325
1739209652.8804348;-45.120503652039325
1739209652.8804383;-38.13080360867914
1739209652.880442;-38.13080360867914
1739209652.8804455;-35.57807855764607
1739209652.880449;-35.57807855764607
1739209652.8804526;-33.981070128970906
1739209652.8804562;-38.13080360867914
1739209652.8804598;-33.981070128970906
1739209652.8804634;-45.120503652039325
1739209652.880467;-38.13080360867914
1739209652.8804705;-38.13080360867914
1739209652.880474;-45.120503652039325
1739209652.8804777;-45.120503652039325
1739209652.8804812;-45.120503652039325
1739209652.8804848;-33.981070128970906
1739209652.8804884;-38.13080360867914
1739209652.880492;-45.120503652039325
1739209652.8804953;-35.57807855764607
1739209652.880499;-32.816014438256545
1739209652.8805025;-45.120503652039325
1739209652.880506;-45.120503652039325
1739209652.8805096;-38.13080360867914
1739209652.8805132;-35.57807855764607
1739209652.8805168;-38.13080360867914
1739209652.8805203;-45.120503652039325
1739209652.880524;-38.13080360867914
1739209652.8805275;-29.438486411369333
1739209652.880531;-45.120503652039325
1739209652.8805346;-38.13080360867914
1739209652.8805382;-38.13080360867914
1739209652.8805418;-38.13080360867914
1739209652.8805454;-45.120503652039325
1739209652.880549;-45.120503652039325
1739209652.8805525;-45.120503652039325
1739209652.8805559;-45.120503652039325
1739209652.8805594;-38.13080360867914
1739209652.880563;-45.120503652039325
1739209652.8805666;-38.13080360867914
1739209652.8805702;-38.13080360867914
1739209652.8805737;-38.13080360867914
1739209652.8805773;-45.120503652039325
1739209652.880581;-33.981070128970906
1739209652.8805845;-29.438486411369333
1739209652.880588;-45.120503652039325
1739209652.8805916;-38.13080360867914
1739209652.8805952;-33.981070128970906
1739209652.8805988;-45.120503652039325
1739209652.8806024;-45.120503652039325
1739209652.880606;-32.816014438256545
1739209652.8806095;-45.120503652039325
1739209652.880613;-33.981070128970956
1739209652.8806167;-35.57807855764607
1739209652.88062;-35.57807855764607
1739209652.8806236;-38.13080360867914
1739209652.8806272;-45.120503652039325
1739209652.8806307;-38.13080360867914
1739209652.8806343;-35.57807855764607
1739209652.880638;-35.57807855764607
1739209652.8806415;-27.8777449560314
1739209652.880645;-45.120503652039325
1739209652.8806486;-32.816014438256545
1739209652.8806522;-38.13080360867914
1739209652.8806558;-45.120503652039325
1739209652.8806593;-33.981070128970906
1739209652.880663;-35.57807855764607
1739209652.8806665;-45.120503652039325
1739209652.88067;-31.141103565318943
