CAN Message; 0x39:035c2ab98cd3052b
Timestamp;Amplitude
1739209730.8247614;-35.57807855764607
1739209730.8247695;-45.120503652039325
1739209730.8247774;-45.120503652039325
1739209730.8247855;-38.13080360867914
1739209730.8247933;-45.120503652039325
1739209730.8248014;-38.13080360867914
1739209730.8248093;-38.13080360867914
1739209730.8248174;-45.120503652039325
1739209730.8248253;-45.120503652039325
1739209730.8248334;-38.13080360867914
1739209730.8248413;-45.120503652039325
1739209730.8248494;-45.120503652039325
1739209730.8248572;-45.120503652039325
1739209730.8248653;-38.13080360867914
1739209730.8248732;-38.13080360867914
1739209730.824881;-38.13080360867914
1739209730.8248892;-31.141103565318915
1739209730.824897;-30.49652367304973
1739209730.8249052;-38.13080360867914
1739209730.824913;-45.120503652039325
1739209730.8249211;-45.120503652039325
1739209730.824929;-35.57807855764607
1739209730.824937;-35.57807855764607
1739209730.824945;-33.981070128970906
1739209730.824953;-45.120503652039325
1739209730.824961;-31.14110356531892
1739209730.824969;-31.141103565318893
1739209730.824977;-38.13080360867914
1739209730.824985;-45.120503652039325
1739209730.824993;-38.13080360867914
1739209730.8250008;-35.57807855764607
1739209730.8250089;-38.13080360867914
1739209730.8250167;-38.13080360867914
1739209730.8250248;-33.981070128970906
1739209730.8250327;-38.13080360867914
1739209730.8250408;-38.13080360867914
1739209730.8250487;-45.120503652039325
1739209730.8250568;-38.13080360867914
1739209730.8250647;-38.13080360867914
1739209730.8250728;-45.120503652039325
1739209730.8250806;-45.120503652039325
1739209730.8250887;-38.13080360867914
1739209730.8250966;-45.120503652039325
1739209730.8251045;-38.13080360867914
1739209730.8251126;-45.120503652039325
1739209730.8251204;-38.13080360867914
1739209730.8251286;-38.13080360867914
1739209730.8251364;-45.120503652039325
1739209730.8251445;-38.13080360867914
1739209730.8251524;-33.981070128970906
1739209730.8251605;-45.120503652039325
1739209730.8251684;-45.120503652039325
1739209730.8251765;-38.13080360867914
1739209730.8251843;-45.120503652039325
1739209730.8251925;-38.13080360867914
1739209730.8252003;-38.13080360867914
1739209730.8252084;-38.13080360867914
1739209730.8252163;-27.267205301931607
1739209730.8252242;-45.120503652039325
1739209730.8252323;-45.120503652039325
1739209730.8252401;-38.13080360867914
1739209730.8252482;-33.981070128970906
1739209730.825256;-45.120503652039325
1739209730.8252642;-45.120503652039325
1739209730.825272;-35.57807855764607
1739209730.8252802;-31.141103565318915
1739209730.825288;-45.120503652039325
1739209730.8252962;-38.13080360867914
1739209730.825304;-45.120503652039325
1739209730.8253121;-45.120503652039325
1739209730.82532;-45.120503652039325
1739209730.825328;-45.120503652039325
1739209730.825336;-38.13080360867914
1739209730.8253438;-38.13080360867914
1739209730.825352;-38.13080360867914
1739209730.8253598;-35.57807855764607
1739209730.825368;-35.57807855764607
1739209730.8253758;-38.13080360867914
1739209730.825384;-45.120503652039325
1739209730.8253918;-33.981070128970906
1739209730.8253999;-45.120503652039325
1739209730.8254077;-45.120503652039325
1739209730.8254158;-35.57807855764607
1739209730.8254237;-38.13080360867914
1739209730.8254318;-38.13080360867914
1739209730.8254397;-38.13080360867914
1739209730.8254478;-32.816014438256545
1739209730.8254557;-45.120503652039325
1739209730.8254635;-45.120503652039325
1739209730.8254716;-33.981070128970906
1739209730.8254795;-45.120503652039325
1739209730.8254876;-38.13080360867914
1739209730.8254955;-45.120503652039325
1739209730.8255036;-33.981070128970906
1739209730.8255115;-45.120503652039325
1739209730.8255196;-33.981070128970906
1739209730.8255274;-45.120503652039325
1739209730.8255355;-45.120503652039325
1739209730.8255434;-33.981070128970906
1739209730.8255515;-45.120503652039325
1739209730.8255594;-45.120503652039325
1739209730.8255675;-38.13080360867914
1739209730.8255754;-35.57807855764607
1739209730.8255832;-38.13080360867914
1739209730.8255913;-38.13080360867914
1739209730.8255992;-38.13080360867914
1739209730.8256073;-35.57807855764607
1739209730.8256152;-38.13080360867914
1739209730.8256233;-45.120503652039325
1739209730.8256311;-45.120503652039325
