CAN Message; 0x77:fd992566a1ee3713
Timestamp;Amplitude
1739209876.235977;-33.981070128970906
1739209876.2359793;-33.981070128970906
1739209876.2359815;-45.120503652039325
1739209876.2359838;-38.13080360867914
1739209876.2359862;-38.13080360867914
1739209876.2359886;-45.120503652039325
1739209876.235991;-45.120503652039325
1739209876.2359934;-33.981070128970906
1739209876.2359955;-33.981070128970906
1739209876.235998;-38.13080360867914
1739209876.2360003;-35.57807855764607
1739209876.2360027;-45.120503652039325
1739209876.236005;-38.13080360867914
1739209876.2360075;-35.57807855764607
1739209876.2360096;-38.13080360867914
1739209876.236012;-38.13080360867914
1739209876.2360144;-45.120503652039325
1739209876.2360168;-38.13080360867914
1739209876.2360191;-45.120503652039325
1739209876.2360215;-38.13080360867914
1739209876.2360237;-38.13080360867914
1739209876.236026;-45.120503652039325
1739209876.2360284;-35.57807855764607
1739209876.2360308;-35.57807855764607
1739209876.2360332;-45.120503652039325
1739209876.2360356;-38.13080360867914
1739209876.2360377;-35.57807855764607
1739209876.23604;-38.13080360867914
1739209876.2360425;-45.120503652039325
1739209876.236045;-35.57807855764607
1739209876.2360473;-45.120503652039325
1739209876.2360497;-45.120503652039325
1739209876.2360518;-35.57807855764607
1739209876.2360542;-35.57807855764607
1739209876.2360566;-45.120503652039325
1739209876.236059;-45.120503652039325
1739209876.2360613;-33.981070128970906
1739209876.2360637;-45.120503652039325
1739209876.2360659;-45.120503652039325
1739209876.2360682;-45.120503652039325
1739209876.2360706;-45.120503652039325
1739209876.236073;-45.120503652039325
1739209876.2360754;-38.13080360867914
1739209876.2360775;-35.57807855764607
1739209876.23608;-45.120503652039325
1739209876.2360823;-45.120503652039325
1739209876.2360847;-35.57807855764607
1739209876.236087;-38.13080360867914
1739209876.2360895;-45.120503652039325
1739209876.2360916;-38.13080360867914
1739209876.236094;-32.816014438256545
1739209876.2360964;-38.13080360867914
1739209876.2360988;-32.816014438256545
1739209876.2361012;-35.57807855764607
1739209876.2361035;-45.120503652039325
1739209876.2361057;-38.13080360867914
1739209876.236108;-33.981070128970906
1739209876.2361104;-33.981070128970906
1739209876.2361128;-45.120503652039325
1739209876.2361152;-45.120503652039325
1739209876.2361176;-45.120503652039325
1739209876.2361197;-45.120503652039325
1739209876.2361221;-45.120503652039325
1739209876.2361245;-38.13080360867914
1739209876.236127;-45.120503652039325
1739209876.2361293;-45.120503652039325
1739209876.2361317;-45.120503652039325
1739209876.2361338;-45.120503652039325
1739209876.2361362;-45.120503652039325
1739209876.2361386;-45.120503652039325
1739209876.236141;-35.57807855764607
1739209876.2361434;-38.13080360867914
1739209876.2361457;-38.13080360867914
1739209876.2361479;-38.13080360867914
1739209876.2361503;-45.120503652039325
1739209876.2361526;-45.120503652039325
1739209876.236155;-33.981070128970906
1739209876.2361574;-35.57807855764607
1739209876.2361596;-38.13080360867914
1739209876.236162;-38.13080360867914
1739209876.2361643;-45.120503652039325
1739209876.2361667;-38.13080360867914
1739209876.236169;-38.13080360867914
1739209876.2361715;-38.13080360867914
1739209876.2361736;-38.13080360867914
1739209876.236176;-45.120503652039325
1739209876.2361784;-45.120503652039325
1739209876.2361808;-38.13080360867914
1739209876.2361832;-35.57807855764607
1739209876.2361856;-45.120503652039325
1739209876.2361877;-45.120503652039325
1739209876.23619;-45.120503652039325
1739209876.2361925;-32.816014438256545
1739209876.2361948;-28.992665084841942
1739209876.2361972;-38.13080360867914
1739209876.2361996;-45.120503652039325
1739209876.2362018;-45.120503652039325
1739209876.2362041;-38.13080360867914
1739209876.2362065;-33.981070128970906
1739209876.236209;-38.13080360867914
1739209876.2362113;-45.120503652039325
1739209876.2362137;-32.81601443825658
1739209876.2362158;-35.57807855764607
1739209876.2362182;-38.13080360867914
1739209876.2362206;-45.120503652039325
1739209876.236223;-38.13080360867914
1739209876.2362254;-32.816014438256545
1739209876.2362278;-38.13080360867914
1739209876.23623;-33.981070128970906
1739209876.2362323;-31.141103565318915
1739209876.2362347;-45.120503652039325
1739209876.236237;-38.13080360867914
1739209876.2362394;-38.13080360867914
1739209876.2362418;-33.981070128970906
1739209876.236244;-45.120503652039325
1739209876.2362463;-45.120503652039325
1739209876.2362487;-38.13080360867914
1739209876.236251;-45.120503652039325
1739209876.2362535;-45.120503652039325
1739209876.2362556;-45.120503652039325
1739209876.236258;-45.120503652039325
1739209876.2362604;-45.120503652039325
1739209876.2362628;-45.120503652039325
1739209876.2362652;-45.120503652039325
1739209876.2362676;-45.120503652039325
1739209876.2362697;-45.120503652039325
1739209876.236272;-32.816014438256545
1739209876.2362745;-35.57807855764607
1739209876.2362769;-38.13080360867914
1739209876.2362792;-33.981070128970906
1739209876.2362816;-38.13080360867914
1739209876.2362838;-38.13080360867914
1739209876.2362862;-45.120503652039325
1739209876.2362885;-38.13080360867914
1739209876.236291;-38.13080360867914
1739209876.2362933;-45.120503652039325
1739209876.2362957;-45.120503652039325
1739209876.2362978;-45.120503652039325
1739209876.2363002;-38.13080360867914
1739209876.2363026;-45.120503652039325
1739209876.236305;-38.13080360867914
1739209876.2363074;-33.981070128970906
1739209876.2363098;-45.120503652039325
1739209876.236312;-45.120503652039325
1739209876.2363143;-45.120503652039325
1739209876.2363167;-45.120503652039325
1739209876.236319;-45.120503652039325
1739209876.2363214;-45.120503652039325
1739209876.2363238;-45.120503652039325
1739209876.236326;-31.141103565318915
1739209876.2363284;-38.13080360867914
1739209876.2363307;-45.120503652039325
1739209876.2363331;-45.120503652039325
1739209876.2363355;-38.13080360867914
1739209876.236338;-32.816014438256545
1739209876.23634;-45.120503652039325
1739209876.2363424;-38.13080360867914
1739209876.2363448;-28.992665084841942
1739209876.2363472;-33.981070128970906
1739209876.2363496;-33.981070128970906
1739209876.2363517;-45.120503652039325
1739209876.236354;-38.13080360867914
1739209876.2363565;-45.120503652039325
1739209876.236359;-45.120503652039325
1739209876.2363613;-45.120503652039325
1739209876.2363636;-38.13080360867914
1739209876.2363658;-38.13080360867914
1739209876.2363682;-38.13080360867914
1739209876.2363706;-45.120503652039325
1739209876.236373;-38.13080360867914
1739209876.2363753;-38.13080360867914
1739209876.2363777;-38.13080360867914
1739209876.2363799;-38.13080360867914
1739209876.2363822;-38.13080360867914
1739209876.2363846;-38.13080360867914
1739209876.236387;-45.120503652039325
1739209876.2363894;-38.13080360867914
1739209876.2363918;-38.13080360867914
1739209876.236394;-45.120503652039325
1739209876.2363963;-38.13080360867914
1739209876.2363987;-35.57807855764607
1739209876.236401;-38.13080360867914
1739209876.2364035;-45.120503652039325
1739209876.2364058;-38.13080360867914
1739209876.236408;-45.120503652039325
1739209876.2364104;-38.13080360867914
1739209876.2364128;-38.13080360867914
1739209876.2364151;-45.120503652039325
1739209876.2364175;-45.120503652039325
1739209876.23642;-45.120503652039325
1739209876.236422;-38.13080360867914
1739209876.2364244;-33.981070128970906
1739209876.2364268;-45.120503652039325
1739209876.2364292;-45.120503652039325
1739209876.2364316;-32.816014438256545
1739209876.236434;-38.13080360867914
1739209876.2364361;-45.120503652039325
1739209876.2364385;-33.981070128970906
1739209876.236441;-32.816014438256545
1739209876.2364433;-38.13080360867914
1739209876.2364457;-35.57807855764607
1739209876.2364478;-35.57807855764607
1739209876.2364502;-45.120503652039325
1739209876.2364526;-45.120503652039325
1739209876.236455;-38.13080360867914
1739209876.2364573;-45.120503652039325
1739209876.2364597;-45.120503652039325
1739209876.2364619;-38.13080360867914
1739209876.2364643;-35.57807855764607
1739209876.2364666;-38.13080360867914
1739209876.236469;-38.13080360867914
1739209876.2364714;-38.13080360867914
1739209876.2364738;-45.120503652039325
1739209876.236476;-45.120503652039325
1739209876.2364783;-45.120503652039325
1739209876.2364807;-45.120503652039325
1739209876.236483;-45.120503652039325
1739209876.2364855;-38.13080360867914
1739209876.2364879;-45.120503652039325
1739209876.23649;-45.120503652039325
1739209876.2364924;-35.57807855764607
1739209876.2364948;-45.120503652039325
1739209876.2364972;-38.13080360867914
1739209876.2364995;-38.13080360867914
1739209876.236502;-45.120503652039325
1739209876.236504;-45.120503652039325
1739209876.2365065;-32.816014438256545
1739209876.2365088;-33.981070128970906
1739209876.2365112;-45.120503652039325
1739209876.2365136;-45.120503652039325
1739209876.236516;-33.981070128970906
1739209876.2365181;-38.13080360867914
1739209876.2365205;-38.13080360867914
1739209876.236523;-45.120503652039325
1739209876.2365253;-45.120503652039325
1739209876.2365277;-33.981070128970906
1739209876.2365298;-45.120503652039325
