CAN Message; 0x98:0000d36f79917bc1
Timestamp;Amplitude
1739209610.1661513;-45.120503652039325
1739209610.1661534;-38.13080360867914
1739209610.1661553;-45.120503652039325
1739209610.1661575;-35.57807855764607
1739209610.1661596;-35.57807855764607
1739209610.1661615;-38.13080360867914
1739209610.1661637;-38.13080360867914
1739209610.1661656;-38.13080360867914
1739209610.1661677;-45.120503652039325
1739209610.1661696;-45.120503652039325
1739209610.1661718;-45.120503652039325
1739209610.1661737;-38.13080360867914
1739209610.1661758;-38.13080360867914
1739209610.166178;-38.13080360867914
1739209610.16618;-35.57807855764607
1739209610.166182;-38.13080360867914
1739209610.166184;-45.120503652039325
1739209610.166186;-45.120503652039325
1739209610.166188;-45.120503652039325
1739209610.1661901;-45.120503652039325
1739209610.166192;-38.13080360867914
1739209610.1661942;-45.120503652039325
1739209610.1661963;-38.13080360867914
1739209610.1661983;-33.981070128970906
1739209610.1662004;-45.120503652039325
1739209610.1662023;-38.13080360867914
1739209610.1662045;-38.13080360867914
1739209610.1662064;-45.120503652039325
1739209610.1662085;-45.120503652039325
1739209610.1662104;-38.13080360867914
1739209610.1662126;-45.120503652039325
1739209610.1662147;-45.120503652039325
1739209610.1662166;-45.120503652039325
1739209610.1662188;-38.13080360867914
1739209610.1662207;-38.13080360867914
1739209610.1662228;-38.13080360867914
1739209610.1662247;-45.120503652039325
1739209610.1662269;-45.120503652039325
1739209610.1662288;-45.120503652039325
1739209610.166231;-38.13080360867914
1739209610.166233;-45.120503652039325
1739209610.166235;-38.13080360867914
1739209610.166237;-38.13080360867914
1739209610.166239;-38.13080360867914
1739209610.1662412;-38.13080360867914
1739209610.166243;-38.13080360867914
1739209610.1662452;-38.13080360867914
1739209610.1662474;-38.13080360867914
1739209610.1662493;-38.13080360867914
1739209610.1662514;-45.120503652039325
1739209610.1662533;-45.120503652039325
1739209610.1662555;-31.141103565318915
1739209610.1662574;-35.57807855764607
1739209610.1662595;-38.13080360867914
1739209610.1662614;-45.120503652039325
1739209610.1662636;-35.57807855764607
1739209610.1662657;-35.57807855764607
1739209610.1662676;-45.120503652039325
1739209610.1662698;-45.120503652039325
1739209610.1662717;-38.13080360867914
1739209610.1662738;-33.981070128970906
1739209610.1662757;-38.13080360867914
1739209610.166278;-35.57807855764607
1739209610.1662798;-38.13080360867914
1739209610.166282;-38.13080360867914
1739209610.166284;-45.120503652039325
1739209610.166286;-45.120503652039325
1739209610.1662881;-33.981070128970906
1739209610.16629;-45.120503652039325
1739209610.1662922;-45.120503652039325
1739209610.166294;-45.120503652039325
1739209610.1662962;-33.981070128970906
1739209610.1662982;-45.120503652039325
1739209610.1663003;-45.120503652039325
1739209610.1663024;-32.816014438256545
1739209610.1663043;-33.981070128970906
1739209610.1663065;-45.120503652039325
1739209610.1663084;-38.13080360867914
1739209610.1663105;-38.13080360867914
1739209610.1663125;-38.13080360867914
1739209610.1663146;-45.120503652039325
1739209610.1663167;-38.13080360867914
1739209610.1663187;-33.981070128970906
1739209610.1663208;-33.981070128970906
1739209610.1663227;-35.57807855764607
1739209610.1663249;-35.57807855764607
1739209610.1663268;-35.57807855764607
1739209610.166329;-38.13080360867914
1739209610.1663308;-45.120503652039325
1739209610.166333;-38.13080360867914
1739209610.166335;-35.57807855764607
1739209610.166337;-38.13080360867914
1739209610.1663392;-45.120503652039325
1739209610.166341;-38.13080360867914
1739209610.1663432;-32.816014438256545
1739209610.1663451;-33.981070128970906
1739209610.1663473;-45.120503652039325
1739209610.1663492;-38.13080360867914
1739209610.1663513;-35.57807855764607
1739209610.1663535;-38.13080360867914
1739209610.1663554;-45.120503652039325
1739209610.1663575;-45.120503652039325
1739209610.1663594;-45.120503652039325
1739209610.1663616;-33.981070128970906
1739209610.1663635;-38.13080360867914
1739209610.1663656;-45.120503652039325
1739209610.1663675;-45.120503652039325
1739209610.1663697;-45.120503652039325
1739209610.1663718;-45.120503652039325
1739209610.1663737;-45.120503652039325
1739209610.1663759;-45.120503652039325
1739209610.1663778;-38.13080360867914
1739209610.16638;-32.816014438256545
1739209610.1663818;-38.13080360867914
1739209610.166384;-38.13080360867914
1739209610.1663861;-27.267205301931607
1739209610.166388;-38.13080360867914
1739209610.1663902;-38.13080360867914
1739209610.166392;-45.120503652039325
1739209610.1663942;-38.13080360867914
1739209610.1663961;-45.120503652039325
1739209610.1663983;-45.120503652039325
1739209610.1664002;-45.120503652039325
1739209610.1664023;-31.14110356531892
1739209610.1664045;-45.120503652039325
1739209610.1664064;-38.13080360867914
1739209610.1664085;-35.57807855764607
1739209610.1664104;-45.120503652039325
1739209610.1664126;-45.120503652039325
1739209610.1664145;-31.141103565318915
1739209610.1664166;-38.13080360867914
1739209610.1664186;-31.141103565318915
1739209610.1664207;-38.13080360867914
1739209610.1664228;-45.120503652039325
1739209610.1664248;-38.13080360867914
1739209610.166427;-35.57807855764607
1739209610.1664288;-38.13080360867914
1739209610.166431;-38.13080360867914
1739209610.1664329;-35.57807855764607
