CAN Message; 0x150:010080a427d8e63b
Timestamp;Amplitude
1739209720.8261776;-38.13080360867914
1739209720.826192;-38.13080360867914
1739209720.826206;-45.120503652039325
1739209720.8262203;-45.120503652039325
1739209720.8262346;-35.57807855764607
1739209720.826249;-38.13080360867914
1739209720.8262632;-45.120503652039325
1739209720.8262775;-45.120503652039325
1739209720.8262916;-35.57807855764607
1739209720.8263059;-38.13080360867914
1739209720.8263202;-45.120503652039325
1739209720.8263345;-45.120503652039325
1739209720.8263488;-35.57807855764607
1739209720.826363;-38.13080360867914
1739209720.8263772;-38.13080360867914
1739209720.8263915;-45.120503652039325
1739209720.8264058;-38.13080360867914
1739209720.82642;-35.57807855764607
1739209720.8264344;-45.120503652039325
1739209720.8264487;-38.13080360867914
1739209720.8264627;-25.826314394896357
1739209720.826477;-38.13080360867914
1739209720.8264914;-45.120503652039325
1739209720.8265057;-38.13080360867914
1739209720.82652;-33.981070128970906
1739209720.8265343;-45.120503652039325
1739209720.8265483;-45.120503652039325
1739209720.8265626;-45.120503652039325
1739209720.826577;-33.981070128970956
1739209720.8265913;-45.120503652039325
1739209720.8266056;-45.120503652039325
1739209720.8266199;-45.120503652039325
1739209720.826634;-38.13080360867914
1739209720.8266482;-38.13080360867914
1739209720.8266625;-45.120503652039325
1739209720.8266768;-38.13080360867914
1739209720.8266912;-28.992665084841942
1739209720.8267055;-38.13080360867914
1739209720.8267195;-45.120503652039325
1739209720.8267338;-45.120503652039325
1739209720.8267481;-45.120503652039325
1739209720.8267624;-38.13080360867914
1739209720.8267767;-45.120503652039325
1739209720.826791;-45.120503652039325
1739209720.826805;-45.120503652039325
1739209720.8268194;-45.120503652039325
1739209720.8268337;-45.120503652039325
1739209720.826848;-45.120503652039325
1739209720.8268623;-35.57807855764607
1739209720.8268766;-35.57807855764607
1739209720.8268907;-45.120503652039325
1739209720.826905;-38.13080360867914
1739209720.8269193;-45.120503652039325
1739209720.8269336;-38.13080360867914
1739209720.826948;-38.13080360867914
1739209720.8269622;-45.120503652039325
1739209720.8269763;-45.120503652039325
1739209720.8269906;-45.120503652039325
1739209720.827005;-45.120503652039325
1739209720.8270192;-38.13080360867914
1739209720.8270335;-35.57807855764607
1739209720.8270478;-38.13080360867914
1739209720.827062;-45.120503652039325
1739209720.8270762;-45.120503652039325
1739209720.8270905;-45.120503652039325
1739209720.8271048;-45.120503652039325
1739209720.827119;-45.120503652039325
1739209720.8271334;-45.120503652039325
1739209720.8271475;-45.120503652039325
1739209720.8271618;-45.120503652039325
1739209720.827176;-38.13080360867914
1739209720.8271904;-45.120503652039325
1739209720.8272047;-45.120503652039325
1739209720.8272188;-28.58837851428586
1739209720.827233;-38.13080360867914
1739209720.8272474;-45.120503652039325
1739209720.8272617;-32.816014438256545
1739209720.827276;-38.13080360867914
1739209720.8272903;-45.120503652039325
1739209720.8273044;-38.13080360867914
1739209720.8273187;-38.13080360867914
1739209720.827333;-45.120503652039325
1739209720.8273473;-45.120503652039325
1739209720.8273616;-35.57807855764607
1739209720.827376;-38.13080360867914
1739209720.82739;-45.120503652039325
1739209720.8274043;-45.120503652039325
1739209720.8274186;-38.13080360867914
1739209720.8274329;-45.120503652039325
1739209720.8274472;-45.120503652039325
1739209720.8274615;-45.120503652039325
1739209720.8274755;-45.120503652039325
1739209720.8274899;-45.120503652039325
1739209720.8275042;-38.13080360867914
1739209720.8275185;-38.13080360867914
1739209720.8275328;-45.120503652039325
1739209720.827547;-45.120503652039325
1739209720.8275611;-38.13080360867914
1739209720.8275754;-38.13080360867914
1739209720.8275898;-45.120503652039325
1739209720.827604;-45.120503652039325
1739209720.8276184;-38.13080360867914
1739209720.8276327;-45.120503652039325
1739209720.8276467;-38.13080360867914
1739209720.827661;-38.13080360867914
1739209720.8276753;-45.120503652039325
1739209720.8276896;-45.120503652039325
1739209720.827704;-35.57807855764607
1739209720.8277183;-45.120503652039325
1739209720.8277323;-38.13080360867914
1739209720.8277466;-35.57807855764607
1739209720.827761;-35.57807855764607
1739209720.8277752;-45.120503652039325
1739209720.8277895;-45.120503652039325
1739209720.8278039;-38.13080360867914
1739209720.827818;-33.981070128970906
1739209720.8278322;-38.13080360867914
1739209720.8278465;-38.13080360867914
1739209720.8278608;-38.13080360867914
1739209720.8278751;-38.13080360867914
1739209720.8278894;-45.120503652039325
1739209720.8279035;-38.13080360867914
1739209720.8279178;-33.981070128970906
1739209720.8279321;-31.141103565318915
1739209720.8279464;-38.13080360867914
1739209720.8279607;-45.120503652039325
1739209720.827975;-38.13080360867914
1739209720.827989;-35.57807855764607
1739209720.8280034;-45.120503652039325
1739209720.8280177;-38.13080360867914
1739209720.828032;-35.57807855764607
1739209720.8280463;-38.13080360867914
1739209720.8280606;-38.13080360867914
1739209720.8280747;-45.120503652039325
1739209720.828089;-32.816014438256545
1739209720.8281033;-32.816014438256545
1739209720.8281176;-38.13080360867914
1739209720.828132;-38.13080360867914
1739209720.8281462;-38.13080360867914
1739209720.8281603;-38.13080360867914
1739209720.8281746;-38.13080360867914
1739209720.828189;-33.981070128970906
1739209720.8282032;-33.981070128970906
1739209720.8282175;-38.13080360867914
1739209720.8282318;-45.120503652039325
1739209720.8282459;-45.120503652039325
1739209720.8282602;-38.13080360867914
1739209720.8282745;-38.13080360867914
1739209720.8282888;-45.120503652039325
1739209720.828303;-33.981070128970906
1739209720.8283172;-33.981070128970906
1739209720.8283315;-45.120503652039325
1739209720.8283458;-45.120503652039325
1739209720.82836;-45.120503652039325
1739209720.8283744;-38.13080360867914
1739209720.8283887;-38.13080360867914
1739209720.8284028;-38.13080360867914
1739209720.828417;-33.981070128970906
1739209720.8284314;-28.992665084841942
1739209720.8284457;-33.981070128970906
1739209720.82846;-45.120503652039325
1739209720.8284743;-38.13080360867914
1739209720.8284883;-38.13080360867914
1739209720.8285027;-45.120503652039325
1739209720.828517;-33.981070128970906
1739209720.8285313;-38.13080360867914
1739209720.8285456;-38.13080360867914
1739209720.8285599;-33.981070128970906
1739209720.828574;-38.13080360867914
1739209720.8285882;-45.120503652039325
1739209720.8286026;-38.13080360867914
1739209720.8286169;-38.13080360867914
1739209720.8286312;-38.13080360867914
1739209720.8286455;-33.981070128970906
1739209720.8286595;-31.141103565318915
1739209720.8286738;-45.120503652039325
1739209720.8286881;-45.120503652039325
1739209720.8287024;-38.13080360867914
1739209720.8287168;-38.13080360867914
1739209720.828731;-38.13080360867914
1739209720.8287451;-45.120503652039325
1739209720.8287594;-38.13080360867914
1739209720.8287737;-38.13080360867914
1739209720.828788;-38.13080360867914
1739209720.8288023;-38.13080360867914
1739209720.8288167;-38.13080360867914
1739209720.8288307;-45.120503652039325
1739209720.828845;-45.120503652039325
1739209720.8288593;-45.120503652039325
1739209720.8288736;-45.120503652039325
1739209720.828888;-38.13080360867914
1739209720.8289022;-38.13080360867914
1739209720.8289163;-35.57807855764607
1739209720.8289306;-35.57807855764607
1739209720.828945;-38.13080360867914
1739209720.8289592;-35.57807855764607
1739209720.8289735;-38.13080360867914
1739209720.8289878;-38.13080360867914
1739209720.829002;-28.992665084841942
1739209720.8290162;-45.120503652039325
1739209720.8290305;-38.13080360867914
1739209720.8290448;-38.13080360867914
1739209720.8290591;-38.13080360867914
1739209720.8290734;-33.981070128970906
1739209720.8290875;-45.120503652039325
1739209720.8291018;-45.120503652039325
1739209720.829116;-32.81601443825658
1739209720.8291304;-38.13080360867914
1739209720.8291447;-45.120503652039325
1739209720.829159;-45.120503652039325
1739209720.829173;-38.13080360867914
1739209720.8291874;-38.13080360867914
1739209720.8292017;-45.120503652039325
1739209720.829216;-38.13080360867914
1739209720.8292303;-25.826314394896357
1739209720.8292446;-35.57807855764607
1739209720.8292587;-45.120503652039325
1739209720.829273;-45.120503652039325
1739209720.8292873;-38.13080360867914
1739209720.8293016;-45.120503652039325
1739209720.829316;-35.57807855764607
1739209720.82933;-35.57807855764607
1739209720.8293443;-33.981070128970956
1739209720.8293586;-45.120503652039325
1739209720.829373;-45.120503652039325
1739209720.8293872;-45.120503652039325
1739209720.8294015;-45.120503652039325
1739209720.8294156;-38.13080360867914
1739209720.8294299;-45.120503652039325
1739209720.8294442;-38.13080360867914
1739209720.8294585;-38.13080360867914
1739209720.8294728;-38.13080360867914
1739209720.829487;-38.13080360867914
1739209720.8295012;-33.981070128970906
1739209720.8295155;-45.120503652039325
1739209720.8295298;-38.13080360867914
1739209720.829544;-38.13080360867914
1739209720.8295584;-38.13080360867914
1739209720.8295727;-38.13080360867914
1739209720.8295867;-45.120503652039325
1739209720.829601;-38.13080360867914
1739209720.8296154;-35.57807855764607
1739209720.8296297;-33.981070128970906
1739209720.829644;-45.120503652039325
1739209720.8296583;-35.57807855764607
1739209720.8296723;-35.57807855764607
1739209720.8296866;-45.120503652039325
1739209720.829701;-45.120503652039325
1739209720.8297153;-33.981070128970906
1739209720.8297296;-45.120503652039325
1739209720.8297439;-45.120503652039325
1739209720.829758;-45.120503652039325
1739209720.8297722;-38.13080360867914
1739209720.8297865;-33.981070128970906
1739209720.8298008;-38.13080360867914
1739209720.8298151;-38.13080360867914
1739209720.8298295;-38.13080360867914
1739209720.8298435;-38.13080360867914
1739209720.8298578;-45.120503652039325
1739209720.8298721;-45.120503652039325
1739209720.8298864;-38.13080360867914
1739209720.8299007;-38.13080360867914
1739209720.829915;-38.13080360867914
1739209720.829929;-45.120503652039325
1739209720.8299434;-38.13080360867914
1739209720.8299577;-31.141103565318915
1739209720.829972;-31.141103565318893
1739209720.8299863;-33.981070128970906
1739209720.8300006;-45.120503652039325
1739209720.8300147;-33.981070128970906
1739209720.830029;-38.13080360867914
1739209720.8300433;-33.981070128970906
1739209720.8300576;-38.13080360867914
1739209720.830072;-38.13080360867914
1739209720.8300862;-45.120503652039325
1739209720.8301003;-45.120503652039325
1739209720.8301146;-45.120503652039325
1739209720.830129;-45.120503652039325
1739209720.8301432;-45.120503652039325
1739209720.8301575;-45.120503652039325
1739209720.8301718;-45.120503652039325
1739209720.830186;-38.13080360867914
1739209720.8302002;-38.13080360867914
1739209720.8302145;-45.120503652039325
1739209720.8302288;-38.13080360867914
1739209720.830243;-45.120503652039325
1739209720.8302574;-45.120503652039325
1739209720.8302715;-38.13080360867914
1739209720.8302858;-38.13080360867914
1739209720.8303;-45.120503652039325
1739209720.8303144;-38.13080360867914
1739209720.8303287;-35.57807855764607
1739209720.8303428;-38.13080360867914
1739209720.830357;-45.120503652039325
1739209720.8303714;-45.120503652039325
1739209720.8303857;-38.13080360867914
1739209720.8304;-32.816014438256545
1739209720.8304143;-45.120503652039325
1739209720.8304284;-45.120503652039325
1739209720.8304427;-45.120503652039325
1739209720.830457;-45.120503652039325
1739209720.8304713;-45.120503652039325
1739209720.8304856;-45.120503652039325
1739209720.8305;-32.81601443825658
1739209720.830514;-38.13080360867914
1739209720.8305283;-38.13080360867914
1739209720.8305426;-38.13080360867914
1739209720.8305569;-38.13080360867914
1739209720.8305712;-38.13080360867914
1739209720.8305855;-38.13080360867914
1739209720.8305995;-45.120503652039325
1739209720.8306139;-28.992665084841942
1739209720.8306282;-32.816014438256545
1739209720.8306425;-38.13080360867914
1739209720.8306568;-38.13080360867914
1739209720.830671;-45.120503652039325
1739209720.8306851;-35.57807855764607
1739209720.8306994;-38.13080360867914
1739209720.8307137;-38.13080360867914
1739209720.830728;-30.49652367304973
1739209720.8307424;-33.981070128970906
1739209720.8307567;-45.120503652039325
1739209720.8307707;-45.120503652039325
1739209720.830785;-38.13080360867914
1739209720.8307993;-45.120503652039325
1739209720.8308136;-38.13080360867914
1739209720.830828;-38.13080360867914
1739209720.8308423;-31.141103565318915
1739209720.8308563;-33.981070128970906
1739209720.8308706;-45.120503652039325
1739209720.830885;-38.13080360867914
1739209720.8308992;-33.981070128970906
1739209720.8309135;-38.13080360867914
1739209720.8309278;-45.120503652039325
1739209720.830942;-38.13080360867914
1739209720.8309562;-33.981070128970906
1739209720.8309705;-33.981070128970906
