CAN Message; 0x1bb:0000e50ebb7e3701
Timestamp;Amplitude
1739209871.5520887;-45.120503652039325
1739209871.5520995;-32.816014438256545
1739209871.5521102;-29.438486411369347
1739209871.552121;-35.57807855764607
1739209871.5521314;-45.120503652039325
1739209871.5521421;-45.120503652039325
1739209871.5521529;-45.120503652039325
1739209871.5521636;-38.13080360867914
1739209871.5521743;-38.13080360867914
1739209871.552185;-45.120503652039325
1739209871.5521958;-31.141103565318915
1739209871.5522065;-28.992665084841942
1739209871.552217;-35.57807855764607
1739209871.5522277;-38.13080360867914
1739209871.5522385;-45.120503652039325
1739209871.5522492;-38.13080360867914
1739209871.55226;-38.13080360867914
1739209871.5522707;-45.120503652039325
1739209871.5522814;-38.13080360867914
1739209871.552292;-45.120503652039325
1739209871.5523026;-45.120503652039325
1739209871.5523133;-45.120503652039325
1739209871.552324;-45.120503652039325
1739209871.5523348;-35.57807855764607
1739209871.5523455;-38.13080360867914
1739209871.5523562;-38.13080360867914
1739209871.552367;-38.13080360867914
1739209871.5523777;-38.13080360867914
1739209871.5523882;-38.13080360867914
1739209871.552399;-38.13080360867914
1739209871.5524096;-45.120503652039325
1739209871.5524204;-38.13080360867914
1739209871.552431;-38.13080360867914
1739209871.5524418;-45.120503652039325
1739209871.5524526;-33.981070128970906
1739209871.5524633;-26.991370085610722
1739209871.5524738;-45.120503652039325
1739209871.5524845;-45.120503652039325
1739209871.5524952;-32.816014438256545
1739209871.552506;-38.13080360867914
1739209871.5525167;-45.120503652039325
1739209871.5525274;-38.13080360867914
1739209871.5525382;-45.120503652039325
1739209871.552549;-33.981070128970956
1739209871.5525596;-45.120503652039325
1739209871.55257;-32.816014438256545
1739209871.5525808;-33.981070128970906
1739209871.5525916;-38.13080360867914
1739209871.5526023;-35.57807855764607
1739209871.552613;-38.13080360867914
1739209871.5526237;-45.120503652039325
1739209871.5526345;-38.13080360867914
1739209871.5526452;-45.120503652039325
1739209871.5526557;-45.120503652039325
1739209871.5526664;-45.120503652039325
1739209871.5526772;-45.120503652039325
1739209871.552688;-45.120503652039325
1739209871.5526986;-45.120503652039325
1739209871.5527093;-45.120503652039325
1739209871.55272;-35.57807855764607
1739209871.5527308;-45.120503652039325
1739209871.5527413;-45.120503652039325
1739209871.552752;-33.981070128970906
1739209871.5527627;-45.120503652039325
1739209871.5527735;-45.120503652039325
1739209871.5527842;-38.13080360867914
1739209871.552795;-45.120503652039325
1739209871.5528057;-45.120503652039325
1739209871.5528164;-45.120503652039325
1739209871.552827;-38.13080360867914
1739209871.5528376;-38.13080360867914
1739209871.5528483;-45.120503652039325
1739209871.552859;-38.13080360867914
1739209871.5528698;-38.13080360867914
1739209871.5528805;-38.13080360867914
1739209871.5528913;-35.57807855764607
1739209871.552902;-38.13080360867914
1739209871.5529125;-45.120503652039325
1739209871.5529232;-38.13080360867914
1739209871.552934;-38.13080360867914
1739209871.5529447;-45.120503652039325
1739209871.5529554;-45.120503652039325
1739209871.552966;-38.13080360867914
1739209871.5529768;-35.57807855764607
1739209871.5529876;-45.120503652039325
1739209871.5529983;-35.57807855764607
1739209871.5530088;-38.13080360867914
1739209871.5530195;-45.120503652039325
1739209871.5530303;-45.120503652039325
1739209871.553041;-45.120503652039325
1739209871.5530517;-45.120503652039325
1739209871.5530624;-45.120503652039325
1739209871.5530732;-38.13080360867914
1739209871.553084;-45.120503652039325
1739209871.5530944;-33.981070128970906
1739209871.553105;-45.120503652039325
1739209871.5531158;-45.120503652039325
1739209871.5531266;-38.13080360867914
1739209871.5531373;-45.120503652039325
1739209871.553148;-45.120503652039325
1739209871.5531588;-45.120503652039325
1739209871.5531695;-45.120503652039325
1739209871.55318;-38.13080360867914
1739209871.5531907;-35.57807855764607
1739209871.5532014;-38.13080360867914
1739209871.5532122;-45.120503652039325
1739209871.553223;-33.981070128970906
1739209871.5532336;-38.13080360867914
1739209871.5532444;-33.981070128970906
1739209871.553255;-45.120503652039325
1739209871.5532656;-38.13080360867914
1739209871.5532763;-35.57807855764607
1739209871.553287;-38.13080360867914
1739209871.5532978;-38.13080360867914
1739209871.5533085;-38.13080360867914
1739209871.5533192;-45.120503652039325
1739209871.55333;-45.120503652039325
1739209871.5533407;-35.57807855764607
1739209871.5533512;-33.981070128970906
1739209871.553362;-45.120503652039325
1739209871.5533726;-45.120503652039325
1739209871.5533834;-35.57807855764607
1739209871.553394;-38.13080360867914
1739209871.5534048;-45.120503652039325
1739209871.5534155;-35.57807855764607
1739209871.5534263;-45.120503652039325
1739209871.5534368;-45.120503652039325
1739209871.5534475;-38.13080360867914
1739209871.5534582;-38.13080360867914
1739209871.553469;-45.120503652039325
1739209871.5534797;-38.13080360867914
1739209871.5534904;-38.13080360867914
1739209871.5535011;-31.141103565318915
1739209871.5535119;-45.120503652039325
1739209871.5535226;-45.120503652039325
1739209871.553533;-45.120503652039325
1739209871.5535438;-45.120503652039325
1739209871.5535545;-45.120503652039325
1739209871.5535653;-45.120503652039325
1739209871.553576;-45.120503652039325
1739209871.5535867;-29.438486411369354
1739209871.5535975;-38.13080360867914
1739209871.5536082;-35.57807855764607
1739209871.5536187;-45.120503652039325
1739209871.5536294;-38.13080360867914
1739209871.5536401;-38.13080360867914
1739209871.5536509;-38.13080360867914
1739209871.5536616;-45.120503652039325
1739209871.5536723;-33.981070128970906
1739209871.553683;-35.57807855764607
1739209871.5536938;-45.120503652039325
1739209871.5537043;-38.13080360867914
1739209871.553715;-33.981070128970906
1739209871.5537257;-35.57807855764607
1739209871.5537364;-38.13080360867914
1739209871.5537472;-45.120503652039325
1739209871.553758;-33.981070128970906
1739209871.5537686;-38.13080360867914
1739209871.5537794;-38.13080360867914
1739209871.5537899;-45.120503652039325
1739209871.5538006;-38.13080360867914
1739209871.5538113;-38.13080360867914
1739209871.553822;-45.120503652039325
