CAN Message; 0x98:0000d4d82fe064d0
Timestamp;Amplitude
1739209625.298179;-45.120503652039325
1739209625.2981923;-45.120503652039325
1739209625.2982059;-33.981070128970906
1739209625.2982192;-45.120503652039325
1739209625.2982328;-38.13080360867914
1739209625.2982461;-38.13080360867914
1739209625.2982597;-38.13080360867914
1739209625.2982733;-38.13080360867914
1739209625.2982867;-33.981070128970906
1739209625.2983003;-45.120503652039325
1739209625.2983136;-38.13080360867914
1739209625.2983272;-38.13080360867914
1739209625.2983406;-45.120503652039325
1739209625.2983541;-38.13080360867914
1739209625.2983677;-38.13080360867914
1739209625.298381;-38.13080360867914
1739209625.2983947;-45.120503652039325
1739209625.298408;-38.13080360867914
1739209625.2984216;-45.120503652039325
1739209625.2984352;-38.13080360867914
1739209625.2984486;-32.816014438256545
1739209625.2984622;-45.120503652039325
1739209625.2984755;-38.13080360867914
1739209625.298489;-35.57807855764607
1739209625.2985024;-35.57807855764607
1739209625.298516;-45.120503652039325
1739209625.2985296;-38.13080360867914
1739209625.298543;-33.981070128970906
1739209625.2985566;-45.120503652039325
1739209625.29857;-45.120503652039325
1739209625.2985835;-45.120503652039325
1739209625.2985969;-35.57807855764607
1739209625.2986104;-38.13080360867914
1739209625.298624;-45.120503652039325
1739209625.2986374;-38.13080360867914
1739209625.298651;-35.57807855764607
1739209625.2986643;-45.120503652039325
1739209625.298678;-45.120503652039325
1739209625.2986913;-38.13080360867914
1739209625.2987049;-45.120503652039325
1739209625.2987185;-45.120503652039325
1739209625.2987318;-38.13080360867914
1739209625.2987454;-38.13080360867914
1739209625.2987587;-45.120503652039325
1739209625.2987723;-38.13080360867914
1739209625.2987857;-32.816014438256545
1739209625.2987993;-38.13080360867914
1739209625.2988129;-45.120503652039325
1739209625.2988262;-38.13080360867914
1739209625.2988398;-45.120503652039325
1739209625.2988532;-45.120503652039325
1739209625.2988667;-45.120503652039325
1739209625.29888;-45.120503652039325
1739209625.2988937;-38.13080360867914
1739209625.2989073;-38.13080360867914
1739209625.2989206;-45.120503652039325
1739209625.2989342;-45.120503652039325
1739209625.2989476;-45.120503652039325
1739209625.2989612;-38.13080360867914
1739209625.2989748;-38.13080360867914
1739209625.298988;-33.981070128970906
1739209625.2990017;-33.981070128970906
1739209625.299015;-38.13080360867914
1739209625.2990286;-38.13080360867914
1739209625.299042;-35.57807855764607
1739209625.2990556;-38.13080360867914
1739209625.2990692;-45.120503652039325
1739209625.2990825;-45.120503652039325
1739209625.299096;-45.120503652039325
1739209625.2991095;-45.120503652039325
1739209625.299123;-38.13080360867914
1739209625.2991364;-33.981070128970906
1739209625.29915;-38.13080360867914
1739209625.2991636;-38.13080360867914
1739209625.299177;-38.13080360867914
1739209625.2991905;-38.13080360867914
1739209625.2992039;-38.13080360867914
1739209625.2992175;-45.120503652039325
1739209625.2992308;-45.120503652039325
1739209625.2992444;-38.13080360867914
1739209625.299258;-35.57807855764607
1739209625.2992713;-45.120503652039325
1739209625.299285;-38.13080360867914
1739209625.2992983;-35.57807855764607
1739209625.2993119;-35.57807855764607
1739209625.2993252;-31.141103565318915
1739209625.2993388;-38.13080360867914
1739209625.2993524;-38.13080360867914
1739209625.2993658;-45.120503652039325
1739209625.2993793;-38.13080360867914
1739209625.2993927;-45.120503652039325
1739209625.2994063;-45.120503652039325
1739209625.2994196;-45.120503652039325
1739209625.2994332;-38.13080360867914
1739209625.2994468;-45.120503652039325
1739209625.2994602;-45.120503652039325
1739209625.2994738;-45.120503652039325
1739209625.299487;-38.13080360867914
1739209625.2995007;-38.13080360867914
1739209625.2995143;-45.120503652039325
1739209625.2995276;-38.13080360867914
1739209625.2995412;-30.49652367304973
1739209625.2995546;-31.141103565318915
1739209625.2995682;-45.120503652039325
1739209625.2995815;-35.57807855764607
1739209625.299595;-35.57807855764607
1739209625.2996087;-38.13080360867914
1739209625.299622;-38.13080360867914
1739209625.2996356;-45.120503652039325
1739209625.299649;-38.13080360867914
1739209625.2996626;-38.13080360867914
1739209625.299676;-45.120503652039325
1739209625.2996895;-45.120503652039325
1739209625.2997031;-45.120503652039325
1739209625.2997165;-45.120503652039325
1739209625.29973;-45.120503652039325
1739209625.2997434;-38.13080360867914
1739209625.299757;-45.120503652039325
1739209625.2997704;-45.120503652039325
1739209625.299784;-45.120503652039325
1739209625.2997975;-45.120503652039325
1739209625.299811;-45.120503652039325
1739209625.2998245;-38.13080360867914
1739209625.2998378;-38.13080360867914
