CAN Message; 0x150:01007c7a04d6eb05
Timestamp;Amplitude
1739209881.5695808;-24.438645034577675
1739209881.5695848;-30.49652367304973
1739209881.569589;-38.13080360867914
1739209881.569593;-27.877744956031414
1739209881.569597;-28.21854285175415
1739209881.5696013;-45.120503652039325
1739209881.5696054;-33.981070128970906
1739209881.5696094;-38.13080360867914
1739209881.5696135;-35.57807855764607
1739209881.5696175;-33.981070128970906
1739209881.5696216;-38.13080360867914
1739209881.5696256;-38.13080360867914
1739209881.5696297;-38.13080360867914
1739209881.5696337;-38.13080360867914
1739209881.5696378;-45.120503652039325
1739209881.569642;-35.57807855764607
1739209881.5696461;-38.13080360867914
1739209881.5696502;-45.120503652039325
1739209881.5696542;-45.120503652039325
1739209881.5696583;-33.981070128970906
1739209881.5696623;-45.120503652039325
1739209881.5696664;-30.49652367304973
1739209881.5696704;-32.816014438256545
1739209881.5696745;-38.13080360867914
1739209881.5696785;-45.120503652039325
1739209881.5696826;-38.13080360867914
1739209881.569687;-38.13080360867914
1739209881.569691;-45.120503652039325
1739209881.569695;-38.13080360867914
1739209881.569699;-45.120503652039325
1739209881.569703;-38.13080360867914
1739209881.5697072;-38.13080360867914
1739209881.5697112;-32.816014438256545
1739209881.5697153;-33.981070128970906
1739209881.5697193;-45.120503652039325
1739209881.5697234;-35.57807855764607
1739209881.5697277;-45.120503652039325
1739209881.5697317;-38.13080360867914
1739209881.5697358;-33.981070128970906
1739209881.5697398;-45.120503652039325
1739209881.5697439;-38.13080360867914
1739209881.569748;-35.57807855764607
1739209881.569752;-38.13080360867914
1739209881.569756;-45.120503652039325
1739209881.56976;-38.13080360867914
1739209881.5697641;-45.120503652039325
1739209881.5697682;-45.120503652039325
1739209881.5697725;-45.120503652039325
1739209881.5697765;-45.120503652039325
1739209881.5697806;-38.13080360867914
1739209881.5697846;-33.981070128970906
1739209881.5697887;-38.13080360867914
1739209881.5697927;-38.13080360867914
1739209881.5697968;-38.13080360867914
1739209881.5698009;-45.120503652039325
1739209881.569805;-45.120503652039325
1739209881.569809;-45.120503652039325
1739209881.569813;-45.120503652039325
1739209881.5698173;-45.120503652039325
1739209881.5698214;-45.120503652039325
1739209881.5698254;-38.13080360867914
1739209881.5698295;-35.57807855764607
1739209881.5698335;-38.13080360867914
1739209881.5698376;-38.13080360867914
1739209881.5698416;-38.13080360867914
1739209881.5698457;-45.120503652039325
1739209881.5698497;-33.981070128970906
1739209881.5698538;-35.57807855764607
1739209881.569858;-38.13080360867914
1739209881.5698621;-38.13080360867914
1739209881.5698662;-38.13080360867914
1739209881.5698702;-45.120503652039325
1739209881.5698743;-45.120503652039325
1739209881.5698783;-45.120503652039325
1739209881.5698824;-45.120503652039325
1739209881.5698864;-32.816014438256545
1739209881.5698905;-45.120503652039325
1739209881.5698946;-38.13080360867914
1739209881.5698986;-38.13080360867914
1739209881.569903;-38.13080360867914
1739209881.569907;-45.120503652039325
1739209881.569911;-45.120503652039325
1739209881.569915;-33.981070128970906
1739209881.569919;-38.13080360867914
1739209881.5699232;-45.120503652039325
1739209881.5699272;-45.120503652039325
1739209881.5699313;-45.120503652039325
1739209881.5699353;-45.120503652039325
1739209881.5699394;-45.120503652039325
1739209881.5699437;-38.13080360867914
1739209881.5699477;-38.13080360867914
1739209881.5699518;-45.120503652039325
1739209881.5699558;-45.120503652039325
1739209881.5699599;-38.13080360867914
1739209881.569964;-38.13080360867914
1739209881.569968;-45.120503652039325
1739209881.569972;-38.13080360867914
1739209881.569976;-45.120503652039325
1739209881.5699801;-45.120503652039325
1739209881.5699842;-45.120503652039325
1739209881.5699885;-45.120503652039325
1739209881.5699925;-45.120503652039325
1739209881.5699966;-38.13080360867914
1739209881.5700006;-38.13080360867914
1739209881.5700047;-45.120503652039325
1739209881.5700088;-45.120503652039325
